,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
34,Arunachal Pradesh,ANJAW,2013,0,0,0,0,0,0,0
35,Arunachal Pradesh,CHANGLANG,2013,5,5,0,2,0,1,0
36,Arunachal Pradesh,DIBANG VALLEY,2013,0,1,0,2,0,0,0
37,Arunachal Pradesh,K/KUMEY,2013,0,1,0,1,0,0,0
38,Arunachal Pradesh,KAMENG EAST,2013,2,12,0,6,0,0,0
39,Arunachal Pradesh,KAMENG WEST,2013,2,0,0,0,0,0,0
40,Arunachal Pradesh,LOHIT,2013,10,22,0,10,0,2,0
41,Arunachal Pradesh,LONGDING,2013,1,2,0,2,0,0,0
42,Arunachal Pradesh,PAPUM PARE,2013,18,22,0,24,1,20,0
43,Arunachal Pradesh,RURAL,2013,3,5,0,5,0,1,0
44,Arunachal Pradesh,SIANG EAST,2013,10,2,0,6,0,1,0
45,Arunachal Pradesh,SIANG UPPER,2013,0,2,0,4,0,0,0
46,Arunachal Pradesh,SIANG WEST,2013,7,6,0,9,2,3,0
47,Arunachal Pradesh,SUBANSIRI LOWER,2013,5,0,0,3,0,0,0
48,Arunachal Pradesh,SUBANSIRI UPPER,2013,10,2,0,8,0,0,0
49,Arunachal Pradesh,TAWANG,2013,2,1,0,6,0,1,0
50,Arunachal Pradesh,TIRAP,2013,0,2,0,5,0,0,0
51,Arunachal Pradesh,UPPER DIBANG VALLEY,2013,0,1,0,0,0,0,0
52,Arunachal Pradesh,ZZ TOTAL,2013,75,86,0,93,3,29,0
21,Arunachal Pradesh,Anjaw,2014,0,1,0,1,0,0,0
22,Arunachal Pradesh,Changlang,2014,6,6,0,0,0,0,0
23,Arunachal Pradesh,Crime Branch,2014,0,0,0,0,0,0,0
24,Arunachal Pradesh,Dibang Valley,2014,1,0,0,0,0,0,0
25,Arunachal Pradesh,Kameng East,2014,1,1,0,6,0,0,0
26,Arunachal Pradesh,Kameng West,2014,0,2,0,9,0,2,0
27,Arunachal Pradesh,Kurung Kumey,2014,3,0,0,1,0,0,0
28,Arunachal Pradesh,Lohit,2014,7,25,0,13,0,1,0
29,Arunachal Pradesh,Longding,2014,3,4,0,3,0,0,0
30,Arunachal Pradesh,Lower Dibang Valley,2014,3,2,0,0,0,0,0
31,Arunachal Pradesh,Papum Pare City,2014,32,36,1,26,0,21,0
32,Arunachal Pradesh,Papum Pare Rural,2014,0,4,0,4,0,0,0
33,Arunachal Pradesh,Siang East,2014,11,2,0,21,0,4,0
34,Arunachal Pradesh,Siang Upper,2014,1,0,0,1,0,0,0
35,Arunachal Pradesh,Siang West,2014,6,1,0,11,3,8,0
36,Arunachal Pradesh,Subansiri Lower,2014,1,2,0,6,0,3,0
37,Arunachal Pradesh,Subansiri Upper,2014,5,2,0,16,0,3,0
38,Arunachal Pradesh,Tawang,2014,0,0,0,1,0,0,0
39,Arunachal Pradesh,Tirap,2014,3,3,0,2,0,0,0
40,Arunachal Pradesh,Total District(s),2014,83,91,1,121,3,42,0
21,Arunachal Pradesh,Anjaw,2015,0,0,0,0,0,0,0
22,Arunachal Pradesh,Changlang,2015,5,7,0,5,0,4,0
23,Arunachal Pradesh,Crime Branch,2015,1,0,0,0,0,0,0
24,Arunachal Pradesh,Dibang Valley,2015,0,0,0,1,0,0,0
25,Arunachal Pradesh,Kameng East,2015,4,1,0,7,0,0,0
26,Arunachal Pradesh,Kameng West,2015,1,3,0,5,0,1,0
27,Arunachal Pradesh,Kurung Kumey,2015,2,3,0,0,0,0,0
28,Arunachal Pradesh,Lohit,2015,6,21,0,12,0,4,0
29,Arunachal Pradesh,Longding,2015,0,0,0,0,0,0,0
30,Arunachal Pradesh,Lower Dibang Valley,2015,1,6,0,3,0,0,0
31,Arunachal Pradesh,Papum Pare City,2015,17,62,0,25,2,30,0
32,Arunachal Pradesh,Papum Pare Rural,2015,1,2,0,2,0,1,0
33,Arunachal Pradesh,Siang East,2015,10,9,0,15,0,8,0
34,Arunachal Pradesh,Siang Upper,2015,1,1,0,3,0,2,0
35,Arunachal Pradesh,Siang West,2015,12,6,0,6,0,4,0
36,Arunachal Pradesh,Subansiri Lower,2015,6,0,0,2,0,3,0
37,Arunachal Pradesh,Subansiri Upper,2015,1,1,0,11,0,8,0
38,Arunachal Pradesh,Tawang,2015,0,0,0,1,0,1,0
39,Arunachal Pradesh,Tirap,2015,2,6,0,2,0,0,0
40,Arunachal Pradesh,Siang,2015,1,0,0,1,0,0,0
41,Arunachal Pradesh,Total District(s),2015,71,128,0,101,2,66,0
