,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
53,Assam,BAKSA,2013,20,46,1,9,0,32,0
54,Assam,BARPETA,2013,148,348,18,341,0,1016,0
55,Assam,BIEO,2013,0,0,0,0,0,0,0
56,Assam,BONGAIGAON,2013,68,95,9,4,0,100,0
57,Assam,C.I.D.,2013,0,0,0,0,0,0,0
58,Assam,CACHAR,2013,79,221,12,25,0,537,0
59,Assam,CHIRANG,2013,30,50,1,21,0,78,0
60,Assam,DARRANG,2013,92,145,3,239,0,378,0
61,Assam,DHEMAJI,2013,42,70,1,77,0,85,0
62,Assam,DHUBRI,2013,190,350,9,452,11,1080,0
63,Assam,DIBRUGARH,2013,65,108,0,151,0,239,0
64,Assam,G.R.P.,2013,0,6,0,0,0,0,0
65,Assam,GOALPARA,2013,73,103,7,89,0,326,0
66,Assam,GOLAGHAT,2013,85,181,3,76,0,284,0
67,Assam,GUWAHATI CITY,2013,103,432,15,207,0,561,0
68,Assam,HAILAKANDI,2013,60,71,2,7,0,169,0
69,Assam,HAMREN,2013,14,9,0,0,0,0,0
70,Assam,JORHAT,2013,79,160,0,117,0,307,0
71,Assam,KAMRUP,2013,66,154,3,86,0,305,0
72,Assam,KARBI ANGLONG,2013,8,43,0,16,0,39,0
73,Assam,KARIMGANJ,2013,44,108,9,9,0,266,0
74,Assam,KOKRAJHAR,2013,32,79,5,32,0,134,2
75,Assam,LAKHIMPUR,2013,59,123,3,55,0,300,0
76,Assam,MORIGAON,2013,76,123,8,45,0,271,0
77,Assam,N.C.HILLS,2013,5,24,3,0,0,0,0
78,Assam,NAGAON,2013,190,438,23,103,3,1120,0
79,Assam,NALBARI,2013,44,90,3,84,0,178,0
80,Assam,R.P.O.,2013,9,3,0,0,0,0,0
81,Assam,SIBSAGAR,2013,60,179,5,53,0,311,0
82,Assam,SONITPUR,2013,99,205,15,34,0,300,0
83,Assam,STF,2013,0,0,0,0,0,0,0
84,Assam,TINSUKIA,2013,77,201,7,34,0,140,0
85,Assam,UDALGURI,2013,20,57,5,43,0,80,0
86,Assam,ZZ TOTAL,2013,1937,4222,170,2409,14,8636,2
41,Assam,Barpeta,2014,143,359,21,556,0,1116,0
42,Assam,Baksa,2014,26,36,4,27,0,77,0
43,Assam,Bongaigaon,2014,31,29,4,8,0,178,0
44,Assam,Cachar,2014,81,214,14,50,0,595,0
45,Assam,Chirang,2014,29,42,7,33,0,60,0
46,Assam,Darrang,2014,111,186,11,453,0,489,0
47,Assam,Dhemaji,2014,45,68,3,51,1,111,0
48,Assam,Dhubri,2014,193,405,10,193,0,1186,0
49,Assam,Dibrugarh,2014,67,123,5,105,0,253,0
50,Assam,Goalpara,2014,108,119,8,121,0,367,0
51,Assam,Golaghat,2014,74,190,7,74,0,166,0
52,Assam,Guwahati City,2014,100,424,11,143,0,486,0
53,Assam,Hailakandi,2014,77,89,4,23,0,209,0
54,Assam,Jorhat,2014,36,72,6,157,0,401,0
55,Assam,Kamrup,2014,77,47,1,15,0,595,0
56,Assam,Karbi Anglong,2014,23,55,0,26,0,42,0
57,Assam,Karimganj,2014,76,109,13,10,0,337,0
58,Assam,Kokrajhar,2014,45,79,3,47,0,71,1
59,Assam,Lakhimpur,2014,67,150,4,55,0,369,0
60,Assam,Morigaon,2014,81,174,7,328,0,349,0
61,Assam,Dima Hasao,2014,6,25,0,0,0,6,0
62,Assam,Nagaon,2014,187,295,22,350,0,1162,0
63,Assam,Nalbari,2014,41,100,0,0,0,42,0
64,Assam,Sibsagar,2014,44,177,6,153,0,333,0
65,Assam,Sonitpur,2014,112,202,5,20,0,381,0
66,Assam,Tinsukia,2014,66,64,3,66,0,164,0
67,Assam,Udalguri,2014,34,62,9,35,0,81,0
68,Assam,Total District(s),2014,1980,3895,188,3099,1,9626,1
42,Assam,B. I. E. O.,2015,0,0,0,0,0,0,0
43,Assam,Barpeta,2015,124,373,22,461,20,1503,0
44,Assam,Baksa,2015,46,128,4,96,4,78,0
45,Assam,Bongaigaon,2015,37,131,14,15,0,175,0
46,Assam,C. I. D.,2015,0,0,0,0,0,0,0
47,Assam,Cachar,2015,59,234,8,70,0,597,0
48,Assam,Chirang,2015,18,44,3,27,4,106,0
49,Assam,Darrang,2015,77,198,10,502,0,432,0
50,Assam,Dhemaji,2015,34,44,6,94,3,139,0
51,Assam,Dhubri,2015,158,399,19,434,1,911,0
52,Assam,Dibrugarh,2015,29,184,3,84,0,380,0
53,Assam,G. R. P.,2015,0,4,0,4,0,0,0
54,Assam,Goalpara,2015,84,62,3,238,0,691,0
55,Assam,Golaghat,2015,56,167,5,120,0,292,0
56,Assam,Guwahati City,2015,80,651,12,239,59,677,0
57,Assam,Hailakandi,2015,90,89,4,203,3,279,0
58,Assam,Hamren,2015,10,16,0,0,0,33,0
59,Assam,Jorhat,2015,53,176,5,161,13,292,0
60,Assam,Kamrup,2015,82,207,12,139,0,416,0
61,Assam,Karbi Anglong,2015,37,68,2,20,0,38,0
62,Assam,Karimganj,2015,65,136,13,246,0,242,0
63,Assam,Kokrajhar,2015,32,98,2,122,0,223,0
64,Assam,Lakhimpur,2015,69,182,10,74,0,377,0
65,Assam,Morigaon,2015,86,182,2,146,0,414,0
66,Assam,Dima Hasao,2015,5,16,0,5,0,3,0
67,Assam,Nagaon,2015,95,328,19,105,0,890,0
68,Assam,Nalbari,2015,36,102,3,43,1,188,0
69,Assam,R. P. O.,2015,8,3,0,3,0,11,0
70,Assam,S. T. F.,2015,0,0,0,0,0,0,0
71,Assam,Sibsagar,2015,35,290,2,249,0,331,0
72,Assam,Sonitpur,2015,43,136,10,28,0,503,0
73,Assam,Tinsukia,2015,27,14,2,42,0,185,0
74,Assam,Udalguri,2015,22,63,4,30,0,76,0
75,Assam,Sadia,2015,10,6,0,4,0,14,0
76,Assam,Majuli,2015,5,6,0,14,0,19,0
77,Assam,Biswanath,2015,34,106,3,28,0,212,0
78,Assam,Hojai,2015,44,138,7,117,3,295,0
79,Assam,South Salmara,2015,43,58,7,130,0,203,0
80,Assam,Total District(s),2015,1733,5039,216,4293,111,11225,0
