,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
87,Bihar,ARARIA,2013,52,90,12,10,0,19,5
88,Bihar,ARWAL,2013,6,32,15,3,0,30,0
89,Bihar,AURANGABAD,2013,19,52,28,37,0,141,0
90,Bihar,BAGAHA,2013,15,64,14,17,0,55,0
91,Bihar,BANKA,2013,33,69,28,1,1,69,0
92,Bihar,BEGUSARAI,2013,24,125,28,55,0,93,0
93,Bihar,BETTIAH,2013,39,154,26,0,0,148,0
94,Bihar,BHABHUA,2013,16,52,27,0,0,49,0
95,Bihar,BHAGALPUR,2013,51,123,19,40,0,115,0
96,Bihar,BHOJPUR,2013,23,93,38,3,0,137,0
97,Bihar,BUXAR,2013,16,63,9,29,0,78,0
98,Bihar,DARBHANGA,2013,38,196,33,4,1,343,0
99,Bihar,GAYA,2013,45,175,37,0,0,212,0
100,Bihar,GOPALGANJ,2013,11,85,33,0,0,143,0
101,Bihar,JAMALPUR RLY.,2013,1,0,0,0,0,1,0
102,Bihar,JAMUI,2013,24,37,19,2,0,104,0
103,Bihar,JEHANABAD,2013,14,26,30,5,0,57,0
104,Bihar,KATIHAR,2013,86,148,21,1,0,99,0
105,Bihar,KATIHAR RLY.,2013,1,4,0,1,0,2,0
106,Bihar,KHAGARIA,2013,8,59,13,5,0,25,0
107,Bihar,KISHANGANJ,2013,52,90,7,0,0,65,0
108,Bihar,LAKHISARAI,2013,9,26,11,0,0,70,0
109,Bihar,MADHEPURA,2013,14,70,17,3,0,64,0
110,Bihar,MADHUBANI,2013,37,141,28,1,0,210,0
111,Bihar,MOTIHARI,2013,25,226,65,5,14,196,0
112,Bihar,MUNGER,2013,7,55,13,5,0,66,0
113,Bihar,MUZAFFARPUR,2013,43,295,48,5,27,81,2
114,Bihar,MUZAFFARPUR RLY.,2013,3,5,0,1,0,0,0
115,Bihar,NALANDA,2013,11,107,81,18,0,174,0
116,Bihar,NAUGACHIA,2013,10,26,16,19,0,69,0
117,Bihar,NAWADAH,2013,20,51,23,3,0,122,0
118,Bihar,PATNA,2013,76,412,96,17,2,459,0
119,Bihar,PATNA RLY.,2013,2,11,3,12,0,1,0
120,Bihar,PURNEA,2013,56,93,21,0,7,19,0
121,Bihar,ROHTAS,2013,60,135,48,5,0,97,0
122,Bihar,SAHARSA,2013,14,64,10,0,0,79,0
123,Bihar,SAMASTIPUR,2013,35,128,32,8,0,116,0
124,Bihar,SARAN,2013,16,125,69,0,0,116,0
125,Bihar,SHEIKHPURA,2013,10,34,8,0,0,47,0
126,Bihar,SHEOHAR,2013,3,41,7,0,0,19,0
127,Bihar,SITAMARHI,2013,26,182,24,3,0,140,0
128,Bihar,SIWAN,2013,19,190,45,1,0,112,0
129,Bihar,SUPAUL,2013,34,103,19,5,0,78,0
130,Bihar,VAISHALI,2013,24,162,61,7,0,213,0
131,Bihar,ZZ TOTAL,2013,1128,4419,1182,331,52,4533,7
69,Bihar,Araria,2014,35,68,17,1,0,6,0
70,Bihar,Arwal,2014,6,18,11,4,0,0,0
71,Bihar,Aurangabad,2014,12,70,28,29,0,110,0
72,Bihar,Bagaha,2014,14,56,7,38,0,56,0
73,Bihar,Banka,2014,22,62,23,3,0,64,0
74,Bihar,Begusarai,2014,30,132,28,37,1,55,0
75,Bihar,Bettiah,2014,33,102,39,0,0,106,0
76,Bihar,Bhabhua,2014,12,61,12,0,0,44,0
77,Bihar,Bhagalpur,2014,52,165,20,31,0,161,0
78,Bihar,Bhojpur,2014,32,115,46,7,0,129,0
79,Bihar,Buxar,2014,16,72,24,13,0,95,0
80,Bihar,Darbhanga,2014,50,216,30,8,0,298,0
81,Bihar,Gaya,2014,48,174,63,0,0,198,0
82,Bihar,Gopalganj,2014,14,110,33,0,6,156,0
83,Bihar,Jamalpur Railway,2014,0,2,0,3,0,0,0
84,Bihar,Jamui,2014,23,46,21,10,1,46,0
85,Bihar,Jehanabad,2014,10,66,22,0,0,56,0
