,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
132,Chhattisgarh,BALOD,2013,20,20,3,67,2,11,0
133,Chhattisgarh,BALODA BAZAR,2013,55,129,4,110,22,31,0
134,Chhattisgarh,BALRAMPUR,2013,84,0,8,50,2,31,1
135,Chhattisgarh,BEMETARA,2013,28,27,5,57,2,19,0
136,Chhattisgarh,BILASPUR,2013,96,295,13,308,10,130,0
137,Chhattisgarh,BIZAPUR,2013,6,10,0,6,1,1,0
138,Chhattisgarh,DANTEWARA,2013,9,6,0,9,0,1,0
139,Chhattisgarh,DHAMTARI,2013,30,29,0,59,1,14,0
140,Chhattisgarh,DURG,2013,106,83,9,236,34,147,0
141,Chhattisgarh,GARIYABAND,2013,32,23,0,24,8,12,0
142,Chhattisgarh,GRP RAIPUR,2013,2,1,0,3,0,1,0
143,Chhattisgarh,JAGDALPUR,2013,53,40,2,30,1,16,0
144,Chhattisgarh,JANJGIR,2013,56,158,11,161,11,138,0
145,Chhattisgarh,JASHPUR,2013,88,41,3,52,3,25,0
146,Chhattisgarh,KABIRDHAM,2013,30,29,3,72,3,11,0
147,Chhattisgarh,KANKER,2013,51,39,2,27,2,29,0
148,Chhattisgarh,KONDAGAON,2013,19,25,0,13,0,6,0
149,Chhattisgarh,KORBA,2013,57,63,4,71,9,66,0
150,Chhattisgarh,KORIYA,2013,63,64,3,88,4,55,0
151,Chhattisgarh,MAHASAMUND,2013,49,102,8,104,11,48,0
152,Chhattisgarh,MUNGELI,2013,23,61,4,44,3,23,0
153,Chhattisgarh,NARAYANPUR,2013,10,3,0,3,0,2,0
154,Chhattisgarh,RAIGARH,2013,90,163,5,126,10,53,0
155,Chhattisgarh,RAIPUR,2013,139,327,11,263,32,173,0
156,Chhattisgarh,RAJNANDGAON,2013,46,72,7,74,4,32,0
157,Chhattisgarh,SARGUJA,2013,71,19,0,118,1,35,0
158,Chhattisgarh,SUKMA,2013,8,3,1,2,1,4,0
159,Chhattisgarh,SURAJPUR,2013,59,49,3,84,3,67,0
160,Chhattisgarh,ZZ TOTAL,2013,1380,1881,109,2261,180,1181,1
116,Chhattisgarh,Balod,2014,34,18,4,62,3,23,0
117,Chhattisgarh,Balodbazar,2014,40,113,8,95,6,32,0
118,Chhattisgarh,Balrampur,2014,111,14,5,62,1,39,0
119,Chhattisgarh,Bemetra,2014,41,23,3,56,0,19,0
120,Chhattisgarh,Bilaspur,2014,94,156,13,211,5,75,0
121,Chhattisgarh,Bizapur,2014,6,8,0,2,0,2,0
122,Chhattisgarh,Dantewara,2014,11,6,0,9,0,6,0
123,Chhattisgarh,Dhamtari,2014,36,19,3,49,6,9,0
124,Chhattisgarh,Durg,2014,84,150,12,254,12,172,0
125,Chhattisgarh,Gariyaband,2014,42,13,3,31,3,14,0
126,Chhattisgarh,G. R. P. Raipur,2014,0,1,1,8,0,4,0
127,Chhattisgarh,Jagdalpur,2014,32,31,1,42,0,20,0
128,Chhattisgarh,Janjgir,2014,64,106,20,141,7,90,0
129,Chhattisgarh,Jashpur,2014,86,33,0,48,0,11,0
130,Chhattisgarh,Kabirdham,2014,39,54,6,84,2,14,0
131,Chhattisgarh,Kanker,2014,40,31,5,37,2,25,0
132,Chhattisgarh,Kondagaon,2014,21,15,1,16,0,8,0
133,Chhattisgarh,Korba,2014,68,36,6,83,4,51,0
134,Chhattisgarh,Koriya,2014,58,62,2,74,1,59,0
135,Chhattisgarh,Mahasamund,2014,44,65,10,99,4,28,0
136,Chhattisgarh,Mungali,2014,10,32,6,38,15,14,0
137,Chhattisgarh,Narayanpur,2014,7,5,0,6,0,1,0
138,Chhattisgarh,Raigarh,2014,121,49,7,140,1,46,0
139,Chhattisgarh,Raipur,2014,141,179,3,224,4,96,0
