,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
694,D & N HAVELI,D and N HAVELI,2001,6,2,0,7,0,4,0
695,D & N HAVELI,TOTAL,2001,6,2,0,7,0,4,0
1412,D & N HAVELI,D and N HAVELI,2002,4,5,0,3,0,3,0
1413,D & N HAVELI,TOTAL,2002,4,5,0,3,0,3,0
2141,D & N HAVELI,D and N HAVELI,2003,1,4,0,4,0,2,0
2142,D & N HAVELI,TOTAL,2003,1,4,0,4,0,2,0
2870,D & N HAVELI,D and N HAVELI,2004,7,7,0,5,0,3,0
2871,D & N HAVELI,TOTAL,2004,7,7,0,5,0,3,0
3603,D & N HAVELI,D and N HAVELI,2005,5,9,0,5,0,5,0
3604,D & N HAVELI,TOTAL,2005,5,9,0,5,0,5,0
4342,D & N HAVELI,D and N HAVELI,2006,6,14,1,5,1,5,0
4343,D & N HAVELI,TOTAL,2006,6,14,1,5,1,5,0
5084,D & N HAVELI,D and N HAVELI,2007,7,6,0,0,0,3,0
5085,D & N HAVELI,TOTAL,2007,7,6,0,0,0,3,0
5841,D & N HAVELI,D and N HAVELI,2008,6,11,0,4,0,4,0
5842,D & N HAVELI,TOTAL,2008,6,11,0,4,0,4,0
6608,D & N HAVELI,D and N HAVELI,2009,4,9,0,2,1,3,0
6609,D & N HAVELI,TOTAL,2009,4,9,0,2,1,3,0
7387,D & N HAVELI,D and N HAVELI,2010,3,10,0,11,2,3,0
7388,D & N HAVELI,TOTAL,2010,3,10,0,11,2,3,0
8178,D & N HAVELI,D and N HAVELI,2011,4,8,0,2,0,3,0
8179,D & N HAVELI,TOTAL,2011,4,8,0,2,0,3,0
8989,D & N HAVELI,D and N HAVELI,2012,3,9,0,2,0,0,0
8990,D & N HAVELI,TOTAL,2012,3,9,0,2,0,0,0
