,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
799,Delhi UT,CAW,2013,0,0,0,1,0,202,0
800,Delhi UT,CENTRAL,2013,71,113,2,174,28,50,0
801,Delhi UT,CRIME BRANCH,2013,4,0,0,0,0,0,0
802,Delhi UT,EAST,2013,210,428,11,364,133,246,0
803,Delhi UT,EOW,2013,0,0,0,0,0,0,0
804,Delhi UT,GRP(RLY),2013,4,5,0,11,1,0,0
805,Delhi UT,IGI AIRPORT,2013,0,1,0,9,5,0,0
806,Delhi UT,METRO RAIL,2013,0,4,1,16,12,2,0
807,Delhi UT,NEW DELHI,2013,19,35,1,66,25,17,0
808,Delhi UT,NORTH,2013,53,151,9,164,25,107,0
809,Delhi UT,NORTH-EAST,2013,183,513,27,333,30,438,0
810,Delhi UT,NORTH-WEST,2013,143,343,17,301,45,236,0
811,Delhi UT,OUTER,2013,178,530,14,332,155,466,0
812,Delhi UT,SOUTH,2013,163,328,10,539,140,117,0
813,Delhi UT,SOUTH-EAST,2013,230,404,16,386,95,220,0
814,Delhi UT,SOUTH-WEST,2013,194,330,14,419,128,403,0
815,Delhi UT,STF,2013,0,0,0,0,0,0,0
816,Delhi UT,WEST,2013,184,424,22,400,94,529,0
817,Delhi UT,ZZ TOTAL,2013,1636,3609,144,3515,916,3033,0
812,Delhi UT,Central,2014,91,169,7,212,37,99,0
813,Delhi UT,Crime Branch,2014,1,1,0,1,0,0,0
814,Delhi UT,East,2014,230,346,15,446,114,477,0
815,Delhi UT,EOW,2014,0,0,0,2,0,0,0
816,Delhi UT,IGI Airport,2014,0,0,0,12,4,0,0
817,Delhi UT,Metro,2014,1,2,0,28,3,0,0
818,Delhi UT,New Delhi,2014,20,25,2,56,18,15,0
819,Delhi UT,North,2014,60,149,6,180,18,117,0
820,Delhi UT,North-East,2014,237,578,27,492,50,349,0
821,Delhi UT,North-West,2014,165,354,14,404,51,246,0
822,Delhi UT,Outer,2014,259,688,22,428,146,521,0
823,Delhi UT,RAILWAY,2014,1,8,0,19,1,0,0
824,Delhi UT,South,2014,280,369,6,595,665,143,0
825,Delhi UT,South-East,2014,266,402,24,469,123,312,0
826,Delhi UT,South-West,2014,234,397,17,494,68,318,0
827,Delhi UT,Spl Cell,2014,0,0,0,0,0,0,0
828,Delhi UT,SPUWAC,2014,0,0,0,0,0,160,0
829,Delhi UT,Vigilance,2014,0,0,0,0,0,0,0
830,Delhi UT,West,2014,251,546,13,484,63,416,0
831,Delhi UT,Total District(s),2014,2096,4034,153,4322,1361,3173,0
827,Delhi UT,Central,2015,85,188,4,256,71,110,0
828,Delhi UT,Crime Branch,2015,2,1,0,0,0,0,0
829,Delhi UT,East,2015,239,448,6,588,214,414,0
830,Delhi UT,EOW,2015,0,0,0,6,0,0,0
831,Delhi UT,IGI Airport,2015,1,2,0,11,6,0,0
832,Delhi UT,Metro,2015,4,1,0,15,2,1,0
833,Delhi UT,New Delhi,2015,22,26,0,48,12,6,0
834,Delhi UT,North,2015,48,160,2,173,14,114,0
835,Delhi UT,North-East,2015,244,533,13,486,40,469,0
836,Delhi UT,North-West,2015,172,373,14,400,80,285,0
837,Delhi UT,Outer,2015,315,652,28,536,180,563,0
838,Delhi UT,RAILWAY,2015,15,9,0,13,3,0,0
839,Delhi UT,South,2015,323,495,10,1183,520,172,0
840,Delhi UT,South-East,2015,240,475,14,559,141,300,0
841,Delhi UT,South-West,2015,217,413,13,606,107,397,0
842,Delhi UT,Spl Cell,2015,0,0,0,1,0,0,0
843,Delhi UT,SPUWAC,2015,0,0,0,0,0,157,0
844,Delhi UT,Vigilance,2015,0,0,0,0,0,0,0
845,Delhi UT,West,2015,272,525,18,486,102,533,0
846,Delhi UT,Total District(s),2015,2199,4301,122,5367,1492,3521,0
