,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
161,Goa,NORTH GOA,2013,48,31,0,103,36,17,0
162,Goa,SOUTH GOA,2013,38,39,0,59,18,23,0
163,Goa,ZZ TOTAL,2013,86,70,0,162,54,40,0
145,Goa,North Goa,2014,55,55,0,146,40,11,0
146,Goa,South Goa,2014,37,31,0,53,17,23,0
147,Goa,C. I. D.,2014,3,0,0,3,0,1,0
148,Goa,Total District(s),2014,95,86,0,202,57,35,0
157,Goa,North Goa,2015,49,43,0,86,9,4,0
158,Goa,South Goa,2015,34,27,0,57,24,12,0
159,Goa,C. I. D.,2015,3,0,0,7,1,3,0
160,Goa,Total District(s),2015,86,70,0,150,34,19,0
