,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
164,Gujarat,AHMEDABAD COMMR.,2013,116,353,20,180,8,1756,0
165,Gujarat,AHMEDABAD RURAL,2013,17,62,0,33,0,167,0
166,Gujarat,AHWA-DANG,2013,4,5,0,7,1,20,0
167,Gujarat,AMRELI,2013,11,60,0,16,2,157,0
168,Gujarat,ANAND,2013,12,70,1,20,4,162,0
169,Gujarat,BHARUCH,2013,23,41,0,30,0,53,0
170,Gujarat,BHAVNAGAR,2013,17,100,1,50,7,220,0
171,Gujarat,CID CRIME,2013,0,1,0,0,0,0,0
172,Gujarat,DAHOD,2013,14,75,0,15,0,1,0
173,Gujarat,GANDHINAGAR,2013,22,61,0,31,6,200,0
174,Gujarat,HIMATNAGAR,2013,14,74,0,33,8,304,0
175,Gujarat,JAMNAGAR,2013,27,46,1,26,3,480,0
176,Gujarat,JUNAGADH,2013,29,76,1,52,12,461,0
177,Gujarat,KHEDA NORTH,2013,14,64,0,21,1,148,0
178,Gujarat,KUTCH (EAST(G)),2013,25,41,0,34,0,249,0
179,Gujarat,KUTCH (WEST-BHUJ),2013,28,26,0,29,0,200,0
180,Gujarat,MEHSANA,2013,11,124,0,37,0,321,0
181,Gujarat,NARMADA,2013,7,21,0,15,0,10,0
182,Gujarat,NAVSARI,2013,9,31,0,13,1,88,0
183,Gujarat,PALANPUR,2013,62,94,0,96,3,377,0
184,Gujarat,PANCHMAHAL,2013,16,96,0,46,0,217,0
185,Gujarat,PATAN,2013,19,74,0,47,1,174,0
186,Gujarat,PORBANDAR,2013,6,14,0,6,0,79,0
187,Gujarat,RAJKOT COMMR.,2013,14,47,1,18,4,254,0
188,Gujarat,RAJKOT RURAL,2013,30,74,1,41,2,404,0
189,Gujarat,SURAT COMMR.,2013,76,195,2,91,0,491,0
190,Gujarat,SURAT RURAL,2013,19,27,1,15,0,114,0
191,Gujarat,SURENDRANAGAR,2013,18,66,0,51,7,133,0
192,Gujarat,TAPI,2013,8,17,0,13,0,12,0
193,Gujarat,VADODARA COMMR.,2013,19,68,0,107,7,417,0
194,Gujarat,VADODARA RURAL,2013,25,71,0,29,0,110,0
195,Gujarat,VALSAD,2013,19,49,0,33,0,28,0
