,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
224,Himachal Pradesh,BADDIPOLICEDIST,2013,6,23,0,17,1,20,0
225,Himachal Pradesh,BILASPUR,2013,13,43,0,32,23,32,0
226,Himachal Pradesh,CHAMBA,2013,19,13,0,31,1,7,0
227,Himachal Pradesh,CID,2013,1,0,0,0,0,0,0
228,Himachal Pradesh,G.R.P.,2013,0,0,0,1,0,0,0
229,Himachal Pradesh,HAMIRPUR,2013,12,11,0,31,20,23,0
230,Himachal Pradesh,KANGRA,2013,33,53,0,100,31,53,0
231,Himachal Pradesh,KINNAUR,2013,6,2,0,8,0,4,0
232,Himachal Pradesh,KULLU,2013,29,26,0,44,2,30,0
233,Himachal Pradesh,LAHAUL-SPITI,2013,1,0,0,0,1,0,0
234,Himachal Pradesh,MANDI,2013,31,36,0,73,14,34,0
235,Himachal Pradesh,SHIMLA,2013,32,40,0,63,11,29,0
236,Himachal Pradesh,SIRMAUR,2013,25,11,0,40,4,23,0
237,Himachal Pradesh,SOLAN,2013,17,14,0,19,1,16,0
238,Himachal Pradesh,UNA,2013,25,18,0,34,2,57,0
239,Himachal Pradesh,ZZ TOTAL,2013,250,290,0,493,111,328,0
216,Himachal Pradesh,Baddi,2014,9,10,0,15,1,19,0
217,Himachal Pradesh,Bilaspur,2014,15,43,0,72,0,25,0
218,Himachal Pradesh,Chamba,2014,23,19,0,27,1,9,0
219,Himachal Pradesh,C. I. D.,2014,1,0,0,0,0,0,0
220,Himachal Pradesh,G. R. P.,2014,0,0,0,0,0,0,0
221,Himachal Pradesh,Hamirpur,2014,13,13,0,32,14,27,0
222,Himachal Pradesh,Kangra,2014,43,26,0,79,15,46,0
223,Himachal Pradesh,Kinnaur,2014,10,3,0,5,1,3,0
224,Himachal Pradesh,Kullu,2014,16,4,0,35,0,21,0
225,Himachal Pradesh,Lahaul & Spiti,2014,0,1,0,0,0,0,0
226,Himachal Pradesh,Mandi,2014,47,33,0,101,15,50,0
227,Himachal Pradesh,Shimla,2014,39,32,0,64,10,27,0
228,Himachal Pradesh,Sirmaur,2014,28,15,0,46,2,24,0
229,Himachal Pradesh,Solan,2014,16,18,0,31,0,12,0
230,Himachal Pradesh,Una,2014,23,10,1,31,1,62,0
231,Himachal Pradesh,Total District(s),2014,283,227,1,538,60,325,0
228,Himachal Pradesh,Baddi,2015,7,12,0,19,1,15,0
229,Himachal Pradesh,Bilaspur,2015,15,23,0,45,13,12,0
230,Himachal Pradesh,Chamba,2015,26,20,1,28,0,10,0
231,Himachal Pradesh,C. I. D.,2015,0,0,0,0,0,0,0
232,Himachal Pradesh,G. R. P.,2015,0,0,0,0,0,0,0
233,Himachal Pradesh,Hamirpur,2015,6,10,0,34,9,11,0
234,Himachal Pradesh,Kangra,2015,46,35,0,60,11,39,0
235,Himachal Pradesh,Kinnaur,2015,8,5,0,4,0,3,0
236,Himachal Pradesh,Kullu,2015,23,11,0,19,4,14,0
237,Himachal Pradesh,Lahaul & Spiti,2015,3,0,0,0,1,0,0
238,Himachal Pradesh,Mandi,2015,29,38,0,84,5,25,0
239,Himachal Pradesh,Shimla,2015,24,36,0,46,7,26,0
240,Himachal Pradesh,Sirmaur,2015,31,20,0,52,2,17,0
241,Himachal Pradesh,Solan,2015,8,12,0,18,2,10,0
242,Himachal Pradesh,Una,2015,18,17,1,25,3,44,0
243,Himachal Pradesh,Total District(s),2015,244,239,2,434,58,226,0
