,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
240,Jammu & Kashmir,ANANTNAG,2013,19,88,0,129,26,4,0
241,Jammu & Kashmir,AWANTIPORA,2013,5,14,0,18,4,1,0
242,Jammu & Kashmir,BANDIPORA,2013,8,50,0,47,9,5,0
243,Jammu & Kashmir,BARAMULLA,2013,19,92,0,135,18,13,0
244,Jammu & Kashmir,BUDGAM,2013,11,61,0,26,13,2,0
245,Jammu & Kashmir,CRIME JAMMU,2013,0,0,0,0,0,0,0
246,Jammu & Kashmir,CRIME SRINAGAR,2013,0,0,0,0,0,0,0
247,Jammu & Kashmir,DODA,2013,29,36,0,41,9,41,0
248,Jammu & Kashmir,GANDERBAL,2013,5,28,0,64,4,5,0
249,Jammu & Kashmir,HANDWARA,2013,10,28,0,77,5,5,0
250,Jammu & Kashmir,JAMMU,2013,50,96,5,72,53,92,0
251,Jammu & Kashmir,KARGIL,2013,0,1,0,1,0,0,0
252,Jammu & Kashmir,KATHUA,2013,20,24,0,37,15,21,0
253,Jammu & Kashmir,KISHTWAR,2013,12,14,0,14,5,19,0
254,Jammu & Kashmir,KULGAM,2013,13,60,0,136,18,0,0
255,Jammu & Kashmir,KUPWARA,2013,19,51,0,47,14,10,0
256,Jammu & Kashmir,LEH,2013,2,0,0,2,1,0,0
257,Jammu & Kashmir,POONCH,2013,20,24,0,45,4,14,0
258,Jammu & Kashmir,PULWAMA,2013,10,28,0,19,9,3,0
259,Jammu & Kashmir,RAILWAYS JAMMU,2013,0,0,0,1,0,0,0
260,Jammu & Kashmir,RAILWAYS KASHMIR,2013,0,0,0,0,2,0,0
261,Jammu & Kashmir,RAILWAYS KATRA,2013,0,0,0,0,0,0,0
262,Jammu & Kashmir,RAJOURI,2013,30,58,1,46,16,57,0
263,Jammu & Kashmir,RAMBAN,2013,13,21,0,21,6,9,0
264,Jammu & Kashmir,REASI,2013,13,17,0,5,8,14,0
265,Jammu & Kashmir,SAMBA,2013,5,8,1,23,7,12,0
266,Jammu & Kashmir,SHOPIAN,2013,5,17,0,27,4,2,0
267,Jammu & Kashmir,SOPORE,2013,15,34,0,63,3,5,0
268,Jammu & Kashmir,SRINAGAR,2013,22,86,0,266,90,72,0
269,Jammu & Kashmir,UDHAMPUR,2013,23,13,0,27,11,22,0
270,Jammu & Kashmir,ZZ TOTAL,2013,378,949,7,1389,354,428,0
232,Jammu & Kashmir,Anantnag,2014,19,62,0,123,0,9,0
233,Jammu & Kashmir,Awantipora,2014,6,19,0,19,0,1,0
234,Jammu & Kashmir,Bandipora,2014,4,37,0,53,5,4,0
235,Jammu & Kashmir,Baramulla,2014,10,54,0,83,18,11,0
236,Jammu & Kashmir,Budgam,2014,9,46,0,30,6,3,0
237,Jammu & Kashmir,Crime Jammu,2014,0,0,0,0,0,0,0
238,Jammu & Kashmir,Crime Srinagar,2014,1,0,0,0,0,0,0
239,Jammu & Kashmir,Doda,2014,23,16,0,60,8,14,0
240,Jammu & Kashmir,Ganderbal,2014,0,20,0,54,0,3,0
241,Jammu & Kashmir,Handwara,2014,3,24,0,80,0,2,0
242,Jammu & Kashmir,Jammu,2014,68,60,4,81,52,159,0
243,Jammu & Kashmir,Kargil,2014,2,2,0,0,0,0,0
244,Jammu & Kashmir,Kathua,2014,18,33,1,43,15,21,0
245,Jammu & Kashmir,Kishtwar,2014,6,18,0,23,0,9,0
246,Jammu & Kashmir,Kulgam,2014,7,39,0,171,13,0,0
247,Jammu & Kashmir,Kupwara,2014,8,42,0,61,12,8,0
248,Jammu & Kashmir,Leh,2014,6,1,0,3,0,0,0
249,Jammu & Kashmir,Poonch,2014,13,36,0,42,8,25,0
250,Jammu & Kashmir,Pulwama,2014,7,20,0,20,6,1,0
251,Jammu & Kashmir,Railways Jammu,2014,0,0,0,1,2,0,0
252,Jammu & Kashmir,Railways Kashmir,2014,0,0,0,2,0,0,0
253,Jammu & Kashmir,Railways Katra,2014,0,0,0,0,1,0,0
254,Jammu & Kashmir,Rajouri,2014,39,60,0,65,17,71,0
255,Jammu & Kashmir,Ramban,2014,8,23,0,25,14,12,0
256,Jammu & Kashmir,Reasi,2014,16,26,0,18,3,16,0
257,Jammu & Kashmir,Samba,2014,7,12,0,10,0,8,0
258,Jammu & Kashmir,Shopian,2014,1,37,0,30,0,2,0
259,Jammu & Kashmir,Sopore,2014,8,40,0,83,0,7,0
260,Jammu & Kashmir,Srinagar,2014,12,68,0,218,44,63,0
261,Jammu & Kashmir,Udhampur,2014,30,18,0,23,13,18,0
262,Jammu & Kashmir,Total District(s),2014,331,813,5,1421,237,467,0
244,Jammu & Kashmir,Anantnag,2015,20,77,0,135,0,25,0
245,Jammu & Kashmir,Awantipora,2015,6,23,0,28,0,4,0
246,Jammu & Kashmir,Bandipora,2015,4,33,0,27,13,3,0
247,Jammu & Kashmir,Baramulla,2015,6,72,0,85,20,12,0
248,Jammu & Kashmir,Budgam,2015,13,62,1,45,5,8,0
249,Jammu & Kashmir,Crime Jammu,2015,0,0,0,0,0,1,0
250,Jammu & Kashmir,Crime Srinagar,2015,0,0,0,0,0,0,0
251,Jammu & Kashmir,Doda,2015,9,27,0,26,5,3,0
252,Jammu & Kashmir,Ganderbal,2015,0,31,0,61,0,6,0
253,Jammu & Kashmir,Handwara,2015,2,35,0,56,5,3,0
254,Jammu & Kashmir,Jammu,2015,51,202,3,111,33,92,0
255,Jammu & Kashmir,Kargil,2015,1,1,0,1,1,1,0
256,Jammu & Kashmir,Kathua,2015,20,51,0,53,4,17,0
257,Jammu & Kashmir,Kishtwar,2015,12,10,0,10,0,6,0
