,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
271,Jharkhand,BOKARO,2013,58,78,15,8,0,243,0
272,Jharkhand,CHAIBASA,2013,77,27,0,36,0,55,0
273,Jharkhand,CHATRA,2013,25,25,10,16,0,19,0
274,Jharkhand,DEOGHAR,2013,61,5,24,65,0,252,0
275,Jharkhand,DHANBAD,2013,65,144,37,6,0,89,0
276,Jharkhand,DHANBAD RLY.,2013,0,5,0,11,0,0,0
277,Jharkhand,DUMKA,2013,41,26,10,15,0,73,0
278,Jharkhand,GARHWA,2013,53,28,30,33,0,125,0
279,Jharkhand,GIRIDIH,2013,53,29,44,24,0,323,0
280,Jharkhand,GODDA,2013,44,28,8,0,0,0,0
281,Jharkhand,GUMLA,2013,59,34,1,15,0,17,0
282,Jharkhand,HAZARIBAGH,2013,63,62,28,35,0,50,0
283,Jharkhand,JAMSHEDPUR,2013,85,81,15,86,5,186,0
284,Jharkhand,JAMSHEDPUR RLY.,2013,3,1,1,4,0,0,0
285,Jharkhand,JAMTARA,2013,32,21,8,9,1,150,0
286,Jharkhand,KHUNTI,2013,9,7,0,8,1,8,0
287,Jharkhand,KODERMA,2013,23,25,6,17,0,48,0
288,Jharkhand,LATEHAR,2013,27,10,5,19,0,16,0
289,Jharkhand,LOHARDAGGA,2013,34,10,3,2,0,35,0
290,Jharkhand,PAKUR,2013,48,26,2,10,0,147,0
291,Jharkhand,PALAMU,2013,31,24,22,18,0,31,0
292,Jharkhand,RAMGARH,2013,36,35,14,18,9,25,0
293,Jharkhand,RANCHI,2013,70,59,13,23,2,47,2
294,Jharkhand,SAHEBGANJ,2013,145,83,5,13,0,104,0
295,Jharkhand,SARAIKELA,2013,33,33,6,24,0,28,0
296,Jharkhand,SIMDEGA,2013,29,20,0,9,0,13,0
297,Jharkhand,ZZ TOTAL,2013,1204,926,307,524,18,2084,2
263,Jharkhand,Bokaro,2014,63,97,18,0,0,187,0
264,Jharkhand,Chaibasa,2014,54,22,2,22,0,19,0
265,Jharkhand,Chatra,2014,18,31,62,19,8,24,0
266,Jharkhand,Deoghar,2014,25,63,28,21,0,138,0
267,Jharkhand,Dhanbad,2014,54,148,28,54,0,99,0
268,Jharkhand,Dhanbad Railway,2014,0,4,2,6,0,0,0
269,Jharkhand,Dumka,2014,39,16,11,9,4,55,0
270,Jharkhand,Garhwa,2014,50,82,25,19,0,45,0
271,Jharkhand,Giridih,2014,58,0,40,39,0,176,0
272,Jharkhand,Godda,2014,34,17,3,0,0,57,0
273,Jharkhand,Gumla,2014,67,40,1,15,0,24,0
274,Jharkhand,Hazaribagh,2014,52,26,23,50,0,37,0
275,Jharkhand,Jamshedpur,2014,55,70,13,47,2,110,0
276,Jharkhand,Jamshedpur Railway,2014,0,3,0,2,0,0,0
277,Jharkhand,Jamtara,2014,27,24,10,29,0,70,2
278,Jharkhand,Khunti,2014,7,8,2,3,0,11,0
279,Jharkhand,Koderma,2014,15,15,16,0,0,39,0
280,Jharkhand,Latehar,2014,25,11,8,0,0,17,0
281,Jharkhand,Lohardagga,2014,43,19,2,5,0,24,0
282,Jharkhand,Pakur,2014,55,11,1,12,0,91,0
283,Jharkhand,Palamu,2014,44,23,19,15,0,42,0
284,Jharkhand,Ramgarh,2014,48,29,11,20,2,34,0
285,Jharkhand,Ranchi,2014,75,76,13,1,2,48,0
286,Jharkhand,Sahebganj,2014,87,40,4,20,0,75,0
287,Jharkhand,Saraikela,2014,31,7,7,27,0,27,0
288,Jharkhand,Simdega,2014,24,3,1,5,0,13,0
289,Jharkhand,Total District(s),2014,1050,885,350,440,18,1462,2
275,Jharkhand,Bokaro,2015,97,123,14,0,0,260,0
276,Jharkhand,Chaibasa,2015,59,49,5,20,0,17,0
277,Jharkhand,Chatra,2015,24,35,16,19,0,34,0
278,Jharkhand,Deoghar,2015,44,78,25,40,5,195,0
279,Jharkhand,Dhanbad,2015,40,80,9,128,0,45,0
280,Jharkhand,Dhanbad Railway,2015,1,4,0,11,0,0,0
281,Jharkhand,Dumka,2015,46,34,13,26,4,48,0
282,Jharkhand,Garhwa,2015,48,29,17,38,0,53,0
283,Jharkhand,Giridih,2015,45,57,35,238,0,116,0
284,Jharkhand,Godda,2015,30,17,6,0,0,82,0
285,Jharkhand,Gumla,2015,56,29,2,16,0,21,0
286,Jharkhand,Hazaribagh,2015,57,53,22,62,0,53,0
287,Jharkhand,Jamshedpur,2015,68,79,14,53,0,129,0
288,Jharkhand,Jamshedpur Railway,2015,0,2,0,0,1,0,0
289,Jharkhand,Jamtara,2015,17,12,15,25,0,72,0
290,Jharkhand,Khunti,2015,21,3,0,10,0,2,0
291,Jharkhand,Koderma,2015,17,17,5,3,0,67,0
292,Jharkhand,Latehar,2015,28,16,4,32,0,20,0
293,Jharkhand,Lohardagga,2015,37,18,3,15,0,13,0
294,Jharkhand,Pakur,2015,54,22,4,16,0,111,0
295,Jharkhand,Palamu,2015,45,39,21,19,0,31,0
296,Jharkhand,Ramgarh,2015,20,16,11,39,0,21,0
297,Jharkhand,Ranchi,2015,89,65,8,0,0,58,0
298,Jharkhand,Sahebganj,2015,60,11,9,12,0,155,0
299,Jharkhand,Saraikela,2015,23,35,7,19,0,41,0
300,Jharkhand,Simdega,2015,27,7,2,3,0,10,0
301,Jharkhand,Total District(s),2015,1053,930,267,844,10,1654,0
