,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
355,Madhya Pradesh,AGAR,2013,24,8,1,41,1,30,0
356,Madhya Pradesh,ALIRAJPUR,2013,29,14,0,14,0,19,0
357,Madhya Pradesh,ANUPPUR,2013,84,32,9,115,13,85,0
358,Madhya Pradesh,ASHOK NAGAR,2013,64,23,8,141,6,40,0
359,Madhya Pradesh,BALAGHAT,2013,99,5,6,140,10,92,0
360,Madhya Pradesh,BARWANI,2013,51,39,7,76,9,17,0
361,Madhya Pradesh,BETUL,2013,119,66,7,222,18,92,0
362,Madhya Pradesh,BHIND,2013,57,49,28,117,0,53,0
363,Madhya Pradesh,BHOPAL,2013,173,102,18,357,52,344,0
364,Madhya Pradesh,BHOPAL RLY.,2013,5,2,0,15,4,2,0
365,Madhya Pradesh,BURHANPUR,2013,34,18,5,92,9,42,0
366,Madhya Pradesh,CHHATARPUR,2013,77,38,24,220,0,81,0
367,Madhya Pradesh,CHHINDWARA,2013,151,187,9,194,39,145,0
368,Madhya Pradesh,DAMOH,2013,50,20,25,147,0,59,0
369,Madhya Pradesh,DATIYA,2013,27,20,16,64,0,40,0
370,Madhya Pradesh,DEWAS,2013,81,16,8,124,14,101,0
371,Madhya Pradesh,DHAR,2013,108,169,48,211,18,115,0
372,Madhya Pradesh,DINDORI,2013,76,20,6,120,8,47,0
373,Madhya Pradesh,GUNA,2013,105,23,5,157,18,36,0
374,Madhya Pradesh,GWALIOR,2013,158,53,43,369,47,446,0
375,Madhya Pradesh,HARDA,2013,33,5,3,48,3,16,0
376,Madhya Pradesh,HOSHANGABAD,2013,79,76,10,152,17,84,0
377,Madhya Pradesh,INDORE,2013,190,288,31,369,69,350,0
378,Madhya Pradesh,INDORE RLY.,2013,3,6,1,9,0,0,0
379,Madhya Pradesh,JABALPUR,2013,145,151,37,303,67,218,0
380,Madhya Pradesh,JABALPUR RLY.,2013,1,1,1,13,1,1,0
381,Madhya Pradesh,JHABUA,2013,49,73,0,60,0,10,0
382,Madhya Pradesh,KATNI,2013,65,61,13,206,8,60,0
383,Madhya Pradesh,KHANDWA,2013,97,101,6,179,13,46,1
384,Madhya Pradesh,KHARGON,2013,95,167,34,213,16,111,0
385,Madhya Pradesh,MANDLA,2013,88,14,2,104,11,46,0
386,Madhya Pradesh,MANDSAUR,2013,74,27,4,143,17,145,1
387,Madhya Pradesh,MORENA,2013,60,42,40,116,5,151,0
388,Madhya Pradesh,NARSINGHPUR,2013,101,57,16,189,12,115,0
389,Madhya Pradesh,NEEMUCH,2013,49,41,0,84,10,62,3
390,Madhya Pradesh,PANNA,2013,45,12,14,85,2,29,0
391,Madhya Pradesh,RAISEN,2013,115,32,9,204,33,94,0
392,Madhya Pradesh,RAJGARH,2013,120,71,8,203,10,83,0
393,Madhya Pradesh,RATLAM,2013,88,49,10,89,5,77,2
394,Madhya Pradesh,REWA,2013,113,30,47,178,3,127,0
395,Madhya Pradesh,SAGAR,2013,135,55,36,422,40,130,0
396,Madhya Pradesh,SATNA,2013,124,33,35,204,11,135,0
397,Madhya Pradesh,SEONI,2013,75,39,15,130,8,24,0
398,Madhya Pradesh,SHAHDOL,2013,115,96,9,216,9,193,0
399,Madhya Pradesh,SHAJAPUR,2013,44,20,2,113,7,37,0
