,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
456,Manipur,BISHNUPUR,2013,7,4,0,3,0,1,0
457,Manipur,CHANDEL,2013,1,2,0,0,0,0,0
458,Manipur,CHURACHANDPUR,2013,0,3,0,2,0,0,0
459,Manipur,CID,2013,0,0,0,0,0,0,0
460,Manipur,IMPHAL EAST,2013,12,34,0,9,0,8,0
461,Manipur,IMPHAL WEST,2013,26,42,0,34,0,9,0
462,Manipur,SENAPATI,2013,0,3,0,0,0,1,0
463,Manipur,TAMENGLONG,2013,0,2,0,1,0,0,0
464,Manipur,THOUBAL,2013,24,32,0,9,0,9,0
465,Manipur,UKHRUL,2013,2,3,0,1,0,1,0
466,Manipur,ZZ TOTAL,2013,72,125,0,59,0,29,0
452,Manipur,Bishnupur,2014,9,8,0,6,0,3,0
453,Manipur,Chandel,2014,0,0,0,1,0,0,0
454,Manipur,Churachandpur,2014,5,3,0,3,0,0,0
455,Manipur,C. I. D.,2014,0,0,0,0,0,0,0
456,Manipur,Imphal East,2014,20,17,1,7,0,8,0
457,Manipur,Imphal West,2014,20,36,0,44,0,14,0
458,Manipur,Senapati,2014,1,1,0,2,0,0,0
459,Manipur,Tamenglong,2014,0,4,0,0,0,0,0
460,Manipur,Thoubal,2014,19,51,0,35,0,16,0
461,Manipur,Ukhrul,2014,1,1,0,0,0,0,0
462,Manipur,Total District(s),2014,75,121,1,98,0,41,0
464,Manipur,Bishnupur,2015,10,12,0,9,0,10,0
465,Manipur,Chandel,2015,0,1,0,0,0,1,0
466,Manipur,Churachandpur,2015,2,0,0,0,0,0,0
467,Manipur,C. I. D.,2015,0,0,0,0,0,0,0
468,Manipur,Imphal East,2015,11,17,0,23,2,5,0
469,Manipur,Imphal West,2015,13,34,0,43,0,13,0
470,Manipur,Senapati,2015,0,2,0,0,0,0,0
471,Manipur,Tamenglong,2015,0,0,0,0,0,0,0
472,Manipur,Thoubal,2015,9,28,0,9,0,10,0
473,Manipur,Ukhrul,2015,1,0,0,0,0,0,0
474,Manipur,Total District(s),2015,46,94,0,84,2,39,0
