,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
467,Meghalaya,GARO HILLS EAST,2013,5,1,0,6,0,0,0
468,Meghalaya,GARO HILLS NORTH,2013,1,5,0,0,0,1,0
469,Meghalaya,GARO HILLS SOUTH,2013,7,1,0,2,0,1,0
470,Meghalaya,GARO HILLS SOUTH W.,2013,10,1,0,5,0,0,0
471,Meghalaya,GARO HILLS WEST,2013,15,1,0,16,0,6,0
472,Meghalaya,JAINTIA HILLS EAST,2013,14,1,0,3,0,0,0
473,Meghalaya,JAINTIA HILLS WEST,2013,24,0,0,10,0,2,0
474,Meghalaya,KHASI HILLS EAST,2013,55,11,2,32,0,11,0
475,Meghalaya,KHASI HILLS SOUTH W.,2013,11,2,0,2,0,2,0
476,Meghalaya,KHASI HILLS WEST,2013,12,4,0,14,0,0,0
477,Meghalaya,RI-BHOI,2013,29,6,0,8,0,0,0
478,Meghalaya,ZZ TOTAL,2013,183,33,2,98,0,23,0
463,Meghalaya,Garo Hills East,2014,3,0,0,3,1,0,0
464,Meghalaya,Garo Hills North,2014,3,8,0,8,0,1,0
465,Meghalaya,Garo Hills South,2014,3,4,0,3,0,3,0
466,Meghalaya,Garo Hills South West,2014,4,1,0,8,1,1,0
467,Meghalaya,Garo Hills West,2014,11,9,0,11,7,10,0
468,Meghalaya,Jaintia Hills West,2014,10,2,0,5,3,1,0
469,Meghalaya,Jaintia Hills East,2014,11,0,0,7,0,0,0
470,Meghalaya,Khasi Hills East,2014,14,7,0,45,35,26,0
471,Meghalaya,Khasi Hills South West,2014,12,0,1,0,7,0,0
472,Meghalaya,Khasi Hills West,2014,19,1,0,4,0,0,0
473,Meghalaya,Ri-Bhoi,2014,28,6,0,11,0,0,0
474,Meghalaya,Total District(s),2014,118,38,1,105,54,42,0
475,Meghalaya,Garo Hills East,2015,2,0,0,5,0,1,0
476,Meghalaya,Garo Hills North,2015,5,10,0,5,0,1,0
477,Meghalaya,Garo Hills South,2015,2,3,0,2,0,0,0
478,Meghalaya,Garo Hills South West,2015,5,0,0,8,1,6,0
479,Meghalaya,Garo Hills West,2015,10,20,0,10,1,9,0
480,Meghalaya,Jaintia Hills West,2015,9,7,0,0,0,0,0
481,Meghalaya,Jaintia Hills East,2015,5,2,0,8,0,0,0
482,Meghalaya,Khasi Hills East,2015,15,3,0,43,17,24,0
483,Meghalaya,Khasi Hills South West,2015,4,0,0,2,0,0,0
484,Meghalaya,Khasi Hills West,2015,3,2,0,4,0,2,0
485,Meghalaya,Ri-Bhoi,2015,33,11,1,8,1,1,0
486,Meghalaya,Total District(s),2015,93,58,1,95,20,44,0
