,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
479,Mizoram,AIZAWL,2013,37,1,0,37,0,5,0
480,Mizoram,CHAMPHAI,2013,12,0,0,5,0,0,0
481,Mizoram,KOLASIB,2013,9,1,0,7,0,0,0
482,Mizoram,LAWNGTLAI,2013,3,0,0,6,0,0,0
483,Mizoram,LUNGLEI,2013,15,0,0,13,0,0,0
484,Mizoram,MAMIT,2013,5,0,0,5,0,0,0
485,Mizoram,SAIHA,2013,4,0,0,1,0,0,0
486,Mizoram,SERCHHIP,2013,4,0,0,7,0,0,0
487,Mizoram,SPL NARCOTIC,2013,0,0,0,0,0,0,0
488,Mizoram,TRAFFIC PS,2013,0,0,0,0,0,0,0
489,Mizoram,ZZ TOTAL,2013,89,2,0,81,0,5,0
475,Mizoram,Aizawl,2014,39,1,0,58,0,5,0
476,Mizoram,Champhai,2014,22,1,0,0,29,0,0
477,Mizoram,Kolasib,2014,10,1,0,10,0,1,0
478,Mizoram,Lawngtlai,2014,9,0,0,5,0,0,0
479,Mizoram,Lunglei,2014,14,0,0,13,0,0,0
480,Mizoram,Mamit,2014,10,0,0,6,0,2,0
481,Mizoram,Saiha,2014,4,0,0,2,0,0,0
482,Mizoram,Serchhip,2014,12,0,0,3,0,0,0
483,Mizoram,Spl Traffic,2014,0,0,0,0,0,0,0
484,Mizoram,Total District(s),2014,120,3,0,97,29,8,0
487,Mizoram,Aizawl,2015,17,3,0,30,1,3,0
488,Mizoram,Champhai,2015,5,0,0,5,0,0,0
489,Mizoram,Kolasib,2015,6,3,0,7,0,3,0
490,Mizoram,Lawngtlai,2015,7,1,0,3,0,0,0
491,Mizoram,Lunglei,2015,9,0,0,16,1,0,0
492,Mizoram,Mamit,2015,1,0,0,9,0,2,0
493,Mizoram,Saiha,2015,6,0,0,2,0,0,0
494,Mizoram,Serchhip,2015,7,1,0,3,0,1,0
495,Mizoram,Spl Traffic,2015,0,0,0,0,0,0,0
496,Mizoram,Spl Narcotic,2015,0,0,0,0,0,0,0
497,Mizoram,Total District(s),2015,58,8,0,75,2,9,0
