,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
490,Nagaland,DIMAPUR,2013,14,10,1,18,1,4,0
491,Nagaland,KIPHIRE,2013,2,0,0,0,0,0,0
492,Nagaland,KOHIMA,2013,5,0,0,0,0,0,0
493,Nagaland,LONGLENG,2013,0,0,0,0,0,0,0
494,Nagaland,MOKOKCHUNG,2013,3,0,0,0,0,0,0
495,Nagaland,MON,2013,1,1,0,0,0,0,0
496,Nagaland,PEREN,2013,1,0,0,0,0,0,0
497,Nagaland,PHEK,2013,4,0,0,0,0,0,0
498,Nagaland,TUENSANG,2013,1,0,0,0,0,0,0
499,Nagaland,WOKHA,2013,0,0,0,0,0,0,0
500,Nagaland,ZUNHEBOTO,2013,0,0,0,0,0,0,0
501,Nagaland,ZZ TOTAL,2013,31,11,1,18,1,4,0
485,Nagaland,Dimapur,2014,12,8,0,10,1,3,0
486,Nagaland,Kiphire,2014,1,0,0,0,0,0,0
487,Nagaland,Kohima,2014,9,3,0,0,0,0,0
488,Nagaland,Longleng,2014,1,0,0,0,0,0,0
489,Nagaland,Mokokchung,2014,1,1,0,2,0,0,0
490,Nagaland,Mon,2014,1,0,0,0,0,0,0
491,Nagaland,Peren,2014,0,0,0,1,0,0,0
492,Nagaland,Phek,2014,1,0,0,3,0,0,0
493,Nagaland,Tuensang,2014,1,1,0,0,0,0,0
494,Nagaland,Wokha,2014,0,0,0,0,0,0,0
495,Nagaland,Zunheboto,2014,3,0,0,0,0,0,0
496,Nagaland,Total District(s),2014,30,13,0,16,1,3,0
498,Nagaland,Dimapur,2015,16,29,0,6,1,2,0
499,Nagaland,Kiphire,2015,0,0,0,0,0,0,0
500,Nagaland,Kohima,2015,10,0,0,0,8,1,0
501,Nagaland,Longleng,2015,0,0,0,0,0,0,0
502,Nagaland,Mokokchung,2015,1,0,0,0,0,0,0
503,Nagaland,Mon,2015,2,0,0,2,0,1,0
504,Nagaland,Peren,2015,1,0,0,0,0,0,0
505,Nagaland,Phek,2015,2,0,0,0,0,0,0
506,Nagaland,Tuensang,2015,0,1,0,0,0,0,0
507,Nagaland,Wokha,2015,2,0,0,0,0,0,0
508,Nagaland,Zunheboto,2015,1,0,0,0,0,0,0
509,Nagaland,Total District(s),2015,35,30,0,8,9,4,0
