,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
820,Puducherry,KARAIKAL,2013,6,2,1,1,1,1,0
821,Puducherry,PUDUCHERRY,2013,11,23,0,11,7,7,0
822,Puducherry,ZZ TOTAL,2013,17,25,1,12,8,8,0
834,Puducherry,Karaikal,2014,3,1,0,12,1,1,0
835,Puducherry,Puducherry,2014,7,6,1,20,7,3,0
836,Puducherry,Total District(s),2014,10,7,1,32,8,4,0
849,Puducherry,Karaikal,2015,0,1,0,8,3,0,0
850,Puducherry,Puducherry,2015,3,13,1,25,7,4,0
851,Puducherry,Total District(s),2015,3,14,1,33,10,4,0
852,Puducherry,0,0,0,0,0,0,0,0,0
