,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
539,Punjab,AMRITSAR RURAL,2013,34,45,3,60,1,50,0
540,Punjab,BARNALA,2013,17,37,2,11,0,17,0
541,Punjab,BATALA,2013,31,29,1,26,0,35,0
542,Punjab,BHATINDA,2013,52,48,4,57,2,89,0
543,Punjab,CP AMRITSAR,2013,29,53,4,53,4,101,0
544,Punjab,CP JALANDHAR,2013,41,59,11,78,14,162,0
545,Punjab,CP LUDHIANA,2013,109,110,13,81,21,140,0
546,Punjab,FARIDKOT,2013,20,17,3,29,0,21,0
547,Punjab,FATEHGARH SAHIB,2013,17,20,1,13,0,47,0
548,Punjab,FAZILKA,2013,34,32,4,14,4,33,0
549,Punjab,FEROZPUR,2013,17,28,3,8,0,48,0
550,Punjab,G.R.P,2013,2,2,0,5,0,0,0
551,Punjab,GURDASPUR,2013,23,36,3,41,1,44,0
552,Punjab,HOSHIARPUR,2013,36,28,5,54,0,154,0
553,Punjab,JALANDHAR RURAL,2013,39,21,5,51,5,71,0
554,Punjab,KAPURTHALA,2013,30,39,7,40,0,62,0
555,Punjab,KHANNA,2013,16,17,2,29,6,24,0
556,Punjab,LUDHIANA RURAL,2013,17,38,2,18,1,20,0
557,Punjab,MANSA,2013,18,9,1,16,2,23,0
558,Punjab,MOGA,2013,29,35,5,22,0,24,0
559,Punjab,MUKTSAR,2013,18,42,3,20,1,39,0
560,Punjab,PATHANKOT,2013,11,15,0,10,0,32,0
561,Punjab,PATIALA,2013,56,56,11,84,2,159,0
562,Punjab,ROPAR,2013,30,42,4,29,0,27,0
563,Punjab,SANGRUR,2013,56,39,11,48,2,63,0
564,Punjab,SAS NGR,2013,51,51,10,92,0,191,0
565,Punjab,SBS NAGAR,2013,21,8,1,13,1,31,0
566,Punjab,TARN TARAN,2013,34,31,7,43,0,34,0
567,Punjab,ZZ TOTAL,2013,888,987,126,1045,67,1741,0
534,Punjab,Amritsar Rural,2014,31,83,6,78,0,53,0
535,Punjab,Barnala,2014,31,25,0,17,0,27,0
536,Punjab,Batala,2014,30,34,3,36,0,37,0
537,Punjab,Bathinda,2014,56,49,5,77,0,74,0
538,Punjab,CP Amritsar,2014,34,56,3,45,2,150,0
539,Punjab,CP Jalandhar,2014,49,77,1,77,2,106,0
540,Punjab,CP Ludhiana,2014,111,246,5,98,19,158,0
541,Punjab,Faridkot,2014,24,10,1,16,0,16,0
542,Punjab,Fatehgarh Sahib,2014,26,15,4,22,0,28,0
543,Punjab,Fazilka,2014,52,28,4,18,0,59,0
544,Punjab,Ferozepur,2014,55,17,3,31,0,45,0
545,Punjab,G. R. P.,2014,1,0,0,3,0,0,0
546,Punjab,Gurdaspur,2014,26,19,2,37,0,47,0
547,Punjab,Hoshiarpur,2014,43,52,7,41,2,93,0
548,Punjab,Jalandhar Rural,2014,31,34,2,37,0,32,0
549,Punjab,Kapurthala,2014,29,29,3,33,1,58,0
550,Punjab,Khanna,2014,23,37,3,34,0,38,0
551,Punjab,Ludhiana Rural,2014,14,41,3,22,0,30,0
552,Punjab,Mansa,2014,22,8,5,22,2,39,0
553,Punjab,Moga,2014,29,29,0,39,2,27,0
554,Punjab,Muktsar,2014,29,26,1,24,1,26,0
555,Punjab,Pathankot,2014,11,6,4,11,0,80,0
556,Punjab,Patiala,2014,38,51,4,66,1,175,0
557,Punjab,Ropar,2014,21,33,2,52,2,37,0
558,Punjab,Sangrur,2014,57,46,7,54,0,85,0
559,Punjab,SAS Nagar,2014,59,75,5,57,0,74,0
560,Punjab,SBS Nagar,2014,20,14,2,18,1,35,0
561,Punjab,Tarn Taran,2014,29,36,5,48,0,52,0
562,Punjab,Total District(s),2014,981,1176,90,1113,35,1681,0
549,Punjab,Amritsar Rural,2015,49,69,2,60,0,59,0
550,Punjab,Barnala,2015,28,29,0,33,0,26,0
551,Punjab,Batala,2015,27,41,8,25,0,43,0
552,Punjab,Bathinda,2015,57,47,7,55,2,48,0
553,Punjab,CP Amritsar,2015,27,62,3,38,2,102,0
554,Punjab,CP Jalandhar,2015,41,99,1,77,7,114,0
555,Punjab,CP Ludhiana,2015,101,231,4,131,7,128,0
556,Punjab,Faridkot,2015,24,8,1,36,0,13,0
557,Punjab,Fatehgarh Sahib,2015,22,13,0,32,0,40,0
558,Punjab,Fazilka,2015,44,24,2,36,0,52,0
559,Punjab,Ferozepur,2015,26,38,0,40,1,40,0
560,Punjab,G. R. P.,2015,1,2,0,5,1,0,0
561,Punjab,Gurdaspur,2015,17,25,3,16,0,36,0
562,Punjab,Hoshiarpur,2015,45,47,10,53,0,115,0
563,Punjab,Jalandhar Rural,2015,33,32,2,36,0,37,0
564,Punjab,Kapurthala,2015,21,32,5,33,1,46,0
565,Punjab,Khanna,2015,14,42,0,21,0,33,0
566,Punjab,Ludhiana Rural,2015,7,58,1,24,1,31,0
567,Punjab,Mansa,2015,26,7,2,22,0,46,0
568,Punjab,Moga,2015,22,39,0,33,2,25,0
569,Punjab,Muktsar,2015,21,23,1,19,3,37,0
570,Punjab,Pathankot,2015,17,24,1,28,0,49,0
571,Punjab,Patiala,2015,57,87,7,83,0,152,0
572,Punjab,Ropar,2015,19,16,5,34,0,31,0
573,Punjab,Sangrur,2015,45,48,9,51,0,64,0
574,Punjab,SAS Nagar,2015,43,65,5,51,0,127,0
575,Punjab,SBS Nagar,2015,16,0,1,13,0,37,0
576,Punjab,Tarn Taran,2015,36,45,5,38,0,52,0
577,Punjab,Total District(s),2015,886,1253,85,1123,27,1583,0
