,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
568,Rajasthan,AJMER,2013,100,155,16,166,1,863,0
569,Rajasthan,ALWAR,2013,316,253,42,288,0,707,0
570,Rajasthan,BANSWARA,2013,117,105,13,108,0,205,0
571,Rajasthan,BARAN,2013,66,102,1,208,0,289,0
572,Rajasthan,BARMER,2013,55,25,21,190,0,274,0
573,Rajasthan,BHARATPUR,2013,164,201,34,156,0,574,0
574,Rajasthan,BHILWARA,2013,101,107,8,135,0,652,0
575,Rajasthan,BIKANER,2013,100,71,18,63,0,516,0
576,Rajasthan,BUNDI,2013,63,98,2,117,0,326,0
577,Rajasthan,CHITTORGARH,2013,93,150,4,142,0,782,1
578,Rajasthan,CHURU,2013,73,54,10,15,0,420,0
579,Rajasthan,DAUSA,2013,41,103,11,163,0,221,0
580,Rajasthan,DHOLPUR,2013,56,72,40,28,0,196,0
581,Rajasthan,DISCOM,2013,0,0,0,0,0,0,0
582,Rajasthan,DUNGARPUR,2013,86,104,6,99,0,175,0
583,Rajasthan,G.R.P.AJMER,2013,1,5,1,10,1,0,0
584,Rajasthan,G.R.P.JODHPUR,2013,0,0,0,3,0,0,0
585,Rajasthan,GANGANAGAR,2013,151,139,20,127,3,957,0
586,Rajasthan,HANUMANGARH,2013,105,92,15,121,1,599,0
587,Rajasthan,JAIPUR EAST,2013,49,94,5,107,0,267,0
588,Rajasthan,JAIPUR NORTH,2013,37,86,4,68,0,300,0
589,Rajasthan,JAIPUR RURAL,2013,68,99,8,120,0,269,0
590,Rajasthan,JAIPUR SOUTH,2013,42,71,7,39,0,214,0
591,Rajasthan,JAIPUR WEST,2013,64,128,5,69,0,329,0
592,Rajasthan,JAISALMER,2013,17,9,4,88,0,37,0
593,Rajasthan,JALORE,2013,44,38,12,72,0,180,0
594,Rajasthan,JHALAWAR,2013,117,113,5,307,5,478,0
595,Rajasthan,JHUNJHUNU,2013,72,72,12,40,0,405,0
596,Rajasthan,JODHPUR EAST,2013,20,49,1,51,0,205,0
