,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
612,Sikkim,EAST,2013,22,9,0,16,0,3,0
613,Sikkim,NORTH,2013,1,0,0,0,0,0,0
614,Sikkim,SOUTH,2013,15,5,0,8,0,1,0
615,Sikkim,WEST,2013,5,2,0,5,0,1,0
616,Sikkim,ZZ TOTAL,2013,43,16,0,29,0,5,0
606,Sikkim,East,2014,16,9,0,15,0,4,0
607,Sikkim,North,2014,2,0,0,1,0,1,0
608,Sikkim,South,2014,15,2,0,13,3,0,0
609,Sikkim,West,2014,14,1,0,5,0,0,0
610,Sikkim,CID,2014,0,0,0,0,0,0,0
611,Sikkim,Total District(s),2014,47,12,0,34,3,5,0
622,Sikkim,East,2015,0,18,1,14,2,2,0
623,Sikkim,North,2015,0,0,0,1,0,0,0
624,Sikkim,South,2015,2,3,0,3,0,0,0
625,Sikkim,West,2015,3,0,0,3,0,0,0
626,Sikkim,Total District(s),2015,5,21,1,21,2,2,0
