,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
617,Tamil Nadu,ARIYALUR,2013,10,18,3,23,0,8,0
618,Tamil Nadu,CHENNAI,2013,83,42,12,55,155,221,0
619,Tamil Nadu,CHENNAI RLY.,2013,0,0,0,5,0,1,0
620,Tamil Nadu,COIMBATORE RURAL,2013,11,17,1,41,7,49,0
621,Tamil Nadu,COIMBATORE URBAN,2013,17,3,1,15,4,48,0
622,Tamil Nadu,CUDDALORE,2013,36,48,6,8,0,66,0
623,Tamil Nadu,DHARMAPURI,2013,23,151,2,48,1,65,0
624,Tamil Nadu,DINDIGUL,2013,13,95,1,46,0,95,0
625,Tamil Nadu,ERODE,2013,14,26,0,25,0,21,0
626,Tamil Nadu,KANCHIPURAM,2013,24,9,3,15,0,18,0
627,Tamil Nadu,KANYAKUMARI,2013,12,30,1,5,0,118,0
628,Tamil Nadu,KARUR,2013,7,17,0,9,1,11,0
629,Tamil Nadu,KRISHNAGIRI,2013,8,66,12,48,2,47,0
630,Tamil Nadu,MADURAI RURAL,2013,33,96,4,73,17,263,0
631,Tamil Nadu,MADURAI URBAN,2013,16,20,3,23,2,91,0
632,Tamil Nadu,NAGAPATTINAM,2013,9,21,3,30,23,9,0
633,Tamil Nadu,NAMAKKAL,2013,23,38,0,57,11,15,0
634,Tamil Nadu,NILGIRIS,2013,15,9,0,18,1,1,0
635,Tamil Nadu,PERAMBALUR,2013,8,4,0,13,1,5,0
636,Tamil Nadu,PUDUKOTTAI,2013,10,49,3,29,0,39,0
637,Tamil Nadu,RAMNATHAPURAM,2013,9,23,2,24,2,20,0
638,Tamil Nadu,SALEM RURAL,2013,26,62,5,62,0,47,0
639,Tamil Nadu,SALEM URBAN,2013,16,17,1,10,9,49,0
640,Tamil Nadu,SIVAGANGAI,2013,16,26,4,35,0,87,0
641,Tamil Nadu,THANJAVUR,2013,31,39,0,68,4,46,0
642,Tamil Nadu,THENI,2013,25,34,5,41,0,62,0
643,Tamil Nadu,THIRUNELVELI RURAL,2013,74,112,6,82,0,486,0
644,Tamil Nadu,THIRUNELVELI URBAN,2013,12,6,0,4,0,18,0
645,Tamil Nadu,THIRUVALLUR,2013,21,23,9,11,0,19,0
646,Tamil Nadu,THIRUVANNAMALAI,2013,50,44,2,31,2,34,0
647,Tamil Nadu,THIRUVARUR,2013,15,17,1,5,0,15,0
648,Tamil Nadu,THOOTHUGUDI,2013,52,24,2,35,1,64,0
649,Tamil Nadu,TIRUPPUR,2013,20,39,8,40,7,91,0
650,Tamil Nadu,TRICHY RLY.,2013,0,0,0,3,0,0,0
651,Tamil Nadu,TRICHY RURAL,2013,23,24,3,40,0,49,0
652,Tamil Nadu,TRICHY URBAN,2013,10,5,0,18,6,25,0
653,Tamil Nadu,VELLORE,2013,51,82,8,33,57,40,0
654,Tamil Nadu,VILLUPURAM,2013,67,155,4,127,0,80,0
655,Tamil Nadu,VIRUDHUNAGAR,2013,33,25,3,16,0,48,0
656,Tamil Nadu,ZZ TOTAL,2013,923,1516,118,1271,313,2471,0
612,Tamil Nadu,Ariyalur,2014,6,14,2,23,0,7,0
613,Tamil Nadu,Chennai,2014,65,23,10,59,157,302,0
614,Tamil Nadu,Coimbatore,2014,7,35,0,21,0,47,0
615,Tamil Nadu,Coimbatore City,2014,5,6,0,8,0,63,0
616,Tamil Nadu,Cuddalore,2014,14,83,5,3,0,39,0
617,Tamil Nadu,Dharmapuri,2014,11,136,2,26,0,32,0
618,Tamil Nadu,Dindigul,2014,15,112,4,29,0,119,0
619,Tamil Nadu,Erode,2014,0,25,0,19,0,26,0
620,Tamil Nadu,Kanchipuram,2014,16,14,2,8,1,19,0
621,Tamil Nadu,Kanyakumari,2014,7,15,2,3,0,56,0
622,Tamil Nadu,Karur,2014,1,15,1,20,0,9,0
623,Tamil Nadu,Krishnagiri,2014,13,68,4,34,1,29,0
624,Tamil Nadu,Madurai,2014,37,167,5,79,10,326,0
625,Tamil Nadu,Madurai City,2014,6,23,1,22,1,69,0
626,Tamil Nadu,Nagapattinam,2014,16,38,0,14,28,22,0
627,Tamil Nadu,Namakkal,2014,0,21,0,48,3,11,0
628,Tamil Nadu,Nilgiris,2014,6,5,0,12,1,5,0
629,Tamil Nadu,Perambalur,2014,7,4,1,26,0,13,0
630,Tamil Nadu,Pudukottai,2014,3,47,2,29,0,44,0
631,Tamil Nadu,Ramnathapuram,2014,8,28,3,12,0,24,0
632,Tamil Nadu,Railway Chennai,2014,1,0,0,4,0,0,0
633,Tamil Nadu,Railway Trichy,2014,0,0,0,0,0,0,0
634,Tamil Nadu,Salem,2014,6,43,7,46,0,22,0
635,Tamil Nadu,Salem City,2014,5,15,1,12,21,33,0
636,Tamil Nadu,Sivagangai,2014,15,37,3,13,0,51,0
637,Tamil Nadu,Thanjavur,2014,8,24,0,62,0,31,0
638,Tamil Nadu,Theni,2014,8,45,6,30,0,58,0
639,Tamil Nadu,Thirunelveli,2014,36,46,5,47,0,147,0
640,Tamil Nadu,Thirunelveli City,2014,6,3,0,3,0,19,0
641,Tamil Nadu,Thiruvallur,2014,8,9,4,2,2,15,0
642,Tamil Nadu,Thiruvannamalai,2014,16,49,6,14,0,35,0
643,Tamil Nadu,Thiruvarur,2014,2,23,1,2,1,7,0
644,Tamil Nadu,Thoothukudi,2014,16,12,0,44,0,73,0
645,Tamil Nadu,Tiruppur,2014,6,50,3,15,0,33,0
646,Tamil Nadu,Tiruppur City,2014,5,14,0,7,0,22,0
647,Tamil Nadu,Trichy,2014,8,30,2,51,0,48,0
648,Tamil Nadu,Trichy City,2014,3,1,0,10,3,27,0
649,Tamil Nadu,Vellore,2014,12,78,3,44,0,110,0
650,Tamil Nadu,Villupuram,2014,38,125,7,176,0,81,0
651,Tamil Nadu,Virudhunagar,2014,13,19,3,25,0,29,0
652,Tamil Nadu,Cyber Cell,2014,0,0,0,0,0,0,0
653,Tamil Nadu,Other Units,2014,0,0,0,0,0,0,0
654,Tamil Nadu,Total District(s),2014,455,1502,95,1102,229,2103,0
627,Tamil Nadu,Ariyalur,2015,5,3,0,19,0,5,0
628,Tamil Nadu,Chennai,2015,25,15,7,68,2,196,0
629,Tamil Nadu,Coimbatore,2015,5,19,1,28,0,28,0
630,Tamil Nadu,Coimbatore City,2015,2,6,1,16,0,41,0
631,Tamil Nadu,Cuddalore,2015,27,47,3,61,0,53,0
632,Tamil Nadu,Dharmapuri,2015,9,99,0,30,2,20,0
633,Tamil Nadu,Dindigul,2015,19,148,4,46,0,96,0
634,Tamil Nadu,Erode,2015,4,8,0,23,0,28,0
635,Tamil Nadu,Kanchipuram,2015,18,10,1,10,3,11,0
636,Tamil Nadu,Kanyakumari,2015,9,18,0,2,0,65,0
637,Tamil Nadu,Karur,2015,7,5,1,16,0,10,0
638,Tamil Nadu,Krishnagiri,2015,18,67,3,41,2,23,0
639,Tamil Nadu,Madurai,2015,25,118,2,73,3,310,0
640,Tamil Nadu,Madurai City,2015,13,17,0,26,1,78,0
641,Tamil Nadu,Nagapattinam,2015,11,30,0,31,1,29,0
642,Tamil Nadu,Namakkal,2015,5,34,1,32,0,9,0
643,Tamil Nadu,Nilgiris,2015,3,4,1,14,0,2,0
644,Tamil Nadu,Perambalur,2015,2,4,0,24,0,21,0
645,Tamil Nadu,Pudukottai,2015,1,16,1,20,0,27,0
646,Tamil Nadu,Ramnathapuram,2015,12,46,2,20,0,28,0
647,Tamil Nadu,Railway Chennai,2015,0,1,1,8,0,0,0
648,Tamil Nadu,Railway Trichy,2015,0,0,0,2,0,0,0
649,Tamil Nadu,Salem,2015,14,96,5,94,0,24,0
650,Tamil Nadu,Salem City,2015,3,12,4,17,0,26,0
651,Tamil Nadu,Sivagangai,2015,16,64,0,31,0,83,0
652,Tamil Nadu,Thanjavur,2015,8,19,3,56,0,29,0
653,Tamil Nadu,Theni,2015,5,38,1,20,0,76,0
654,Tamil Nadu,Thirunelveli,2015,26,37,6,53,0,128,0
655,Tamil Nadu,Thirunelveli City,2015,5,2,1,3,0,8,0
656,Tamil Nadu,Thiruvallur,2015,4,3,1,8,0,13,0
657,Tamil Nadu,Thiruvannamalai,2015,11,41,1,9,2,40,0
658,Tamil Nadu,Thiruvarur,2015,1,40,3,3,2,20,0
659,Tamil Nadu,Thoothukudi,2015,20,18,0,18,0,93,0
660,Tamil Nadu,Tiruppur,2015,4,21,1,12,0,33,0
661,Tamil Nadu,Tiruppur City,2015,1,4,0,3,0,16,0
662,Tamil Nadu,Trichy,2015,7,14,1,47,0,36,0
663,Tamil Nadu,Trichy City,2015,2,8,3,7,0,29,0
664,Tamil Nadu,Vellore,2015,17,39,1,40,0,47,0
665,Tamil Nadu,Villupuram,2015,38,144,2,101,0,73,0
666,Tamil Nadu,Virudhunagar,2015,19,20,3,31,2,46,0
667,Tamil Nadu,Cyber Cell,2015,0,0,0,0,0,0,0
668,Tamil Nadu,Other Units,2015,0,0,0,0,0,0,0
669,Tamil Nadu,Total District(s),2015,421,1335,65,1163,20,1900,0
