,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
744,Uttarakhand,ALMORA,2013,8,18,2,7,3,9,0
745,Uttarakhand,BAGESHWAR,2013,2,4,1,3,1,2,0
746,Uttarakhand,CHAMOLI,2013,8,35,0,7,0,2,0
747,Uttarakhand,CHAMPAWAT,2013,0,15,1,5,0,1,0
748,Uttarakhand,DEHRADUN,2013,41,148,9,62,27,159,0
749,Uttarakhand,HARIDWAR,2013,75,192,5,76,17,101,0
750,Uttarakhand,NAINITAL,2013,20,55,5,33,11,31,0
751,Uttarakhand,PAURI GARHWAL,2013,3,25,2,11,7,6,0
752,Uttarakhand,PITHORAGARH,2013,7,19,2,4,2,5,0
753,Uttarakhand,RUDRA PRAYAG,2013,5,10,4,1,3,3,0
754,Uttarakhand,TEHRI GARHWAL,2013,5,14,0,2,0,0,0
755,Uttarakhand,UDHAMSINGH NAGAR,2013,48,87,12,82,0,116,0
756,Uttarakhand,UTTARKASHI,2013,6,11,0,2,1,0,0
757,Uttarakhand,ZZ TOTAL,2013,228,633,43,295,72,435,0
756,Uttarakhand,Almora,2014,6,22,1,4,1,5,0
757,Uttarakhand,Bageshwar,2014,3,0,0,4,0,2,0
758,Uttarakhand,Chamoli,2014,4,7,1,9,0,3,0
759,Uttarakhand,Champawat,2014,8,0,0,5,0,7,0
760,Uttarakhand,Dehradun,2014,55,12,10,80,1,149,0
761,Uttarakhand,Haridwar,2014,73,59,0,99,0,0,0
762,Uttarakhand,Nainital,2014,36,54,5,38,0,31,0
763,Uttarakhand,Pauri Garhwal,2014,8,30,7,12,1,9,0
764,Uttarakhand,Pithoragarh,2014,8,1,3,9,0,7,0
765,Uttarakhand,Rudra Prayag,2014,4,7,1,9,0,2,0
766,Uttarakhand,Tehri Garhwal,2014,7,13,0,0,0,7,0
767,Uttarakhand,Udhamsingh Nagar,2014,49,65,10,67,0,71,0
768,Uttarakhand,Uttarkashi,2014,9,5,0,7,1,8,0
769,Uttarakhand,Total District(s),2014,270,275,38,343,4,301,0
771,Uttarakhand,Almora,2015,6,21,1,1,0,3,0
772,Uttarakhand,Bageshwar,2015,7,10,2,8,0,4,0
773,Uttarakhand,Chamoli,2015,4,21,0,5,0,5,0
774,Uttarakhand,Champawat,2015,4,4,0,3,0,2,1
775,Uttarakhand,Dehradun,2015,57,26,11,71,1,168,0
776,Uttarakhand,Haridwar,2015,75,76,13,88,2,64,0
777,Uttarakhand,Nainital,2015,32,28,4,48,0,23,0
778,Uttarakhand,Pauri Garhwal,2015,4,24,3,12,0,3,0
779,Uttarakhand,Pithoragarh,2015,0,7,1,3,0,7,0
780,Uttarakhand,Rudra Prayag,2015,2,0,2,1,1,2,0
781,Uttarakhand,Tehri Garhwal,2015,8,16,3,1,0,3,0
782,Uttarakhand,Udhamsingh Nagar,2015,72,94,14,72,0,120,1
783,Uttarakhand,Uttarkashi,2015,12,9,0,5,8,3,0
784,Uttarakhand,Total District(s),2015,283,336,54,318,12,407,2
