,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
758,West Bengal,24 PARGANAS NORTH,2013,115,258,35,307,8,1716,0
759,West Bengal,24 PARGANAS SOUTH,2013,189,397,49,212,2,1978,0
760,West Bengal,ASANSOL,2013,31,87,15,73,1,467,0
761,West Bengal,BANKURA,2013,24,36,19,76,0,278,0
762,West Bengal,BDN CP,2013,17,43,6,77,6,229,0
763,West Bengal,BIRBHUM,2013,41,45,12,99,0,245,0
764,West Bengal,BKP CP,2013,41,132,21,197,7,705,0
765,West Bengal,BURDWAN,2013,41,107,25,123,0,378,0
766,West Bengal,COOCHBEHAR,2013,110,141,15,240,1,631,0
767,West Bengal,DAKSHIN DINAJPUR,2013,35,100,32,69,0,345,0
768,West Bengal,DARJEELING,2013,30,35,0,54,2,158,0
769,West Bengal,HOOGHLY,2013,54,163,19,143,11,922,0
770,West Bengal,HOWRAH,2013,23,92,10,131,4,682,0
771,West Bengal,HOWRAH CITY,2013,22,141,3,215,48,609,0
772,West Bengal,HOWRAH G.R.P.,2013,1,6,2,9,2,1,0
773,West Bengal,JALPAIGURI,2013,121,263,12,305,2,779,0
774,West Bengal,JHARGRAM,2013,10,17,6,42,2,62,0
775,West Bengal,KHARAGPUR G.R.P.,2013,2,1,0,10,0,0,0
776,West Bengal,KOLKATA,2013,75,145,15,707,412,1005,9
777,West Bengal,MALDA,2013,140,182,14,177,0,597,0
778,West Bengal,MURSHIDABAD,2013,215,341,35,407,7,1939,0
779,West Bengal,NADIA,2013,87,346,69,213,13,1666,0
780,West Bengal,PASCHIM MIDNAPUR,2013,46,155,25,327,17,549,0
781,West Bengal,PURAB MIDNAPUR,2013,53,199,24,126,2,606,0
782,West Bengal,PURULIA,2013,54,49,8,78,0,158,0
783,West Bengal,SEALDAH G.R.P.,2013,2,10,0,45,1,2,0
784,West Bengal,SILIGURI G.R.P.,2013,0,1,0,11,2,0,0
785,West Bengal,SILIGURI_PC,2013,35,115,5,206,24,616,0
786,West Bengal,UTTAR DINAJPUR,2013,71,223,5,234,3,793,0
787,West Bengal,ZZ TOTAL,2013,1685,3830,481,4913,577,18116,9
770,West Bengal,North 24 Parganas,2014,98,507,66,319,50,2027,0
771,West Bengal,South 24 Parganas,2014,140,604,51,305,14,3504,0
772,West Bengal,Alipurduar,2014,58,124,2,83,6,328,0
773,West Bengal,Asansol-Durgapur PC,2014,16,81,28,158,1,490,0
774,West Bengal,Bankura,2014,35,54,18,121,0,315,0
775,West Bengal,Barrackpur PC,2014,27,216,21,197,2,1190,0
776,West Bengal,Bidhannagar PC,2014,6,82,6,95,9,363,0
777,West Bengal,Birbhum,2014,33,80,8,97,0,412,0
778,West Bengal,Burdwan,2014,54,154,12,224,0,707,0
779,West Bengal,Coochbehar,2014,65,251,21,147,3,696,0
780,West Bengal,Dakshin Dinajpur,2014,29,141,13,51,5,356,0
781,West Bengal,Darjeeling,2014,11,47,0,95,3,215,0
782,West Bengal,Hooghly,2014,45,213,34,222,6,1338,0
783,West Bengal,Howrah G. R. P.,2014,0,1,1,13,0,0,0
784,West Bengal,Howrah PC,2014,21,94,4,305,25,547,0
785,West Bengal,Howrah Rural,2014,31,140,5,180,3,793,0
786,West Bengal,Jalpaiguri,2014,64,195,16,199,1,518,0
787,West Bengal,Jhargram Police District,2014,16,15,3,69,1,94,0
788,West Bengal,Kharagpur G. R. P.,2014,0,2,0,6,0,0,0
789,West Bengal,Kolkata,2014,36,220,12,577,286,1141,2
790,West Bengal,Malda,2014,87,201,30,273,29,721,0
791,West Bengal,Murshidabad,2014,252,457,36,523,16,2439,0
792,West Bengal,Nadia,2014,106,336,50,181,8,1827,1
793,West Bengal,Paschim Medinipur,2014,38,165,21,556,34,872,0
794,West Bengal,Purab Medinipur,2014,53,208,27,157,6,974,1
795,West Bengal,Purulia,2014,24,34,4,140,1,186,0
796,West Bengal,Sealdah G. R. P.,2014,5,10,1,46,4,1,0
797,West Bengal,Siliguri G. R. P.,2014,1,4,0,9,0,0,0
798,West Bengal,Siliguri PC,2014,29,75,2,165,17,447,0
799,West Bengal,Uttar Dinajpur,2014,86,265,9,157,13,777,0
800,West Bengal,Total District(s),2014,1466,4976,501,5670,543,23278,4
785,West Bengal,North 24 Parganas,2015,69,383,45,302,20,1748,0
786,West Bengal,South 24 Parganas,2015,111,375,31,250,18,3160,0
787,West Bengal,Alipurduar,2015,33,76,7,118,2,287,0
788,West Bengal,Asansol-Durgapur PC,2015,35,71,17,103,2,417,0
789,West Bengal,Bankura,2015,24,76,14,121,7,333,0
790,West Bengal,Barrackpur PC,2015,30,137,23,318,9,1201,0
791,West Bengal,Bidhannagar PC,2015,12,18,6,150,11,308,0
792,West Bengal,Birbhum,2015,33,28,15,104,3,292,0
793,West Bengal,Burdwan,2015,55,172,21,247,0,707,0
794,West Bengal,Coochbehar,2015,63,177,15,131,4,640,0
795,West Bengal,Dakshin Dinajpur,2015,16,97,18,101,4,293,0
796,West Bengal,Darjeeling,2015,17,35,3,129,4,201,0
797,West Bengal,Hooghly,2015,36,169,36,209,1,1142,0
798,West Bengal,Howrah G. R. P.,2015,3,4,0,14,0,1,0
799,West Bengal,Howrah PC,2015,13,49,4,234,33,514,0
800,West Bengal,Howrah Rural,2015,22,100,10,149,0,810,0
801,West Bengal,Jalpaiguri,2015,53,176,18,124,5,329,0
802,West Bengal,Jhargram Police District,2015,8,26,7,63,0,97,0
803,West Bengal,Kharagpur G. R. P.,2015,1,0,1,8,0,2,0
804,West Bengal,Kolkata,2015,33,194,15,461,262,876,2
805,West Bengal,Malda,2015,60,241,26,179,6,577,0
806,West Bengal,Murshidabad,2015,210,298,41,255,18,1771,0
