,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,871,765,420,3544,2271,5791,7
1,2002,1002,854,449,3799,2024,7018,0
2,2003,946,931,466,4128,2286,8167,5
3,2004,1016,1030,512,3817,2310,8388,2
4,2005,935,995,443,3595,2508,8696,3
5,2006,1049,1329,519,4534,2411,9164,0
6,2007,1070,1564,613,4406,3316,11335,0
7,2008,1257,1396,556,4730,3551,10306,0
8,2009,1188,1526,546,5147,3520,11297,0
9,2010,1362,1531,588,4634,4562,12080,0
10,2011,1442,1612,599,4849,3658,13376,0
11,2012,1341,1403,504,4816,3714,13389,0
12,2013,1635,1595,492,6930,4702,15084,0
13,2014,961,721,215,4547,2649,6362,0
14,2015,1027,684,174,4616,2200,6121,0
