,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,817,1070,59,850,4,1248,0
1,2002,970,1276,70,984,7,1694,0
2,2003,1095,1351,60,878,6,1808,0
3,2004,1171,1552,74,883,11,1945,0
4,2005,1238,1456,99,899,19,2206,3
5,2006,1244,1544,105,1290,10,2548,0
6,2007,1437,1471,100,789,10,3000,0
7,2008,1438,1789,103,1272,2,3478,0
8,2009,1631,2092,170,1342,10,4398,1
9,2010,1721,2767,175,1400,20,5410,0
10,2011,1700,3192,121,1193,8,5246,2
11,2012,1716,3360,140,1840,5,6407,2
12,2013,1937,4222,170,2409,14,8636,2
13,2014,1980,3895,188,3099,1,9626,1
14,2015,1733,5039,216,4293,111,11225,0
