,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,888,518,859,562,21,1558,83
1,2002,1040,744,927,621,6,1577,38
2,2003,985,674,909,688,11,1880,37
3,2004,1390,997,1029,704,13,2679,35
4,2005,1147,929,1014,451,13,1574,74
5,2006,1232,1084,1188,530,53,1689,42
6,2007,1555,1260,1172,853,12,1635,56
7,2008,1302,1789,1210,999,21,1992,22
8,2009,929,1986,1295,726,12,2532,31
9,2010,795,2569,1257,534,16,2271,8
10,2011,934,3050,1413,790,11,2607,10
11,2012,927,3789,1275,118,37,3686,4
12,2013,1128,4419,1182,331,52,4533,7
13,2014,1127,4735,1373,572,69,4672,5
14,2015,1041,5158,1154,198,96,3792,0
