,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,18,50,3,24,15,36,0
1,2002,18,47,1,36,28,56,0
2,2003,18,28,1,11,4,93,0
3,2004,19,43,6,20,18,73,0
4,2005,33,45,3,31,9,75,0
5,2006,19,57,10,20,13,102,0
6,2007,22,46,1,32,11,112,0
7,2008,20,42,3,19,2,49,0
8,2009,29,36,2,26,2,51,0
9,2010,31,28,5,29,4,41,0
10,2011,27,46,2,21,12,46,0
11,2012,27,66,5,45,25,73,0
12,2013,45,174,1,143,26,92,0
13,2014,59,133,2,87,2,141,0
14,2015,72,165,5,76,10,126,0
