,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,959,171,70,1763,161,840,0
1,2002,992,154,85,1483,147,653,0
2,2003,898,149,79,1481,105,601,0
3,2004,969,174,71,1661,131,741,0
4,2005,990,184,100,1450,132,732,0
5,2006,995,178,103,1598,143,717,1
6,2007,982,181,100,1549,111,824,0
7,2008,978,216,106,1621,125,897,0
8,2009,976,229,128,1598,152,893,0
9,2010,1012,279,115,1706,182,861,2
10,2011,1053,365,104,1654,174,834,2
11,2012,1034,350,81,1601,162,980,0
12,2013,1380,1881,109,2261,180,1181,1
13,2014,1436,1393,128,2122,79,964,0
14,2015,1560,1354,89,1868,53,620,0
