,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,762,1928,226,1004,180,276,0
1,2002,806,1786,270,892,256,270,0
2,2003,980,1594,260,978,210,2422,0
3,2004,1102,1762,252,1202,260,2508,0
4,2005,1316,2212,228,1524,450,2648,2
5,2006,1246,2132,274,1436,288,3456,0
6,2007,1196,2334,276,1736,334,3574,0
7,2008,932,2272,258,1222,260,2774,0
8,2009,938,3310,282,1104,236,2566,0
9,2010,1014,3480,286,1202,160,2808,0
10,2011,1144,4170,284,1314,324,3150,0
11,2012,1412,4320,268,1454,416,3970,0
12,2013,1636,3609,144,3515,916,3033,0
13,2014,2096,4034,153,4322,1361,3173,0
14,2015,2199,4301,122,5367,1492,3521,0
