,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,12,6,2,17,7,11,0
1,2002,12,5,2,18,6,8,0
2,2003,31,13,2,19,7,24,0
3,2004,37,10,2,23,15,17,0
4,2005,20,12,2,30,8,11,0
5,2006,21,10,0,18,7,14,0
6,2007,20,7,2,20,7,14,0
7,2008,30,28,2,32,12,12,0
8,2009,47,22,3,37,10,21,0
9,2010,36,18,1,36,16,17,0
10,2011,29,17,1,29,12,18,0
11,2012,55,16,0,49,16,24,0
12,2013,86,70,0,162,54,40,0
13,2014,95,86,0,202,57,35,0
14,2015,86,70,0,150,34,19,0
