,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,286,857,67,756,111,3667,0
1,2002,267,807,62,750,104,3321,0
2,2003,236,859,54,722,92,3684,0
3,2004,339,905,58,757,164,3955,0
4,2005,324,916,48,802,104,4090,0
5,2006,354,945,50,736,138,4977,0
6,2007,316,1089,42,822,120,5827,0
7,2008,374,1119,27,828,122,6094,0
8,2009,433,1162,24,727,114,5506,0
9,2010,408,1290,19,668,110,5600,0
10,2011,439,1442,30,685,93,6052,0
11,2012,473,1527,21,745,93,6658,0
12,2013,732,2230,29,1243,77,7812,0
13,2014,841,2187,23,1352,173,5991,0
14,2015,503,1569,12,1164,73,4133,0
