,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,398,297,285,478,401,1513,0
1,2002,361,290,256,454,1424,1565,0
2,2003,353,271,222,344,1302,1618,0
3,2004,386,292,251,403,850,2026,0
4,2005,461,344,212,380,597,2075,0
5,2006,608,431,255,486,491,2254,0
6,2007,488,554,269,417,409,2412,0
7,2008,631,644,302,435,605,2435,0
8,2009,603,659,281,451,605,2617,0
9,2010,720,714,284,476,580,2720,0
10,2011,733,733,255,474,490,2740,0
11,2012,668,900,258,525,434,3137,0
12,2013,971,1957,263,1560,643,3617,2
13,2014,1174,1922,293,1688,102,3478,0
14,2015,1070,2336,243,1886,90,3525,0
