,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,124,105,10,310,14,317,0
1,2002,137,116,6,326,12,234,0
2,2003,126,96,6,250,18,221,0
3,2004,153,99,8,284,16,252,0
4,2005,141,102,2,286,29,228,0
5,2006,113,109,3,275,31,259,0
6,2007,159,150,8,322,33,342,0
7,2008,157,137,3,295,41,343,0
8,2009,183,122,1,318,37,284,0
9,2010,160,162,2,350,78,275,0
10,2011,168,191,4,331,62,239,0
11,2012,183,152,2,250,68,251,0
12,2013,250,290,0,493,111,328,0
13,2014,283,227,1,538,60,325,0
14,2015,244,239,2,434,58,226,0
