,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,293,271,220,1665,81,1755,0
1,2002,292,300,233,1648,100,1826,0
2,2003,321,244,194,1585,84,1704,0
3,2004,291,286,259,1435,57,1588,0
4,2005,343,312,261,1585,71,1883,0
5,2006,400,328,244,1683,38,2129,0
6,2007,436,390,251,1828,28,2507,0
7,2008,446,405,259,1954,44,2638,1
8,2009,509,408,264,2186,64,3185,2
9,2010,586,586,248,2544,83,3441,0
10,2011,636,715,267,2608,81,3712,12
11,2012,621,1070,218,2978,100,3684,32
12,2013,1030,1359,277,3913,137,3276,0
13,2014,1324,1457,313,5263,170,3025,0
14,2015,589,1611,254,5112,154,2732,0
