,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,562,97,27,1942,81,2561,0
1,2002,499,91,17,2123,102,2836,0
2,2003,394,102,33,1947,68,2930,0
3,2004,480,142,31,2260,133,3222,0
4,2005,478,129,21,2339,175,3283,0
5,2006,601,202,25,2543,222,3708,0
6,2007,512,177,27,2624,262,3999,0
7,2008,568,166,31,2745,258,4138,0
8,2009,568,173,20,2540,395,4007,0
9,2010,634,184,22,2936,537,4797,0
10,2011,1132,221,15,3756,573,5377,0
11,2012,1019,214,32,3735,498,5216,0
12,2013,1221,185,21,4362,404,4820,0
13,2014,1347,143,28,4367,257,4919,0
14,2015,1256,192,8,3987,267,3668,0
