,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,2851,668,609,7063,751,2562,0
1,2002,2891,639,674,7118,783,3117,0
2,2003,2738,608,648,6848,705,2938,0
3,2004,2875,584,751,6690,804,3436,0
4,2005,2921,604,739,6426,792,2989,3
5,2006,2900,617,764,6243,762,2989,0
6,2007,3010,701,742,6772,780,3294,0
7,2008,2937,736,805,6445,758,3185,0
8,2009,2998,841,858,6307,728,3983,1
9,2010,3135,1030,892,6646,918,3756,5
10,2011,3406,1088,811,6665,762,3732,45
11,2012,3425,1127,743,6655,774,3988,6
12,2013,4335,2873,776,8252,736,4988,7
13,2014,5076,5688,733,9609,429,6451,0
14,2015,4391,4547,664,8049,390,5281,0
