,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,1302,611,308,2823,1120,6090,1
1,2002,1352,650,303,2686,769,5353,0
2,2003,1268,626,368,2661,682,5452,0
3,2004,1388,787,314,2831,862,5646,0
4,2005,1545,851,341,3228,919,6233,0
5,2006,1500,921,387,3479,984,6738,1
6,2007,1451,967,436,3306,1039,7356,0
7,2008,1558,998,390,3619,1091,7829,0
8,2009,1483,926,341,3196,1099,7681,0
9,2010,1599,1124,393,3661,1180,7434,0
10,2011,1701,1252,339,3794,1071,7136,0
11,2012,1839,1140,329,3935,1294,7415,0
12,2013,3063,1874,320,8132,2632,8542,0
13,2014,3438,2457,279,10001,1575,7696,1
14,2015,4144,5096,268,11713,1119,7640,0
