,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,20,62,0,21,0,5,0
1,2002,14,82,0,58,0,10,0
2,2003,18,71,0,44,0,4,0
3,2004,31,71,0,30,0,2,0
4,2005,25,69,0,25,0,20,0
5,2006,40,79,0,42,0,10,0
6,2007,20,83,0,70,0,15,0
7,2008,38,87,1,57,0,28,0
8,2009,31,97,0,39,2,25,0
9,2010,34,107,0,31,0,18,0
10,2011,53,116,1,38,0,39,0
11,2012,63,133,0,49,1,43,0
12,2013,72,125,0,59,0,29,0
13,2014,75,121,1,98,0,41,0
14,2015,46,94,0,84,2,39,0
