,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,26,11,0,25,0,4,0
1,2002,38,10,0,23,0,0,0
2,2003,40,10,0,13,1,4,0
3,2004,54,18,2,34,0,5,0
4,2005,63,19,1,44,0,3,0
5,2006,74,25,6,57,0,13,0
6,2007,82,22,2,45,1,19,0
7,2008,88,25,2,54,4,32,0
8,2009,112,26,0,72,1,24,1
9,2010,149,37,0,48,0,24,0
10,2011,130,37,1,74,1,21,3
11,2012,164,24,1,43,0,16,0
12,2013,183,33,2,98,0,23,0
13,2014,118,38,1,105,54,42,0
14,2015,93,58,1,95,20,44,0
