,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,0,0,0,0,0,0,0,0
1,2001,9,3,1,35,27,3,0
2,2002,6,6,5,59,26,9,0
3,2003,2,13,1,56,27,4,0
4,2004,4,8,6,50,30,2,0
5,2005,6,3,4,60,26,6,0
6,2006,9,13,3,56,39,19,0
7,2007,9,14,2,89,32,17,0
8,2008,8,9,2,65,21,12,0
9,2009,1,13,0,53,16,10,0
10,2010,3,14,1,46,22,7,0
11,2011,7,9,1,35,16,10,0
12,2012,13,16,0,9,2,6,0
13,2013,17,25,1,12,8,8,0
14,2014,10,7,1,32,8,4,0
15,2015,3,14,1,33,10,4,0
