,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,298,324,159,372,47,1128,0
1,2002,299,354,166,341,145,944,0
2,2003,380,295,110,346,199,987,0
3,2004,390,311,113,261,38,801,0
4,2005,398,329,99,308,43,729,0
5,2006,442,418,130,314,60,801,2
6,2007,519,545,133,427,48,971,0
7,2008,517,514,128,388,49,984,0
8,2009,511,513,126,319,33,1061,0
9,2010,546,576,121,349,38,1163,0
10,2011,479,517,143,282,31,1136,0
11,2012,680,689,118,340,31,1293,0
12,2013,888,987,126,1045,67,1741,0
13,2014,981,1176,90,1113,35,1681,0
14,2015,886,1253,85,1123,27,1583,0
