,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,1049,2165,376,2878,56,5532,1
1,2002,1051,2019,399,2730,44,5691,0
2,2003,1050,1750,389,2715,33,5733,1
3,2004,1038,1881,379,2825,41,6781,1
4,2005,993,1549,361,2503,28,5997,0
5,2006,1085,1553,394,2582,31,7038,3
6,2007,1238,1694,439,2477,28,8170,0
7,2008,1355,1863,439,2520,19,8113,0
8,2009,1519,2310,436,2485,24,10371,0
9,2010,1571,2477,462,2339,23,11145,0
10,2011,1800,2713,514,2447,9,12218,0
11,2012,2049,2697,478,2352,18,13312,0
12,2013,3285,4047,453,4829,25,15094,1
13,2014,3759,4421,408,5999,18,15905,0
14,2015,3644,4167,463,4813,9,14383,0
