,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,102,35,16,58,0,227,0
1,2002,108,48,16,128,0,236,0
2,2003,114,29,20,127,0,247,0
3,2004,160,54,20,134,0,302,0
4,2005,162,43,34,161,1,439,0
5,2006,189,62,35,207,0,471,0
6,2007,157,81,36,244,4,545,0
7,2008,204,110,16,346,4,735,0
8,2009,190,92,29,384,5,815,0
9,2010,238,91,25,376,9,937,0
10,2011,205,116,30,294,9,702,0
11,2012,229,114,37,314,7,858,0
12,2013,233,124,29,407,7,827,0
13,2014,239,102,33,492,11,702,0
14,2015,213,120,28,352,6,501,0
