,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,1958,2879,2211,2870,2575,7365,0
1,2002,1415,2298,1893,2145,1887,5679,0
2,2003,911,1499,1322,1098,4970,2626,0
3,2004,1397,2324,1708,1900,2682,4950,3
4,2005,1217,2256,1564,1835,2881,4505,0
5,2006,1314,2551,1798,2096,2714,5204,0
6,2007,1648,3363,2076,2522,2882,7650,0
7,2008,1871,4439,2237,2955,3374,8312,0
8,2009,1759,5078,2232,2782,2524,8566,0
9,2010,1563,5468,2217,2793,11,7978,0
10,2011,2042,7525,2322,3455,3,7121,0
11,2012,1963,7910,2244,3247,8,7661,0
12,2013,3050,9737,2335,7303,25,8781,0
13,2014,3467,10626,2469,8605,29,10471,0
14,2015,3025,10135,2335,7885,11,8660,0
