,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,74,126,56,103,84,301,0
1,2002,89,155,66,145,97,316,1
2,2003,107,134,93,136,98,317,0
3,2004,115,127,82,143,110,405,0
4,2005,133,125,63,100,89,272,0
5,2006,147,183,80,153,113,358,0
6,2007,117,227,70,146,63,463,0
7,2008,87,222,73,120,306,340,0
8,2009,111,247,94,119,249,361,0
9,2010,121,249,75,125,165,334,0
10,2011,129,283,83,116,72,307,0
11,2012,148,256,71,139,73,368,0
12,2013,228,633,43,295,72,435,0
13,2014,270,275,38,343,4,301,0
14,2015,283,336,54,318,12,407,2
