,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
0,2001,709,695,265,954,48,3859,3
1,2002,759,694,273,964,34,4069,1
2,2003,1002,801,329,1186,71,4948,1
3,2004,1475,1018,396,1566,64,6334,12
4,2005,1686,1039,446,1572,54,6936,61
5,2006,1731,1199,445,1837,63,7414,1
6,2007,2106,1590,451,2281,99,9900,5
7,2008,2263,1907,451,2396,94,13663,5
8,2009,2336,2187,506,1942,108,16112,5
9,2010,2311,2764,507,2465,163,17796,8
10,2011,2363,3711,510,2363,200,19772,0
11,2012,2046,4168,593,3345,556,19865,12
12,2013,1685,3830,481,4913,577,18116,9
13,2014,1466,4976,501,5670,543,23278,4
14,2015,1199,3938,498,5069,455,20163,4
