,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
689,A&N ISLANDS,ANDAMAN,2001,3,2,0,18,1,9,0
690,A&N ISLANDS,NICOBAR,2001,0,0,0,1,0,0,0
691,A&N ISLANDS,TOTAL,2001,3,2,0,19,1,9,0
1407,A&N ISLANDS,ANDAMAN,2002,1,1,0,16,3,4,0
1408,A&N ISLANDS,NICOBAR,2002,1,0,0,1,0,0,0
1409,A&N ISLANDS,TOTAL,2002,2,1,0,17,3,4,0
2136,A&N ISLANDS,ANDAMAN,2003,2,2,0,9,2,7,0
2137,A&N ISLANDS,NICOBAR,2003,0,0,0,0,0,0,0
2138,A&N ISLANDS,TOTAL,2003,2,2,0,9,2,7,0
2865,A&N ISLANDS,ANDAMAN,2004,10,3,0,5,3,5,0
2866,A&N ISLANDS,NICOBAR,2004,0,0,0,1,0,0,0
2867,A&N ISLANDS,TOTAL,2004,10,3,0,6,3,5,0
3598,A&N ISLANDS,ANDAMAN,2005,4,1,0,10,1,5,0
3599,A&N ISLANDS,NICOBAR,2005,0,0,0,1,0,0,0
3600,A&N ISLANDS,TOTAL,2005,4,1,0,11,1,5,0
4337,A&N ISLANDS,ANDAMAN,2006,6,5,0,12,4,7,0
4338,A&N ISLANDS,NICOBAR,2006,0,0,0,2,0,0,0
4339,A&N ISLANDS,TOTAL,2006,6,5,0,14,4,7,0
5080,A&N ISLANDS,A AND N ISLANDS,2007,3,9,1,21,2,18,0
5081,A&N ISLANDS,TOTAL,2007,3,9,1,21,2,18,0
5836,A&N ISLANDS,ANDAMAN,2008,12,13,2,24,3,25,0
5837,A&N ISLANDS,NICOBAR,2008,0,0,0,0,0,1,0
5838,A&N ISLANDS,TOTAL,2008,12,13,2,24,3,26,0
6603,A&N ISLANDS,ANDAMAN,2009,18,14,1,29,7,21,0
6604,A&N ISLANDS,NICOBAR,2009,0,0,0,1,0,0,0
6605,A&N ISLANDS,TOTAL,2009,18,14,1,30,7,21,0
7382,A&N ISLANDS,ANDAMAN,2010,23,8,0,31,10,9,0
7383,A&N ISLANDS,NICOBAR,2010,1,0,0,0,0,0,0
7384,A&N ISLANDS,TOTAL,2010,24,8,0,31,10,9,0
8173,A&N ISLANDS,ANDAMAN,2011,13,12,0,14,3,5,0
8174,A&N ISLANDS,NICOBAR,2011,0,0,0,1,0,0,0
8175,A&N ISLANDS,TOTAL,2011,13,12,0,15,3,5,0
8983,A&N ISLANDS,CAR,2012,0,1,0,1,0,0,0
8984,A&N ISLANDS,NORTH,2012,4,0,0,2,1,2,0
8985,A&N ISLANDS,SOUTH,2012,8,6,2,14,3,3,0
8986,A&N ISLANDS,TOTAL,2012,12,7,2,17,4,5,0
788,A&N ISLANDS,CAR,2013,1,0,0,2,2,0,0
789,A&N ISLANDS,NORTH,2013,5,5,0,10,1,5,0
790,A&N ISLANDS,SOUTH,2013,21,7,1,33,5,4,0
791,A&N ISLANDS,ZZ TOTAL,2013,27,12,1,45,8,9,0
801,A&N ISLANDS,SOUTH ANDAMAN,2014,19,9,3,27,4,10,0
802,A&N ISLANDS,NORTH & MIDDLE ANDAMAN,2014,11,8,0,14,1,4,0
803,A&N ISLANDS,NICOBAR,2014,2,0,0,0,0,0,0
804,A&N ISLANDS,TOTAL DISTRICT(S),2014,32,17,3,41,5,14,0
816,A&N ISLANDS,SOUTH ANDAMAN,2015,20,11,0,29,4,12,0
817,A&N ISLANDS,NORTH & MIDDLE ANDAMAN,2015,15,10,0,25,1,2,0
818,A&N ISLANDS,NICOBAR,2015,1,0,0,3,0,0,0
819,A&N ISLANDS,TOTAL DISTRICT(S),2015,36,21,0,57,5,14,0
