,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
29,ARUNACHAL PRADESH,CHANGLANG,2001,1,2,0,3,0,0,0
30,ARUNACHAL PRADESH,DIBANG VALLEY,2001,2,4,0,4,0,2,0
31,ARUNACHAL PRADESH,KAMENG EAST,2001,2,5,0,5,0,0,0
32,ARUNACHAL PRADESH,KAMENG WEST,2001,0,2,0,0,0,0,0
33,ARUNACHAL PRADESH,LOHIT,2001,2,6,0,8,0,0,0
34,ARUNACHAL PRADESH,PAPUM PARE,2001,9,5,0,6,0,3,0
35,ARUNACHAL PRADESH,SIANG EAST,2001,5,7,0,7,0,2,0
36,ARUNACHAL PRADESH,SIANG UPPER,2001,2,5,0,3,0,0,0
37,ARUNACHAL PRADESH,SIANG WEST,2001,4,10,0,25,2,2,0
38,ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,2,5,0,4,0,0,0
39,ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,2,1,0,8,0,2,0
40,ARUNACHAL PRADESH,TAWANG,2001,1,0,0,5,1,0,0
41,ARUNACHAL PRADESH,TIRAP,2001,1,3,0,0,0,0,0
42,ARUNACHAL PRADESH,TOTAL,2001,33,55,0,78,3,11,0
745,ARUNACHAL PRADESH,CHANGLANG,2002,3,2,0,0,0,2,0
746,ARUNACHAL PRADESH,DIBANG VALLEY,2002,5,5,0,4,0,5,0
747,ARUNACHAL PRADESH,KAMENG EAST,2002,1,3,0,6,0,0,0
748,ARUNACHAL PRADESH,KAMENG WEST,2002,0,1,0,0,0,0,0
749,ARUNACHAL PRADESH,LOHIT,2002,3,3,0,8,0,0,0
750,ARUNACHAL PRADESH,PAPUM PARE,2002,3,6,0,9,1,1,0
751,ARUNACHAL PRADESH,SIANG EAST,2002,11,8,0,14,0,1,0
752,ARUNACHAL PRADESH,SIANG UPPER,2002,3,0,0,0,0,0,0
753,ARUNACHAL PRADESH,SIANG WEST,2002,4,6,0,18,0,2,0
754,ARUNACHAL PRADESH,SUBANSIRI LOWER,2002,1,3,0,4,0,0,0
755,ARUNACHAL PRADESH,SUBANSIRI UPPER,2002,2,1,0,4,0,0,0
756,ARUNACHAL PRADESH,TAWANG,2002,1,0,0,0,1,1,0
757,ARUNACHAL PRADESH,TIRAP,2002,1,0,0,1,0,1,0
758,ARUNACHAL PRADESH,TOTAL,2002,38,38,0,68,2,13,0
1465,ARUNACHAL PRADESH,CHANGLANG,2003,4,7,0,0,0,2,0
1466,ARUNACHAL PRADESH,DIBANG VALLEY,2003,2,1,0,1,0,5,0
1467,ARUNACHAL PRADESH,K/KUMEY,2003,0,2,0,0,0,0,0
1468,ARUNACHAL PRADESH,KAMENG EAST,2003,0,2,0,10,0,1,0
1469,ARUNACHAL PRADESH,KAMENG WEST,2003,1,0,0,0,0,0,0
1470,ARUNACHAL PRADESH,LOHIT,2003,1,14,0,5,0,1,0
1471,ARUNACHAL PRADESH,PAPUM PARE,2003,3,8,0,7,0,1,0
1472,ARUNACHAL PRADESH,SIANG EAST,2003,9,9,0,4,0,1,0
1473,ARUNACHAL PRADESH,SIANG UPPER,2003,1,1,0,0,0,0,0
1474,ARUNACHAL PRADESH,SIANG WEST,2003,5,4,0,6,0,1,0
1475,ARUNACHAL PRADESH,SUBANSIRI LOWER,2003,3,0,0,0,0,0,0
1476,ARUNACHAL PRADESH,SUBANSIRI UPPER,2003,1,2,0,0,0,0,0
1477,ARUNACHAL PRADESH,TAWANG,2003,0,0,0,1,0,0,0
1478,ARUNACHAL PRADESH,TIRAP,2003,1,0,0,9,0,2,0
1479,ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2003,0,1,0,0,0,0,0
1480,ARUNACHAL PRADESH,TOTAL,2003,31,51,0,43,0,14,0
2193,ARUNACHAL PRADESH,CHANGLANG,2004,9,5,0,1,0,1,0
2194,ARUNACHAL PRADESH,DIBANG VALLEY,2004,3,0,0,0,0,0,0
2195,ARUNACHAL PRADESH,K/KUMEY,2004,0,1,0,0,0,0,0
2196,ARUNACHAL PRADESH,KAMENG EAST,2004,0,2,0,4,0,0,0
2197,ARUNACHAL PRADESH,KAMENG WEST,2004,2,2,0,1,0,0,0
2198,ARUNACHAL PRADESH,LOHIT,2004,5,5,0,8,0,0,0
2199,ARUNACHAL PRADESH,PAPUM PARE,2004,4,4,0,8,0,0,0
2200,ARUNACHAL PRADESH,SIANG EAST,2004,11,10,0,11,0,1,0
2201,ARUNACHAL PRADESH,SIANG UPPER,2004,1,0,0,2,0,0,0
2202,ARUNACHAL PRADESH,SIANG WEST,2004,6,6,0,8,0,0,0
2203,ARUNACHAL PRADESH,SUBANSIRI LOWER,2004,0,0,0,1,0,0,0
2204,ARUNACHAL PRADESH,SUBANSIRI UPPER,2004,0,4,0,3,0,1,0
2205,ARUNACHAL PRADESH,TAWANG,2004,0,0,0,13,0,1,0
2206,ARUNACHAL PRADESH,TIRAP,2004,1,2,0,1,0,0,0
2207,ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2004,0,0,0,0,0,0,0
2208,ARUNACHAL PRADESH,TOTAL,2004,42,41,0,61,0,4,0
2922,ARUNACHAL PRADESH,CHANGLANG,2005,2,5,0,1,0,1,0
2923,ARUNACHAL PRADESH,DIBANG VALLEY,2005,0,4,0,5,0,0,0
2924,ARUNACHAL PRADESH,K/KUMEY,2005,1,2,0,0,0,0,0
2925,ARUNACHAL PRADESH,KAMENG EAST,2005,2,3,0,5,0,2,0
2926,ARUNACHAL PRADESH,KAMENG WEST,2005,0,1,0,2,0,0,0
2927,ARUNACHAL PRADESH,LOHIT,2005,3,4,0,7,0,1,0
2928,ARUNACHAL PRADESH,PAPUM PARE,2005,6,7,0,4,0,2,0
2929,ARUNACHAL PRADESH,SIANG EAST,2005,13,5,0,15,0,1,0
2930,ARUNACHAL PRADESH,SIANG UPPER,2005,2,1,0,8,0,0,0
2931,ARUNACHAL PRADESH,SIANG WEST,2005,3,4,0,5,0,0,0
2932,ARUNACHAL PRADESH,SUBANSIRI LOWER,2005,0,3,0,4,0,0,0
2933,ARUNACHAL PRADESH,SUBANSIRI UPPER,2005,2,0,0,5,0,1,0
2934,ARUNACHAL PRADESH,TAWANG,2005,1,0,0,1,0,1,0
2935,ARUNACHAL PRADESH,TIRAP,2005,0,0,0,5,0,0,0
2936,ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2005,0,0,0,0,0,0,0
2937,ARUNACHAL PRADESH,TOTAL,2005,35,39,0,67,0,9,0
3655,ARUNACHAL PRADESH,CHANGLANG,2006,4,4,0,0,0,2,0
3656,ARUNACHAL PRADESH,DIBANG VALLEY,2006,2,2,0,1,0,0,0
3657,ARUNACHAL PRADESH,K/KUMEY,2006,2,2,0,0,0,0,0
3658,ARUNACHAL PRADESH,KAMENG EAST,2006,1,0,0,2,0,0,0
3659,ARUNACHAL PRADESH,KAMENG WEST,2006,2,2,0,3,0,0,0
3660,ARUNACHAL PRADESH,LOHIT,2006,3,8,0,3,0,1,0
3661,ARUNACHAL PRADESH,PAPUM PARE,2006,5,10,0,14,1,2,0
3662,ARUNACHAL PRADESH,SIANG EAST,2006,7,4,0,11,0,1,0
3663,ARUNACHAL PRADESH,SIANG UPPER,2006,2,2,0,6,0,1,0
3664,ARUNACHAL PRADESH,SIANG WEST,2006,0,7,0,13,1,4,0
3665,ARUNACHAL PRADESH,SUBANSIRI LOWER,2006,3,3,0,3,0,0,0
3666,ARUNACHAL PRADESH,SUBANSIRI UPPER,2006,2,4,0,6,0,3,0
3667,ARUNACHAL PRADESH,TAWANG,2006,0,0,0,1,0,0,0
3668,ARUNACHAL PRADESH,TIRAP,2006,4,3,1,0,0,0,0
3669,ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2006,0,0,0,0,0,0,0
3670,ARUNACHAL PRADESH,TOTAL,2006,37,51,1,63,2,14,0
4395,ARUNACHAL PRADESH,CHANGLANG,2007,7,2,0,5,0,4,0
4396,ARUNACHAL PRADESH,DIBANG VALLEY,2007,2,3,0,5,0,1,0
4397,ARUNACHAL PRADESH,K/KUMEY,2007,1,4,0,0,0,1,0
4398,ARUNACHAL PRADESH,KAMENG EAST,2007,1,0,0,10,0,0,0
4399,ARUNACHAL PRADESH,KAMENG WEST,2007,1,0,0,2,0,0,0
4400,ARUNACHAL PRADESH,LOHIT,2007,5,12,0,4,0,0,0
4401,ARUNACHAL PRADESH,PAPUM PARE,2007,8,8,0,15,0,8,0
4402,ARUNACHAL PRADESH,SIANG EAST,2007,8,3,0,12,0,1,0
4403,ARUNACHAL PRADESH,SIANG UPPER,2007,5,0,0,2,0,0,0
4404,ARUNACHAL PRADESH,SIANG WEST,2007,3,5,0,5,1,3,0
4405,ARUNACHAL PRADESH,SUBANSIRI LOWER,2007,3,2,0,3,0,0,0
4406,ARUNACHAL PRADESH,SUBANSIRI UPPER,2007,3,4,0,5,0,2,0
4407,ARUNACHAL PRADESH,TAWANG,2007,1,0,0,2,0,0,0
4408,ARUNACHAL PRADESH,TIRAP,2007,0,1,0,2,0,0,0
4409,ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2007,0,0,0,0,0,0,0
4410,ARUNACHAL PRADESH,TOTAL,2007,48,44,0,72,1,20,0
