,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
43,ASSAM,BARPETA,2001,28,88,10,29,0,95,0
44,ASSAM,BONGAIGAON,2001,20,21,1,22,0,26,0
45,ASSAM,C.I.D.,2001,0,0,0,0,0,0,0
46,ASSAM,CACHAR,2001,45,74,7,80,0,216,0
47,ASSAM,DARRANG,2001,48,47,9,56,0,37,0
48,ASSAM,DHEMAJI,2001,42,20,0,26,0,0,0
49,ASSAM,DHUBRI,2001,43,51,5,49,0,111,0
50,ASSAM,DIBRUGARH,2001,35,37,3,41,0,19,0
51,ASSAM,G.R.P.,2001,1,0,0,0,0,0,0
52,ASSAM,GOALPARA,2001,35,35,1,54,0,64,0
53,ASSAM,GOLAGHAT,2001,30,40,0,23,0,26,0
54,ASSAM,GUWAHATI CITY,2001,37,64,5,67,0,98,0
55,ASSAM,HAILAKANDI,2001,24,34,2,27,0,28,0
56,ASSAM,JORHAT,2001,42,28,2,44,0,48,0
57,ASSAM,KAMRUP,2001,21,65,2,42,0,27,0
58,ASSAM,KARBI ANGLONG,2001,5,15,4,5,0,8,0
59,ASSAM,KARIMGANJ,2001,33,8,1,9,0,30,0
60,ASSAM,KOKRAJHAR,2001,14,12,0,37,0,20,0
61,ASSAM,LAKHIMPUR,2001,64,62,0,22,0,93,0
62,ASSAM,MORIGAON,2001,23,37,0,6,0,28,0
63,ASSAM,N.C.HILLS,2001,2,4,0,2,0,7,0
64,ASSAM,NAGAON,2001,51,109,1,113,4,132,0
65,ASSAM,NALBARI,2001,30,27,3,16,0,15,0
66,ASSAM,R.P.O.,2001,3,0,0,0,0,0,0
67,ASSAM,SIBSAGAR,2001,47,64,0,28,0,0,0
68,ASSAM,SONITPUR,2001,53,80,1,43,0,99,0
69,ASSAM,TINSUKIA,2001,41,48,2,9,0,21,0
70,ASSAM,TOTAL,2001,817,1070,59,850,4,1248,0
759,ASSAM,BARPETA,2002,55,59,4,18,0,97,0
760,ASSAM,BONGAIGAON,2002,21,40,3,2,0,32,0
761,ASSAM,C.I.D.,2002,0,2,0,0,0,0,0
762,ASSAM,CACHAR,2002,71,80,7,156,0,219,0
763,ASSAM,DARRANG,2002,33,41,4,68,0,37,0
764,ASSAM,DHEMAJI,2002,48,25,1,23,0,57,0
765,ASSAM,DHUBRI,2002,46,51,4,67,2,167,0
766,ASSAM,DIBRUGARH,2002,45,58,1,27,0,43,0
767,ASSAM,G.R.P.,2002,0,0,0,0,0,0,0
768,ASSAM,GOALPARA,2002,40,29,2,67,0,93,0
769,ASSAM,GOLAGHAT,2002,42,60,0,36,0,36,0
770,ASSAM,GUWAHATI CITY,2002,60,144,6,41,0,69,0
771,ASSAM,HAILAKANDI,2002,24,42,1,30,0,34,0
772,ASSAM,JORHAT,2002,36,32,0,39,0,42,0
773,ASSAM,KAMRUP,2002,41,104,2,23,0,20,0
774,ASSAM,KARBI ANGLONG,2002,5,9,2,6,0,6,0
775,ASSAM,KARIMGANJ,2002,23,7,6,11,0,69,0
776,ASSAM,KOKRAJHAR,2002,15,18,3,51,0,38,0
777,ASSAM,LAKHIMPUR,2002,69,74,0,63,0,175,0
778,ASSAM,MORIGAON,2002,40,34,1,39,0,28,0
779,ASSAM,N.C.HILLS,2002,2,6,0,5,0,9,0
780,ASSAM,NAGAON,2002,61,124,7,115,5,158,0
781,ASSAM,NALBARI,2002,27,31,0,11,0,24,0
782,ASSAM,R.P.O.,2002,1,1,0,0,0,0,0
783,ASSAM,SIBSAGAR,2002,57,57,6,28,0,71,0
784,ASSAM,SONITPUR,2002,67,109,9,53,0,146,0
785,ASSAM,TINSUKIA,2002,41,39,1,5,0,24,0
786,ASSAM,TOTAL,2002,970,1276,70,984,7,1694,0
1481,ASSAM,BARPETA,2003,61,56,6,15,0,112,0
1482,ASSAM,BONGAIGAON,2003,27,40,6,10,0,61,0
1483,ASSAM,C.I.D.,2003,0,1,0,0,0,0,0
1484,ASSAM,CACHAR,2003,70,95,3,118,0,229,0
1485,ASSAM,DARRANG,2003,53,63,7,93,0,48,0
1486,ASSAM,DHEMAJI,2003,43,10,0,14,0,44,0
1487,ASSAM,DHUBRI,2003,68,51,6,87,0,151,0
1488,ASSAM,DIBRUGARH,2003,38,39,0,28,0,28,0
1489,ASSAM,G.R.P.,2003,0,1,0,1,0,0,0
1490,ASSAM,GOALPARA,2003,60,47,2,36,0,152,0
1491,ASSAM,GOLAGHAT,2003,67,60,0,26,0,58,0
1492,ASSAM,GUWAHATI CITY,2003,38,184,4,52,0,135,0
