,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
71,BIHAR,ARARIA,2001,93,13,11,3,0,50,0
72,BIHAR,ARWAL,2001,0,0,7,11,0,14,0
73,BIHAR,AURANGABAD,2001,16,4,33,13,2,19,0
74,BIHAR,BAGAHA,2001,25,6,0,4,0,2,0
75,BIHAR,BANKA,2001,34,10,9,0,0,16,0
76,BIHAR,BEGUSARAI,2001,13,7,21,32,0,21,0
77,BIHAR,BETTIAH,2001,20,23,17,23,0,54,8
78,BIHAR,BHABHUA,2001,10,12,8,7,0,22,0
79,BIHAR,BHAGALPUR,2001,35,9,20,15,0,52,0
80,BIHAR,BHOJPUR,2001,22,13,23,0,4,29,0
81,BIHAR,BUXAR,2001,8,1,15,0,0,0,0
82,BIHAR,DARBHANGA,2001,19,16,37,40,0,34,0
83,BIHAR,GAYA,2001,25,15,26,27,0,24,0
84,BIHAR,GOPALGANJ,2001,13,18,22,0,2,155,0
85,BIHAR,JAMALPUR RLY.,2001,1,0,0,1,0,1,0
86,BIHAR,JAMUI,2001,10,1,16,8,0,15,0
87,BIHAR,JEHANABAD,2001,6,5,25,0,0,4,0
88,BIHAR,KATIHAR,2001,51,20,6,6,0,29,0
89,BIHAR,KATIHAR RLY.,2001,0,1,0,2,0,0,0
90,BIHAR,KHAGARIA,2001,5,6,11,6,0,2,0
91,BIHAR,KISHANGANJ,2001,22,16,4,2,1,39,0
92,BIHAR,LAKHISARAI,2001,10,7,6,12,0,5,0
93,BIHAR,MADHEPURA,2001,11,15,6,3,0,10,0
94,BIHAR,MADHUBANI,2001,13,11,12,41,0,18,0
95,BIHAR,MOTIHARI,2001,44,35,37,3,1,47,0
96,BIHAR,MUNGER,2001,11,15,8,0,0,39,0
97,BIHAR,MUZAFFARPUR,2001,73,25,69,81,0,141,6
98,BIHAR,MUZAFFARPUR RLY.,2001,2,1,0,4,0,1,0
99,BIHAR,NALANDA,2001,40,12,47,14,2,54,0
100,BIHAR,NAUGACHIA,2001,7,9,4,0,0,5,0
101,BIHAR,NAWADAH,2001,15,1,17,7,0,13,1
102,BIHAR,PATNA,2001,27,11,90,47,0,152,39
103,BIHAR,PATNA RLY.,2001,1,1,0,9,0,0,0
104,BIHAR,PURNEA,2001,39,23,8,5,0,22,0
105,BIHAR,ROHTAS,2001,25,18,36,21,0,59,0
106,BIHAR,SAHARSA,2001,12,10,7,9,0,12,0
107,BIHAR,SAMASTIPUR,2001,19,29,11,17,9,35,29
108,BIHAR,SARAN,2001,20,15,67,22,0,101,0
109,BIHAR,SHEIKHPURA,2001,3,1,9,0,0,32,0
110,BIHAR,SHEOHAR,2001,11,7,3,0,0,2,0
111,BIHAR,SITAMARHI,2001,23,20,13,1,0,21,0
112,BIHAR,SIWAN,2001,4,26,32,6,0,10,0
113,BIHAR,SUPAUL,2001,30,2,7,8,0,18,0
114,BIHAR,VAISHALI,2001,20,28,59,52,0,179,0
115,BIHAR,TOTAL,2001,888,518,859,562,21,1558,83
787,BIHAR,ARARIA,2002,101,79,5,2,0,30,0
788,BIHAR,ARWAL,2002,0,0,8,12,0,2,0
789,BIHAR,AURANGABAD,2002,12,3,33,4,0,6,0
790,BIHAR,BAGAHA,2002,23,3,0,6,0,3,0
791,BIHAR,BANKA,2002,27,9,10,4,0,14,0
792,BIHAR,BEGUSARAI,2002,20,15,23,23,0,40,0
793,BIHAR,BETTIAH,2002,55,10,31,66,0,58,0
794,BIHAR,BHABHUA,2002,17,7,17,0,0,18,0
795,BIHAR,BHAGALPUR,2002,40,51,19,10,0,26,0
796,BIHAR,BHOJPUR,2002,17,17,51,4,0,79,1
797,BIHAR,BUXAR,2002,17,0,16,0,0,16,0
798,BIHAR,DARBHANGA,2002,52,31,26,38,0,73,0
799,BIHAR,GAYA,2002,31,18,26,27,0,44,0
800,BIHAR,GOPALGANJ,2002,16,16,23,0,0,51,0
801,BIHAR,JAMALPUR RLY.,2002,0,1,1,2,0,0,0
