,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
692,CHANDIGARH,CHANDIGARH,2001,18,50,3,24,15,36,0
693,CHANDIGARH,TOTAL,2001,18,50,3,24,15,36,0
1410,CHANDIGARH,CHANDIGARH,2002,18,47,1,36,28,56,0
1411,CHANDIGARH,TOTAL,2002,18,47,1,36,28,56,0
2139,CHANDIGARH,CHANDIGARH,2003,18,28,1,11,4,93,0
2140,CHANDIGARH,TOTAL,2003,18,28,1,11,4,93,0
2868,CHANDIGARH,CHANDIGARH,2004,19,43,6,20,18,73,0
2869,CHANDIGARH,TOTAL,2004,19,43,6,20,18,73,0
3601,CHANDIGARH,CHANDIGARH,2005,33,45,3,31,9,75,0
3602,CHANDIGARH,TOTAL,2005,33,45,3,31,9,75,0
4340,CHANDIGARH,CHANDIGARH,2006,19,57,10,20,13,102,0
4341,CHANDIGARH,TOTAL,2006,19,57,10,20,13,102,0
5082,CHANDIGARH,CHANDIGARH,2007,22,46,1,32,11,112,0
5083,CHANDIGARH,TOTAL,2007,22,46,1,32,11,112,0
5839,CHANDIGARH,CHANDIGARH,2008,20,42,3,19,2,49,0
5840,CHANDIGARH,TOTAL,2008,20,42,3,19,2,49,0
6606,CHANDIGARH,CHANDIGARH,2009,29,36,2,26,2,51,0
6607,CHANDIGARH,TOTAL,2009,29,36,2,26,2,51,0
7385,CHANDIGARH,CHANDIGARH,2010,31,28,5,29,4,41,0
7386,CHANDIGARH,TOTAL,2010,31,28,5,29,4,41,0
8176,CHANDIGARH,CHANDIGARH,2011,27,46,2,21,12,46,0
8177,CHANDIGARH,TOTAL,2011,27,46,2,21,12,46,0
8987,CHANDIGARH,CHANDIGARH,2012,27,66,5,45,25,73,0
8988,CHANDIGARH,TOTAL,2012,27,66,5,45,25,73,0
792,CHANDIGARH,CHANDIGARH,2013,45,174,1,143,26,92,0
793,CHANDIGARH,ZZ TOTAL,2013,45,174,1,143,26,92,0
805,CHANDIGARH,CHANDIGARH,2014,59,133,2,87,2,141,0
806,CHANDIGARH,TOTAL DISTRICT(S),2014,59,133,2,87,2,141,0
820,CHANDIGARH,CHANDIGARH,2015,72,165,5,76,10,126,0
821,CHANDIGARH,TOTAL DISTRICT(S),2015,72,165,5,76,10,126,0
