,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
696,DAMAN & DIU,DAMAN,2001,0,3,0,0,0,4,0
697,DAMAN & DIU,DIU,2001,0,0,0,0,0,0,0
698,DAMAN & DIU,TOTAL,2001,0,3,0,0,0,4,0
1414,DAMAN & DIU,DAMAN,2002,0,1,0,0,0,3,0
1415,DAMAN & DIU,DIU,2002,0,1,0,0,0,0,0
1416,DAMAN & DIU,TOTAL,2002,0,2,0,0,0,3,0
2143,DAMAN & DIU,DAMAN,2003,4,1,0,3,0,0,0
2144,DAMAN & DIU,DIU,2003,1,0,1,0,0,0,0
2145,DAMAN & DIU,TOTAL,2003,5,1,1,3,0,0,0
2872,DAMAN & DIU,DAMAN,2004,1,0,0,1,0,4,0
2873,DAMAN & DIU,DIU,2004,0,0,0,0,0,0,0
2874,DAMAN & DIU,TOTAL,2004,1,0,0,1,0,4,0
3605,DAMAN & DIU,DAMAN,2005,2,2,1,1,0,1,0
3606,DAMAN & DIU,DIU,2005,0,0,0,0,0,2,0
3607,DAMAN & DIU,TOTAL,2005,2,2,1,1,0,3,0
4344,DAMAN & DIU,DAMAN,2006,1,1,0,2,0,0,0
4345,DAMAN & DIU,DIU,2006,2,0,0,0,0,2,0
4346,DAMAN & DIU,TOTAL,2006,3,1,0,2,0,2,0
5086,DAMAN & DIU,DAMAN,2007,1,0,1,0,0,1,0
5087,DAMAN & DIU,DIU,2007,0,1,0,0,0,2,0
5088,DAMAN & DIU,TOTAL,2007,1,1,1,0,0,3,0
5843,DAMAN & DIU,DAMAN,2008,0,0,0,2,0,0,0
5844,DAMAN & DIU,DIU,2008,0,1,0,0,1,5,0
5845,DAMAN & DIU,TOTAL,2008,0,1,0,2,1,5,0
6610,DAMAN & DIU,DAMAN,2009,1,0,0,4,1,1,0
6611,DAMAN & DIU,DIU,2009,0,0,0,0,0,2,0
6612,DAMAN & DIU,TOTAL,2009,1,0,0,4,1,3,0
7389,DAMAN & DIU,DAMAN,2010,1,2,0,2,0,1,0
7390,DAMAN & DIU,DIU,2010,0,0,0,0,0,2,0
7391,DAMAN & DIU,TOTAL,2010,1,2,0,2,0,3,0
8180,DAMAN & DIU,DAMAN,2011,1,1,0,0,0,2,0
8181,DAMAN & DIU,DIU,2011,0,1,0,0,0,0,0
8182,DAMAN & DIU,TOTAL,2011,1,2,0,0,0,2,0
8991,DAMAN & DIU,DAMAN,2012,5,0,0,0,0,1,0
8992,DAMAN & DIU,DIU,2012,0,0,0,0,0,2,0
8993,DAMAN & DIU,TOTAL,2012,5,0,0,0,0,3,0
796,DAMAN & DIU,DAMAN,2013,7,4,0,2,0,2,0
797,DAMAN & DIU,DIU,2013,1,2,0,0,0,0,0
798,DAMAN & DIU,ZZ TOTAL,2013,8,6,0,2,0,2,0
809,DAMAN & DIU,DAMAN,2014,2,1,0,2,0,1,0
810,DAMAN & DIU,DIU,2014,0,0,0,1,0,0,0
811,DAMAN & DIU,TOTAL DISTRICT(S),2014,2,1,0,3,0,1,0
824,DAMAN & DIU,DAMAN,2015,4,10,0,7,0,1,0
825,DAMAN & DIU,DIU,2015,1,3,0,0,0,2,0
826,DAMAN & DIU,TOTAL DISTRICT(S),2015,5,13,0,7,0,3,0
