,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
136,GOA,NORTH GOA,2001,4,1,2,12,2,6,0
137,GOA,SOUTH GOA,2001,8,5,0,5,5,5,0
138,GOA,TOTAL,2001,12,6,2,17,7,11,0
852,GOA,NORTH GOA,2002,9,3,1,9,4,6,0
853,GOA,SOUTH GOA,2002,3,2,1,9,2,2,0
854,GOA,TOTAL,2002,12,5,2,18,6,8,0
1575,GOA,NORTH GOA,2003,22,8,1,11,4,9,0
1576,GOA,SOUTH GOA,2003,9,5,1,8,3,15,0
1577,GOA,TOTAL,2003,31,13,2,19,7,24,0
2303,GOA,NORTH GOA,2004,13,2,2,16,8,6,0
2304,GOA,SOUTH GOA,2004,24,8,0,7,7,11,0
2305,GOA,TOTAL,2004,37,10,2,23,15,17,0
3036,GOA,NORTH GOA,2005,11,4,0,15,6,7,0
3037,GOA,SOUTH GOA,2005,9,8,2,15,2,4,0
3038,GOA,TOTAL,2005,20,12,2,30,8,11,0
3769,GOA,NORTH GOA,2006,8,5,0,8,3,8,0
3770,GOA,SOUTH GOA,2006,13,5,0,10,4,6,0
3771,GOA,TOTAL,2006,21,10,0,18,7,14,0
4509,GOA,NORTH GOA,2007,5,2,2,8,4,3,0
4510,GOA,SOUTH GOA,2007,15,5,0,12,3,11,0
4511,GOA,TOTAL,2007,20,7,2,20,7,14,0
5252,GOA,NORTH GOA,2008,15,17,0,15,2,5,0
5253,GOA,SOUTH GOA,2008,15,11,2,17,10,7,0
5254,GOA,TOTAL,2008,30,28,2,32,12,12,0
6014,GOA,NORTH GOA,2009,31,10,1,17,5,12,0
6015,GOA,SOUTH GOA,2009,16,12,2,20,5,9,0
6016,GOA,TOTAL,2009,47,22,3,37,10,21,0
6786,GOA,NORTH GOA,2010,12,7,1,24,10,9,0
6787,GOA,SOUTH GOA,2010,24,11,0,12,6,8,0
6788,GOA,TOTAL,2010,36,18,1,36,16,17,0
7566,GOA,NORTH GOA,2011,13,8,1,20,9,10,0
7567,GOA,SOUTH GOA,2011,16,9,0,9,3,8,0
7568,GOA,TOTAL,2011,29,17,1,29,12,18,0
8365,GOA,NORTH GOA,2012,26,10,0,29,14,11,0
8366,GOA,SOUTH GOA,2012,29,6,0,20,2,13,0
8367,GOA,TOTAL,2012,55,16,0,49,16,24,0
161,GOA,NORTH GOA,2013,48,31,0,103,36,17,0
162,GOA,SOUTH GOA,2013,38,39,0,59,18,23,0
163,GOA,ZZ TOTAL,2013,86,70,0,162,54,40,0
145,GOA,NORTH GOA,2014,55,55,0,146,40,11,0
146,GOA,SOUTH GOA,2014,37,31,0,53,17,23,0
147,GOA,C. I. D.,2014,3,0,0,3,0,1,0
148,GOA,TOTAL DISTRICT(S),2014,95,86,0,202,57,35,0
157,GOA,NORTH GOA,2015,49,43,0,86,9,4,0
158,GOA,SOUTH GOA,2015,34,27,0,57,24,12,0
159,GOA,C. I. D.,2015,3,0,0,7,1,3,0
160,GOA,TOTAL DISTRICT(S),2015,86,70,0,150,34,19,0
