,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
139,GUJARAT,AHMEDABAD COMMR.,2001,39,117,7,54,27,530,0
140,GUJARAT,AHMEDABAD RURAL,2001,5,27,0,26,0,84,0
141,GUJARAT,AHWA-DANG,2001,1,1,0,2,0,2,0
142,GUJARAT,AMRELI,2001,2,34,2,21,0,94,0
143,GUJARAT,ANAND,2001,3,28,0,27,3,210,0
144,GUJARAT,BHARUCH,2001,4,34,0,19,0,56,0
145,GUJARAT,BHAVNAGAR,2001,9,51,2,36,7,129,0
146,GUJARAT,DAHOD,2001,5,15,0,17,0,11,0
147,GUJARAT,GANDHINAGAR,2001,4,12,3,37,7,116,0
148,GUJARAT,HIMATNAGAR,2001,17,29,4,51,0,165,0
149,GUJARAT,JAMNAGAR,2001,20,22,2,18,2,163,0
150,GUJARAT,JUNAGADH,2001,14,39,11,44,8,384,0
151,GUJARAT,KHEDA NORTH,2001,11,30,0,43,0,122,0
152,GUJARAT,KUTCH,2001,2,22,2,25,1,176,0
153,GUJARAT,MEHSANA,2001,4,49,5,47,1,188,0
154,GUJARAT,NARMADA,2001,8,8,0,7,1,9,0
155,GUJARAT,NAVSARI,2001,2,5,0,6,0,17,0
156,GUJARAT,PALANPUR,2001,18,35,2,50,2,152,0
157,GUJARAT,PANCHMAHAL,2001,5,46,0,1,23,43,0
158,GUJARAT,PATAN,2001,3,21,0,23,0,78,0
159,GUJARAT,PORBANDAR,2001,6,5,0,10,0,64,0
160,GUJARAT,RAJKOT COMMR.,2001,5,38,3,19,12,199,0
161,GUJARAT,RAJKOT RURAL,2001,20,35,2,45,3,206,0
162,GUJARAT,SURAT COMMR.,2001,11,37,20,10,1,132,0
163,GUJARAT,SURAT RURAL,2001,26,16,0,11,0,34,0
164,GUJARAT,SURENDRANAGAR,2001,11,24,2,45,3,75,0
165,GUJARAT,VADODARA COMMR.,2001,3,32,0,11,10,90,0
166,GUJARAT,VADODARA RURAL,2001,18,34,0,34,0,81,0
167,GUJARAT,VALSAD,2001,9,11,0,10,0,50,0
168,GUJARAT,W.RLY,2001,1,0,0,7,0,7,0
169,GUJARAT,TOTAL,2001,286,857,67,756,111,3667,0
855,GUJARAT,AHMEDABAD COMMR.,2002,12,92,6,36,18,433,0
856,GUJARAT,AHMEDABAD RURAL,2002,7,11,7,17,1,66,0
857,GUJARAT,AHWA-DANG,2002,4,1,0,0,0,7,0
858,GUJARAT,AMRELI,2002,4,23,0,18,1,95,0
859,GUJARAT,ANAND,2002,8,33,0,22,2,183,0
860,GUJARAT,BHARUCH,2002,7,23,0,26,0,52,0
861,GUJARAT,BHAVNAGAR,2002,9,39,4,57,7,125,0
862,GUJARAT,DAHOD,2002,14,9,0,19,0,18,0
863,GUJARAT,GANDHINAGAR,2002,7,19,1,15,5,126,0
864,GUJARAT,HIMATNAGAR,2002,11,37,1,55,0,138,0
865,GUJARAT,JAMNAGAR,2002,25,30,5,19,4,176,0
866,GUJARAT,JUNAGADH,2002,10,41,2,38,13,368,0
867,GUJARAT,KHEDA NORTH,2002,9,29,0,41,0,104,0
868,GUJARAT,KUTCH,2002,3,35,2,29,1,174,0
869,GUJARAT,MEHSANA,2002,13,36,0,40,4,170,0
870,GUJARAT,NARMADA,2002,7,2,0,6,4,9,0
871,GUJARAT,NAVSARI,2002,5,11,0,2,0,23,0
872,GUJARAT,PALANPUR,2002,16,39,0,58,1,122,0
873,GUJARAT,PANCHMAHAL,2002,4,22,0,11,1,22,0
874,GUJARAT,PATAN,2002,3,28,0,25,0,88,0
875,GUJARAT,PORBANDAR,2002,4,8,3,16,0,53,0
876,GUJARAT,RAJKOT COMMR.,2002,6,29,5,28,12,173,0
877,GUJARAT,RAJKOT RURAL,2002,15,37,2,44,8,180,0
878,GUJARAT,SURAT COMMR.,2002,18,36,20,18,12,112,0
879,GUJARAT,SURAT RURAL,2002,10,15,0,18,1,43,0
880,GUJARAT,SURENDRANAGAR,2002,13,29,4,40,2,83,0
881,GUJARAT,VADODARA COMMR.,2002,5,28,0,9,7,80,0
882,GUJARAT,VADODARA RURAL,2002,12,42,0,27,0,61,0
883,GUJARAT,VALSAD,2002,3,16,0,12,0,32,0
884,GUJARAT,W.RLY,2002,3,7,0,4,0,5,0
885,GUJARAT,TOTAL,2002,267,807,62,750,104,3321,0
1578,GUJARAT,AHMEDABAD COMMR.,2003,18,96,3,50,30,595,0
1579,GUJARAT,AHMEDABAD RURAL,2003,3,13,1,18,0,61,0
1580,GUJARAT,AHWA-DANG,2003,0,0,0,2,0,3,0
1581,GUJARAT,AMRELI,2003,6,28,0,24,1,98,0
1582,GUJARAT,ANAND,2003,5,32,0,24,3,130,0
1583,GUJARAT,BHARUCH,2003,5,25,0,19,1,69,0
1584,GUJARAT,BHAVNAGAR,2003,5,55,6,36,11,126,0
1585,GUJARAT,DAHOD,2003,0,19,0,22,0,15,0
1586,GUJARAT,GANDHINAGAR,2003,0,28,2,25,2,113,0
1587,GUJARAT,HIMATNAGAR,2003,6,44,2,47,1,160,0
1588,GUJARAT,JAMNAGAR,2003,10,21,0,20,0,150,0
1589,GUJARAT,JUNAGADH,2003,13,41,6,40,8,312,0
1590,GUJARAT,KHEDA NORTH,2003,11,46,0,27,0,125,0
1591,GUJARAT,KUTCH,2003,7,23,0,26,4,165,0
1592,GUJARAT,MEHSANA,2003,7,52,0,34,1,207,0
1593,GUJARAT,NARMADA,2003,4,3,0,4,0,7,0
1594,GUJARAT,NAVSARI,2003,2,9,0,6,0,15,0
1595,GUJARAT,PALANPUR,2003,20,39,0,47,1,135,0
1596,GUJARAT,PANCHMAHAL,2003,11,31,0,34,2,74,0
1597,GUJARAT,PATAN,2003,2,15,0,21,0,112,0
1598,GUJARAT,PORBANDAR,2003,1,5,0,7,1,44,0
1599,GUJARAT,RAJKOT COMMR.,2003,5,30,5,8,13,158,0
1600,GUJARAT,RAJKOT RURAL,2003,14,38,4,35,4,174,0
1601,GUJARAT,SURAT COMMR.,2003,25,40,19,17,2,126,0
1602,GUJARAT,SURAT RURAL,2003,11,9,0,21,0,204,0
1603,GUJARAT,SURENDRANAGAR,2003,16,25,6,42,2,53,0
1604,GUJARAT,VADODARA COMMR.,2003,8,31,0,17,5,136,0
1605,GUJARAT,VADODARA RURAL,2003,14,49,0,33,0,76,0
1606,GUJARAT,VALSAD,2003,5,10,0,7,0,37,0
1607,GUJARAT,W.RLY,2003,2,2,0,9,0,4,0
1608,GUJARAT,TOTAL,2003,236,859,54,722,92,3684,0
2306,GUJARAT,AHMEDABAD COMMR.,2004,40,122,10,63,20,768,0
2307,GUJARAT,AHMEDABAD RURAL,2004,12,28,1,22,0,65,0
2308,GUJARAT,AHWA-DANG,2004,2,0,0,3,0,3,0
2309,GUJARAT,AMRELI,2004,5,23,1,26,3,116,0
