,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
170,HARYANA,AMBALA,2001,11,32,11,27,0,132,0
171,HARYANA,BHIWANI,2001,10,7,33,17,0,43,0
172,HARYANA,FARIDABAD,2001,37,53,19,47,242,108,0
173,HARYANA,FATEHABAD,2001,17,13,17,17,0,93,0
174,HARYANA,GRP,2001,0,2,5,1,26,0,0
175,HARYANA,GURGAON,2001,32,32,17,21,21,136,0
176,HARYANA,HISSAR,2001,10,18,24,33,0,117,0
177,HARYANA,JHAJJAR,2001,21,8,20,42,13,122,0
178,HARYANA,JIND,2001,21,8,11,22,29,67,0
179,HARYANA,KAITHAL,2001,16,8,9,19,0,105,0
180,HARYANA,KARNAL,2001,44,10,18,28,2,97,0
181,HARYANA,KURUKSHETRA,2001,31,14,10,28,8,68,0
182,HARYANA,MAHENDRAGARH,2001,11,8,8,19,0,23,0
183,HARYANA,PANCHKULA,2001,6,15,4,23,10,43,0
184,HARYANA,PANIPAT,2001,38,10,11,16,11,92,0
185,HARYANA,REWARI,2001,11,11,12,17,0,14,0
186,HARYANA,ROHTAK,2001,28,6,17,26,20,41,0
187,HARYANA,SIRSA,2001,17,7,12,23,0,98,0
188,HARYANA,SONIPAT,2001,15,12,18,22,14,51,0
189,HARYANA,YAMUNANAGAR,2001,22,23,9,30,5,63,0
190,HARYANA,TOTAL,2001,398,297,285,478,401,1513,0
886,HARYANA,AMBALA,2002,15,18,7,17,0,122,0
887,HARYANA,BHIWANI,2002,17,13,35,29,0,54,0
888,HARYANA,FARIDABAD,2002,37,39,19,56,1122,92,0
889,HARYANA,FATEHABAD,2002,7,15,9,22,5,54,0
890,HARYANA,GRP,2002,1,0,14,1,58,0,0
891,HARYANA,GURGAON,2002,27,36,11,35,57,128,0
892,HARYANA,HISSAR,2002,15,21,28,31,4,96,0
893,HARYANA,JHAJJAR,2002,18,12,14,39,37,115,0
894,HARYANA,JIND,2002,19,9,11,10,12,57,0
895,HARYANA,KAITHAL,2002,7,4,6,11,0,98,0
896,HARYANA,KARNAL,2002,37,8,11,25,0,115,0
897,HARYANA,KURUKSHETRA,2002,15,14,7,20,14,88,0
898,HARYANA,MAHENDRAGARH,2002,16,9,3,22,0,19,0
899,HARYANA,PANCHKULA,2002,13,17,5,29,45,60,0
900,HARYANA,PANIPAT,2002,43,21,9,22,20,193,0
901,HARYANA,REWARI,2002,10,7,14,15,0,23,0
902,HARYANA,ROHTAK,2002,17,10,17,14,40,30,0
903,HARYANA,SIRSA,2002,20,3,7,30,0,103,0
904,HARYANA,SONIPAT,2002,14,16,20,15,10,63,0
905,HARYANA,YAMUNANAGAR,2002,13,18,9,11,0,55,0
906,HARYANA,TOTAL,2002,361,290,256,454,1424,1565,0
1609,HARYANA,AMBALA,2003,10,24,7,17,31,129,0
1610,HARYANA,BHIWANI,2003,15,7,28,17,0,69,0
1611,HARYANA,FARIDABAD,2003,36,49,14,34,980,136,0
1612,HARYANA,FATEHABAD,2003,7,7,3,11,4,47,0
1613,HARYANA,GRP,2003,1,0,3,0,50,0,0
1614,HARYANA,GURGAON,2003,32,37,13,17,26,101,0
1615,HARYANA,HISSAR,2003,16,18,17,35,10,80,0
1616,HARYANA,JHAJJAR,2003,9,8,17,32,35,92,0
1617,HARYANA,JIND,2003,17,5,10,7,13,34,0
1618,HARYANA,KAITHAL,2003,15,2,8,14,0,125,0
1619,HARYANA,KARNAL,2003,27,14,14,18,1,173,0
1620,HARYANA,KURUKSHETRA,2003,23,7,12,23,18,92,0
1621,HARYANA,MAHENDRAGARH,2003,10,9,4,12,0,27,0
1622,HARYANA,PANCHKULA,2003,12,13,5,10,83,56,0
1623,HARYANA,PANIPAT,2003,38,9,13,17,22,165,0
1624,HARYANA,REWARI,2003,11,9,7,22,1,34,0
1625,HARYANA,ROHTAK,2003,25,15,17,12,23,34,0
1626,HARYANA,SIRSA,2003,22,5,9,10,0,70,0
1627,HARYANA,SONIPAT,2003,15,20,17,21,5,68,0
1628,HARYANA,YAMUNANAGAR,2003,12,13,4,15,0,86,0
1629,HARYANA,TOTAL,2003,353,271,222,344,1302,1618,0
2337,HARYANA,AMBALA,2004,10,22,11,25,27,227,0
2338,HARYANA,BHIWANI,2004,28,12,28,19,0,68,0
2339,HARYANA,FARIDABAD,2004,42,49,28,45,585,157,0
2340,HARYANA,FATEHABAD,2004,9,9,6,17,3,38,0
2341,HARYANA,GRP,2004,2,0,7,3,111,0,0
2342,HARYANA,GURGAON,2004,36,34,21,21,18,115,0
2343,HARYANA,HISSAR,2004,16,31,12,18,9,127,0
2344,HARYANA,JHAJJAR,2004,11,7,14,17,18,104,0
2345,HARYANA,JIND,2004,7,6,14,2,18,31,0
2346,HARYANA,KAITHAL,2004,18,9,9,13,0,136,0
2347,HARYANA,KARNAL,2004,31,12,15,23,0,242,0
2348,HARYANA,KURUKSHETRA,2004,21,5,15,28,20,120,0
2349,HARYANA,MAHENDRAGARH,2004,20,11,8,18,0,36,0
2350,HARYANA,PANCHKULA,2004,6,5,4,53,0,57,0
2351,HARYANA,PANIPAT,2004,38,8,4,14,8,152,0
2352,HARYANA,REWARI,2004,16,21,8,24,0,48,0
2353,HARYANA,ROHTAK,2004,29,13,15,14,21,45,0
2354,HARYANA,SIRSA,2004,17,6,9,17,0,102,0
2355,HARYANA,SONIPAT,2004,13,20,16,22,12,88,0
2356,HARYANA,YAMUNANAGAR,2004,16,12,7,10,0,133,0
2357,HARYANA,TOTAL,2004,386,292,251,403,850,2026,0
3070,HARYANA,AMBALA,2005,19,19,9,19,16,130,0
3071,HARYANA,BHIWANI,2005,18,22,19,20,16,87,0
3072,HARYANA,FARIDABAD,2005,39,67,18,42,253,188,0
3073,HARYANA,FATEHABAD,2005,9,15,5,17,8,66,0
3074,HARYANA,GRP,2005,2,2,7,2,116,0,0
3075,HARYANA,GURGAON,2005,17,22,10,20,31,71,0
3076,HARYANA,HISSAR,2005,25,9,19,31,6,139,0
3077,HARYANA,JHAJJAR,2005,13,10,11,16,20,86,0
3078,HARYANA,JIND,2005,14,6,17,2,17,35,0
3079,HARYANA,KAITHAL,2005,19,9,6,9,0,115,0
3080,HARYANA,KARNAL,2005,50,19,14,39,2,236,0
3081,HARYANA,KURUKSHETRA,2005,24,9,5,24,15,99,0
3082,HARYANA,MAHENDRAGARH,2005,15,9,6,13,0,20,0
3083,HARYANA,MEWAT,2005,34,3,7,12,5,112,0
3084,HARYANA,PANCHKULA,2005,8,13,2,7,18,65,0
3085,HARYANA,PANIPAT,2005,56,21,11,11,10,127,0
3086,HARYANA,REWARI,2005,13,19,9,21,10,50,0
3087,HARYANA,ROHTAK,2005,29,10,9,17,32,79,0
3088,HARYANA,SIRSA,2005,15,10,10,17,0,119,0
3089,HARYANA,SONIPAT,2005,28,29,14,21,22,124,0
3090,HARYANA,YAMUNANAGAR,2005,14,21,4,20,0,127,0
3091,HARYANA,TOTAL,2005,461,344,212,380,597,2075,0
3803,HARYANA,AMBALA,2006,19,16,9,26,27,174,0
3804,HARYANA,BHIWANI,2006,35,26,19,38,8,100,0
3805,HARYANA,FARIDABAD,2006,40,66,14,35,144,146,0
3806,HARYANA,FATEHABAD,2006,18,5,6,17,7,83,0
3807,HARYANA,GRP,2006,1,1,6,6,113,0,0
3808,HARYANA,GURGAON,2006,30,51,20,32,56,89,0
3809,HARYANA,HISSAR,2006,23,26,17,19,0,158,0
3810,HARYANA,JHAJJAR,2006,15,9,16,14,9,58,0
3811,HARYANA,JIND,2006,32,7,13,17,12,53,0
3812,HARYANA,KAITHAL,2006,25,6,9,14,0,149,0
3813,HARYANA,KARNAL,2006,51,23,13,35,1,214,0
3814,HARYANA,KURUKSHETRA,2006,34,15,5,10,37,116,0
3815,HARYANA,MAHENDRAGARH,2006,17,16,10,32,0,41,0
3816,HARYANA,MEWAT,2006,35,4,8,24,7,124,0
3817,HARYANA,PALWAL,2006,26,17,5,21,0,47,0
3818,HARYANA,PANCHKULA,2006,10,13,2,13,0,63,0
3819,HARYANA,PANIPAT,2006,65,29,19,18,13,104,0
3820,HARYANA,REWARI,2006,21,9,4,23,0,51,0
3821,HARYANA,ROHTAK,2006,34,17,22,13,29,80,0
3822,HARYANA,SIRSA,2006,18,2,4,14,0,129,0
3823,HARYANA,SONIPAT,2006,31,49,26,46,28,165,0
3824,HARYANA,YAMUNANAGAR,2006,28,24,8,19,0,110,0
3825,HARYANA,TOTAL,2006,608,431,255,486,491,2254,0
4543,HARYANA,AMBALA,2007,23,10,16,11,15,154,0
4544,HARYANA,BHIWANI,2007,17,23,17,23,15,128,0
4545,HARYANA,FARIDABAD,2007,37,117,19,23,0,167,0
4546,HARYANA,FATEHABAD,2007,7,8,2,16,12,122,0
4547,HARYANA,GRP,2007,2,3,5,6,153,0,0
4548,HARYANA,GURGAON,2007,40,75,17,36,43,122,0
4549,HARYANA,HISSAR,2007,21,31,7,19,0,157,0
4550,HARYANA,JHAJJAR,2007,14,21,19,10,14,87,0
4551,HARYANA,JIND,2007,19,18,12,14,15,95,0
4552,HARYANA,KAITHAL,2007,14,10,14,26,0,178,0
4553,HARYANA,KARNAL,2007,47,13,13,28,0,169,0
4554,HARYANA,KURUKSHETRA,2007,21,13,11,11,16,99,0
4555,HARYANA,MAHENDRAGARH,2007,10,22,14,17,0,47,0
4556,HARYANA,MEWAT,2007,44,18,13,18,14,153,0
4557,HARYANA,PALWAL,2007,15,17,9,21,34,54,0
4558,HARYANA,PANCHKULA,2007,11,9,0,9,0,70,0
4559,HARYANA,PANIPAT,2007,34,24,11,13,18,63,0
4560,HARYANA,REWARI,2007,22,29,12,30,1,76,0
4561,HARYANA,ROHTAK,2007,18,20,31,18,32,92,0
4562,HARYANA,SIRSA,2007,23,14,5,21,0,154,0
4563,HARYANA,SONIPAT,2007,24,26,16,30,27,149,0
4564,HARYANA,YAMUNANAGAR,2007,25,33,6,17,0,76,0
4565,HARYANA,TOTAL,2007,488,554,269,417,409,2412,0
5287,HARYANA,AMBALA,2008,35,49,11,27,21,172,0
5288,HARYANA,BHIWANI,2008,33,36,14,24,20,111,0
5289,HARYANA,FARIDABAD,2008,46,94,21,23,97,173,0
5290,HARYANA,FATEHABAD,2008,12,21,4,16,13,143,0
5291,HARYANA,GRP,2008,1,3,6,7,158,0,0
5292,HARYANA,GURGAON,2008,35,66,19,27,32,123,0
5293,HARYANA,HISSAR,2008,23,27,19,25,9,214,0
5294,HARYANA,JHAJJAR,2008,22,15,20,13,42,115,0
5295,HARYANA,JIND,2008,38,23,18,21,15,73,0
5296,HARYANA,KAITHAL,2008,14,16,13,14,0,150,0
5297,HARYANA,KARNAL,2008,50,23,17,31,21,124,0
5298,HARYANA,KURUKSHETRA,2008,41,24,12,11,27,72,0
5299,HARYANA,MAHENDRAGARH,2008,21,20,16,17,0,73,0
5300,HARYANA,MEWAT,2008,29,13,7,6,6,114,0
5301,HARYANA,PALWAL,2008,29,23,15,25,33,89,0
5302,HARYANA,PANCHKULA,2008,15,18,5,6,1,72,0
5303,HARYANA,PANIPAT,2008,30,34,13,16,17,62,0
5304,HARYANA,REWARI,2008,23,25,13,31,0,72,0
5305,HARYANA,ROHTAK,2008,39,20,17,25,38,106,0
5306,HARYANA,SIRSA,2008,31,16,9,14,0,127,0
5307,HARYANA,SONIPAT,2008,36,43,24,31,50,149,0
5308,HARYANA,YAMUNANAGAR,2008,28,35,9,25,5,101,0
5309,HARYANA,TOTAL,2008,631,644,302,435,605,2435,0
6049,HARYANA,AMBALA,2009,28,16,14,18,17,155,0
6050,HARYANA,BHIWANI,2009,37,53,17,37,21,88,0
6051,HARYANA,FARIDABAD,2009,35,62,17,26,4,179,0
6052,HARYANA,FATEHABAD,2009,9,34,12,10,7,80,0
6053,HARYANA,GRP,2009,3,1,10,2,216,1,0
6054,HARYANA,GURGAON,2009,29,42,24,21,40,128,0
6055,HARYANA,HISSAR,2009,33,26,15,27,14,208,0
6056,HARYANA,JHAJJAR,2009,20,15,13,20,20,78,0
6057,HARYANA,JIND,2009,35,30,11,33,49,97,0
6058,HARYANA,KAITHAL,2009,24,16,13,20,0,187,0
6059,HARYANA,KARNAL,2009,48,40,17,32,21,225,0
6060,HARYANA,KURUKSHETRA,2009,43,47,5,20,29,101,0
6061,HARYANA,MAHENDRAGARH,2009,10,19,10,13,0,58,0
6062,HARYANA,MEWAT,2009,16,12,5,11,3,181,0
6063,HARYANA,PALWAL,2009,33,25,12,23,0,88,0
6064,HARYANA,PANCHKULA,2009,18,10,1,12,0,72,0
6065,HARYANA,PANIPAT,2009,45,31,19,26,44,117,0
6066,HARYANA,REWARI,2009,19,29,14,19,20,55,0
6067,HARYANA,ROHTAK,2009,36,30,18,30,38,113,0
6068,HARYANA,SIRSA,2009,24,28,6,10,0,97,0
6069,HARYANA,SONIPAT,2009,32,42,17,21,46,129,0
6070,HARYANA,YAMUNANAGAR,2009,26,51,11,20,16,180,0
6071,HARYANA,TOTAL,2009,603,659,281,451,605,2617,0
6822,HARYANA,AMBALA,2010,30,23,9,20,14,220,0
6823,HARYANA,BHIWANI,2010,30,36,22,45,15,64,0
6824,HARYANA,FARIDABAD,2010,51,86,23,27,78,224,0
6825,HARYANA,FATEHABAD,2010,21,31,5,13,9,79,0
6826,HARYANA,GRP,2010,1,2,5,8,144,0,0
6827,HARYANA,GURGAON,2010,45,42,22,30,38,86,0
6828,HARYANA,HISSAR,2010,25,65,13,24,17,261,0
6829,HARYANA,JHAJJAR,2010,36,30,12,27,30,117,0
6830,HARYANA,JIND,2010,29,26,17,27,20,88,0
6831,HARYANA,KAITHAL,2010,28,20,11,15,0,112,0
6832,HARYANA,KARNAL,2010,52,20,21,29,22,231,0
6833,HARYANA,KURUKSHETRA,2010,36,26,13,9,24,79,0
6834,HARYANA,MAHENDRAGARH,2010,28,36,7,25,0,86,0
6835,HARYANA,MEWAT,2010,28,19,5,12,5,150,0
