,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
191,HIMACHAL PRADESH,BILASPUR,2001,5,9,1,35,1,47,0
192,HIMACHAL PRADESH,CHAMBA,2001,12,15,0,23,1,21,0
193,HIMACHAL PRADESH,G.R.P.,2001,0,0,0,0,0,0,0
194,HIMACHAL PRADESH,HAMIRPUR,2001,3,3,1,17,2,33,0
195,HIMACHAL PRADESH,KANGRA,2001,18,21,1,43,0,58,0
196,HIMACHAL PRADESH,KINNAUR,2001,6,3,0,4,0,2,0
197,HIMACHAL PRADESH,KULLU,2001,13,6,0,12,0,2,0
198,HIMACHAL PRADESH,LAHAUL-SPITI,2001,2,1,0,0,0,1,0
199,HIMACHAL PRADESH,MANDI,2001,16,10,0,59,4,56,0
200,HIMACHAL PRADESH,SHIMLA,2001,18,11,2,50,1,31,0
201,HIMACHAL PRADESH,SIRMAUR,2001,10,11,3,33,4,22,0
202,HIMACHAL PRADESH,SOLAN,2001,12,10,2,23,1,24,0
203,HIMACHAL PRADESH,UNA,2001,9,5,0,11,0,20,0
204,HIMACHAL PRADESH,TOTAL,2001,124,105,10,310,14,317,0
907,HIMACHAL PRADESH,BILASPUR,2002,9,3,0,36,1,22,0
908,HIMACHAL PRADESH,CHAMBA,2002,16,10,2,21,1,12,0
909,HIMACHAL PRADESH,G.R.P.,2002,0,0,0,0,0,0,0
910,HIMACHAL PRADESH,HAMIRPUR,2002,3,14,0,17,1,24,0
911,HIMACHAL PRADESH,KANGRA,2002,14,17,2,50,1,32,0
912,HIMACHAL PRADESH,KINNAUR,2002,4,3,0,6,1,7,0
913,HIMACHAL PRADESH,KULLU,2002,14,11,0,20,0,11,0
914,HIMACHAL PRADESH,LAHAUL-SPITI,2002,0,0,0,2,0,0,0
915,HIMACHAL PRADESH,MANDI,2002,24,8,2,51,6,47,0
916,HIMACHAL PRADESH,SHIMLA,2002,27,18,0,49,0,22,0
917,HIMACHAL PRADESH,SIRMAUR,2002,11,10,0,34,0,15,0
918,HIMACHAL PRADESH,SOLAN,2002,9,16,0,28,1,31,0
919,HIMACHAL PRADESH,UNA,2002,6,6,0,12,0,11,0
920,HIMACHAL PRADESH,TOTAL,2002,137,116,6,326,12,234,0
1630,HIMACHAL PRADESH,BILASPUR,2003,13,11,0,20,2,17,0
1631,HIMACHAL PRADESH,CHAMBA,2003,10,14,0,13,0,8,0
1632,HIMACHAL PRADESH,G.R.P.,2003,0,0,0,0,0,0,0
1633,HIMACHAL PRADESH,HAMIRPUR,2003,6,7,0,13,1,15,0
1634,HIMACHAL PRADESH,KANGRA,2003,8,6,0,28,0,35,0
1635,HIMACHAL PRADESH,KINNAUR,2003,6,4,0,2,0,2,0
1636,HIMACHAL PRADESH,KULLU,2003,16,6,2,24,0,13,0
1637,HIMACHAL PRADESH,LAHAUL-SPITI,2003,2,0,0,0,0,1,0
1638,HIMACHAL PRADESH,MANDI,2003,23,5,1,52,2,43,0
1639,HIMACHAL PRADESH,SHIMLA,2003,21,16,2,40,8,15,0
1640,HIMACHAL PRADESH,SIRMAUR,2003,8,14,1,24,0,18,0
1641,HIMACHAL PRADESH,SOLAN,2003,11,7,0,24,3,24,0
1642,HIMACHAL PRADESH,UNA,2003,2,6,0,10,2,30,0
1643,HIMACHAL PRADESH,TOTAL,2003,126,96,6,250,18,221,0
2358,HIMACHAL PRADESH,BILASPUR,2004,10,5,0,28,0,28,0
2359,HIMACHAL PRADESH,CHAMBA,2004,14,20,1,22,0,11,0
2360,HIMACHAL PRADESH,G.R.P.,2004,0,0,0,0,0,0,0
2361,HIMACHAL PRADESH,HAMIRPUR,2004,5,7,0,24,2,23,0
2362,HIMACHAL PRADESH,KANGRA,2004,15,10,2,34,1,57,0
2363,HIMACHAL PRADESH,KINNAUR,2004,8,3,0,4,0,4,0
2364,HIMACHAL PRADESH,KULLU,2004,13,11,1,11,1,10,0
2365,HIMACHAL PRADESH,LAHAUL-SPITI,2004,0,0,0,0,0,1,0
2366,HIMACHAL PRADESH,MANDI,2004,15,6,1,56,2,29,0
2367,HIMACHAL PRADESH,SHIMLA,2004,34,14,1,43,6,24,0
2368,HIMACHAL PRADESH,SIRMAUR,2004,9,10,1,23,4,15,0
2369,HIMACHAL PRADESH,SOLAN,2004,20,8,0,27,0,28,0
2370,HIMACHAL PRADESH,UNA,2004,10,5,1,12,0,22,0
2371,HIMACHAL PRADESH,TOTAL,2004,153,99,8,284,16,252,0
3092,HIMACHAL PRADESH,BILASPUR,2005,8,6,0,30,0,27,0
3093,HIMACHAL PRADESH,CHAMBA,2005,12,8,1,20,0,10,0
3094,HIMACHAL PRADESH,G.R.P.,2005,0,0,0,0,0,0,0
3095,HIMACHAL PRADESH,HAMIRPUR,2005,4,4,0,11,4,21,0
3096,HIMACHAL PRADESH,KANGRA,2005,23,18,0,27,8,48,0
3097,HIMACHAL PRADESH,KINNAUR,2005,4,3,0,6,1,6,0
3098,HIMACHAL PRADESH,KULLU,2005,19,24,0,23,0,12,0
3099,HIMACHAL PRADESH,LAHAUL-SPITI,2005,0,1,0,0,0,1,0
3100,HIMACHAL PRADESH,MANDI,2005,8,8,0,70,4,20,0
3101,HIMACHAL PRADESH,SHIMLA,2005,32,10,0,51,7,29,0
3102,HIMACHAL PRADESH,SIRMAUR,2005,11,8,0,20,4,21,0
3103,HIMACHAL PRADESH,SOLAN,2005,15,8,1,22,1,19,0
3104,HIMACHAL PRADESH,UNA,2005,5,4,0,6,0,14,0
3105,HIMACHAL PRADESH,TOTAL,2005,141,102,2,286,29,228,0
3826,HIMACHAL PRADESH,BILASPUR,2006,11,2,0,27,3,23,0
3827,HIMACHAL PRADESH,CHAMBA,2006,4,11,0,18,0,3,0
3828,HIMACHAL PRADESH,G.R.P.,2006,0,0,0,0,0,0,0
3829,HIMACHAL PRADESH,HAMIRPUR,2006,1,4,0,18,8,34,0
3830,HIMACHAL PRADESH,KANGRA,2006,12,22,0,34,9,57,0
3831,HIMACHAL PRADESH,KINNAUR,2006,2,4,0,2,1,3,0
3832,HIMACHAL PRADESH,KULLU,2006,10,9,0,24,0,16,0
3833,HIMACHAL PRADESH,LAHAUL-SPITI,2006,0,1,0,0,0,1,0
3834,HIMACHAL PRADESH,MANDI,2006,18,7,0,51,4,27,0
3835,HIMACHAL PRADESH,SHIMLA,2006,34,26,0,39,0,30,0
3836,HIMACHAL PRADESH,SIRMAUR,2006,3,4,1,23,3,26,0
3837,HIMACHAL PRADESH,SOLAN,2006,9,13,1,28,2,21,0
3838,HIMACHAL PRADESH,UNA,2006,9,6,1,11,1,18,0
3839,HIMACHAL PRADESH,TOTAL,2006,113,109,3,275,31,259,0
4566,HIMACHAL PRADESH,BILASPUR,2007,6,9,0,33,1,28,0
4567,HIMACHAL PRADESH,CHAMBA,2007,15,11,0,20,1,6,0
4568,HIMACHAL PRADESH,G.R.P.,2007,0,0,0,0,0,0,0
4569,HIMACHAL PRADESH,HAMIRPUR,2007,5,15,1,29,13,35,0
4570,HIMACHAL PRADESH,KANGRA,2007,20,19,3,38,4,72,0
4571,HIMACHAL PRADESH,KINNAUR,2007,9,1,0,1,0,4,0
4572,HIMACHAL PRADESH,KULLU,2007,22,11,0,22,3,18,0
4573,HIMACHAL PRADESH,LAHAUL-SPITI,2007,1,1,0,1,0,0,0
