,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
229,JHARKHAND,BOKARO,2001,26,32,25,24,2,45,0
230,JHARKHAND,CHAIBASA,2001,32,10,0,6,0,0,0
231,JHARKHAND,CHATRA,2001,6,3,7,0,0,6,0
232,JHARKHAND,DEOGHAR,2001,22,0,10,13,1,10,0
233,JHARKHAND,DHANBAD,2001,32,45,30,47,0,18,0
234,JHARKHAND,DHANBAD RLY.,2001,2,0,0,0,0,0,0
235,JHARKHAND,DUMKA,2001,27,0,3,20,0,23,0
236,JHARKHAND,GARHWA,2001,11,2,15,0,0,5,0
237,JHARKHAND,GIRIDIH,2001,42,10,30,13,0,57,0
238,JHARKHAND,GODDA,2001,37,26,1,0,0,0,0
239,JHARKHAND,GUMLA,2001,29,11,0,2,0,10,1
240,JHARKHAND,HAZARIBAGH,2001,41,31,31,15,0,18,0
241,JHARKHAND,JAMSHEDPUR,2001,50,51,6,58,0,88,0
242,JHARKHAND,JAMSHEDPUR RLY.,2001,1,0,0,1,0,0,0
243,JHARKHAND,JAMTARA,2001,18,11,5,13,0,20,0
244,JHARKHAND,KODERMA,2001,2,2,11,8,1,29,0
245,JHARKHAND,LATEHAR,2001,12,2,6,0,0,0,0
246,JHARKHAND,LOHARDAGGA,2001,12,8,0,4,0,10,0
247,JHARKHAND,PAKUR,2001,23,0,7,0,0,18,0
248,JHARKHAND,PALAMU,2001,15,2,18,8,0,28,1
249,JHARKHAND,RANCHI,2001,73,1,4,24,1,78,0
250,JHARKHAND,SAHEBGANJ,2001,20,5,3,23,0,21,0
251,JHARKHAND,SARAIKELA,2001,17,15,4,18,0,0,0
252,JHARKHAND,SIMDEGA,2001,17,12,1,0,0,0,0
253,JHARKHAND,TOTAL,2001,567,279,217,297,5,484,2
946,JHARKHAND,BOKARO,2002,48,26,29,32,0,16,0
947,JHARKHAND,CHAIBASA,2002,37,9,0,17,0,8,0
948,JHARKHAND,CHATRA,2002,18,1,15,0,0,4,0
949,JHARKHAND,DEOGHAR,2002,37,2,16,7,0,17,0
950,JHARKHAND,DHANBAD,2002,38,25,36,53,3,19,0
951,JHARKHAND,DHANBAD RLY.,2002,2,1,0,2,0,0,0
952,JHARKHAND,DUMKA,2002,50,3,8,31,0,37,0
953,JHARKHAND,GARHWA,2002,32,2,14,2,0,19,2
954,JHARKHAND,GIRIDIH,2002,39,8,52,48,0,36,0
955,JHARKHAND,GODDA,2002,86,6,4,0,0,56,0
956,JHARKHAND,GUMLA,2002,31,8,1,4,0,14,0
957,JHARKHAND,HAZARIBAGH,2002,71,18,31,27,0,90,0
958,JHARKHAND,JAMSHEDPUR,2002,76,18,12,40,0,72,0
959,JHARKHAND,JAMSHEDPUR RLY.,2002,1,1,0,5,0,0,0
960,JHARKHAND,JAMTARA,2002,25,2,3,14,0,18,0
961,JHARKHAND,KODERMA,2002,6,4,7,8,0,37,0
962,JHARKHAND,LATEHAR,2002,12,2,3,4,0,3,0
963,JHARKHAND,LOHARDAGGA,2002,14,1,0,4,0,12,0
964,JHARKHAND,PAKUR,2002,37,1,2,3,0,5,0
965,JHARKHAND,PALAMU,2002,14,8,24,11,0,18,34
966,JHARKHAND,RANCHI,2002,55,22,9,73,0,62,0
967,JHARKHAND,SAHEBGANJ,2002,26,5,5,22,0,19,0
968,JHARKHAND,SARAIKELA,2002,26,4,3,4,0,25,0
969,JHARKHAND,SIMDEGA,2002,16,1,1,0,0,1,0
970,JHARKHAND,TOTAL,2002,797,178,275,411,3,588,36
1669,JHARKHAND,BOKARO,2003,48,26,29,32,0,16,0
1670,JHARKHAND,CHAIBASA,2003,38,19,0,17,0,8,0
1671,JHARKHAND,CHATRA,2003,14,4,16,2,0,0,0
1672,JHARKHAND,DEOGHAR,2003,53,7,14,14,1,20,0
1673,JHARKHAND,DHANBAD,2003,43,41,30,47,0,18,0
1674,JHARKHAND,DHANBAD RLY.,2003,0,3,1,1,0,0,0
1675,JHARKHAND,DUMKA,2003,49,0,9,23,0,69,0
1676,JHARKHAND,GARHWA,2003,23,6,13,5,0,12,0
1677,JHARKHAND,GIRIDIH,2003,35,22,42,52,0,37,0
1678,JHARKHAND,GODDA,2003,76,15,4,0,0,56,0
1679,JHARKHAND,GUMLA,2003,31,12,0,14,0,11,0
1680,JHARKHAND,HAZARIBAGH,2003,40,20,41,57,0,30,0
1681,JHARKHAND,JAMSHEDPUR,2003,28,34,12,23,0,58,0
1682,JHARKHAND,JAMSHEDPUR RLY.,2003,2,2,3,0,0,0,0
1683,JHARKHAND,JAMTARA,2003,35,7,5,6,0,26,0
1684,JHARKHAND,KODERMA,2003,0,0,7,8,0,37,0
1685,JHARKHAND,LATEHAR,2003,10,1,0,5,0,3,0
1686,JHARKHAND,LOHARDAGGA,2003,15,4,0,4,0,12,0
1687,JHARKHAND,PAKUR,2003,31,7,0,3,1,10,0
1688,JHARKHAND,PALAMU,2003,13,8,11,4,0,13,0
1689,JHARKHAND,RANCHI,2003,55,2,9,73,0,61,0
1690,JHARKHAND,SAHEBGANJ,2003,23,5,9,17,0,19,0
1691,JHARKHAND,SARAIKELA,2003,31,6,7,14,0,36,0
1692,JHARKHAND,SIMDEGA,2003,19,11,0,3,0,7,0
1693,JHARKHAND,TOTAL,2003,712,262,262,424,2,559,0
2397,JHARKHAND,BOKARO,2004,48,26,29,32,0,16,0
2398,JHARKHAND,CHAIBASA,2004,37,9,0,17,0,8,0
2399,JHARKHAND,CHATRA,2004,18,1,15,0,0,4,0
2400,JHARKHAND,DEOGHAR,2004,37,2,16,7,0,17,0
2401,JHARKHAND,DHANBAD,2004,38,25,36,53,3,19,0
2402,JHARKHAND,DHANBAD RLY.,2004,2,1,0,2,0,0,0
2403,JHARKHAND,DUMKA,2004,50,3,8,31,0,37,0
