,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
712,LAKSHADWEEP,LAKSHADWEEP,2001,0,0,0,0,0,0,0
713,LAKSHADWEEP,TOTAL,2001,0,0,0,0,0,0,0
1431,LAKSHADWEEP,LAKSHADWEEP,2002,1,0,0,1,0,0,0
1432,LAKSHADWEEP,TOTAL,2002,1,0,0,1,0,0,0
2159,LAKSHADWEEP,LAKSHADWEEP,2003,2,0,0,1,0,1,0
2160,LAKSHADWEEP,TOTAL,2003,2,0,0,1,0,1,0
2888,LAKSHADWEEP,LAKSHADWEEP,2004,0,0,0,0,0,1,0
2889,LAKSHADWEEP,TOTAL,2004,0,0,0,0,0,1,0
3621,LAKSHADWEEP,LAKSHADWEEP,2005,0,0,0,0,0,0,0
3622,LAKSHADWEEP,TOTAL,2005,0,0,0,0,0,0,0
4360,LAKSHADWEEP,LAKSHADWEEP,2006,0,0,0,0,0,1,0
4361,LAKSHADWEEP,TOTAL,2006,0,0,0,0,0,1,0
5103,LAKSHADWEEP,LAKSHADWEEP,2007,1,0,0,2,0,2,0
5104,LAKSHADWEEP,TOTAL,2007,1,0,0,2,0,2,0
5864,LAKSHADWEEP,LAKSHADWEEP,2008,2,1,0,0,0,1,0
5865,LAKSHADWEEP,TOTAL,2008,2,1,0,0,0,1,0
6631,LAKSHADWEEP,LAKSHADWEEP,2009,1,0,0,0,0,0,0
6632,LAKSHADWEEP,TOTAL,2009,1,0,0,0,0,0,0
7410,LAKSHADWEEP,LAKSHADWEEP,2010,0,0,0,0,0,0,0
7411,LAKSHADWEEP,TOTAL,2010,0,0,0,0,0,0,0
8201,LAKSHADWEEP,LAKSHADWEEP,2011,0,0,0,0,0,0,0
8202,LAKSHADWEEP,TOTAL,2011,0,0,0,0,0,0,0
9012,LAKSHADWEEP,LAKSHADWEEP,2012,0,0,0,1,0,1,0
9013,LAKSHADWEEP,TOTAL,2012,0,0,0,1,0,1,0
818,LAKSHADWEEP,LAKSHADWEEP,2013,2,0,0,1,0,0,0
819,LAKSHADWEEP,ZZ TOTAL,2013,2,0,0,1,0,0,0
832,LAKSHADWEEP,LAKSHADWEEP,2014,1,0,0,1,2,0,0
833,LAKSHADWEEP,TOTAL DISTRICT(S),2014,1,0,0,1,2,0,0
847,LAKSHADWEEP,LAKSHADWEEP,2015,0,0,0,6,1,2,0
848,LAKSHADWEEP,TOTAL DISTRICT(S),2015,0,0,0,6,1,2,0
