,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
303,MADHYA PRADESH,BALAGHAT,2001,87,11,3,157,12,72,0
304,MADHYA PRADESH,BARWANI,2001,34,2,5,81,9,18,0
305,MADHYA PRADESH,BETUL,2001,95,16,7,135,4,71,0
306,MADHYA PRADESH,BHIND,2001,31,20,34,80,2,54,0
307,MADHYA PRADESH,BHOPAL,2001,106,48,15,252,56,132,0
308,MADHYA PRADESH,BHOPAL RLY.,2001,1,2,0,10,3,0,0
309,MADHYA PRADESH,CHHATARPUR,2001,65,23,20,193,10,46,0
310,MADHYA PRADESH,CHHINDWARA,2001,93,16,10,203,32,109,0
311,MADHYA PRADESH,DAMOH,2001,66,10,28,189,0,58,0
312,MADHYA PRADESH,DATIYA,2001,12,8,8,57,0,18,0
313,MADHYA PRADESH,DEWAS,2001,78,11,15,279,80,96,0
314,MADHYA PRADESH,DHAR,2001,68,18,41,168,21,88,0
315,MADHYA PRADESH,DINDORI,2001,20,2,0,53,6,4,0
316,MADHYA PRADESH,GUNA,2001,124,15,7,317,22,95,0
317,MADHYA PRADESH,GWALIOR,2001,59,22,20,139,8,49,0
318,MADHYA PRADESH,HARDA,2001,28,2,9,35,0,27,0
319,MADHYA PRADESH,HOSHANGABAD,2001,65,13,9,109,6,31,0
320,MADHYA PRADESH,INDORE,2001,84,35,25,215,63,161,0
321,MADHYA PRADESH,INDORE RLY.,2001,2,0,0,5,1,0,0
322,MADHYA PRADESH,JABALPUR,2001,108,20,28,264,50,81,0
323,MADHYA PRADESH,JABALPUR RLY.,2001,0,0,1,4,0,0,0
324,MADHYA PRADESH,JHABUA,2001,44,80,5,127,4,24,0
325,MADHYA PRADESH,KATNI,2001,25,3,11,106,12,59,0
326,MADHYA PRADESH,KHANDWA,2001,63,12,11,184,15,49,0
327,MADHYA PRADESH,KHARGON,2001,47,14,5,164,29,21,0
328,MADHYA PRADESH,MANDLA,2001,64,9,4,151,19,46,0
329,MADHYA PRADESH,MANDSAUR,2001,41,8,4,102,11,30,0
330,MADHYA PRADESH,MORENA,2001,35,18,29,77,2,34,0
331,MADHYA PRADESH,NARSINGHPUR,2001,70,4,22,156,16,40,0
332,MADHYA PRADESH,NEEMUCH,2001,37,7,1,83,18,62,0
333,MADHYA PRADESH,PANNA,2001,44,10,19,104,2,31,0
334,MADHYA PRADESH,RAISEN,2001,79,9,20,194,31,50,0
