,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
398,MANIPUR,BISHNUPUR,2001,1,3,0,0,0,1,0
399,MANIPUR,CHANDEL,2001,0,1,0,0,0,0,0
400,MANIPUR,CHURACHANDPUR,2001,1,0,0,0,0,0,0
401,MANIPUR,IMPHAL(EAST),2001,7,6,0,2,0,1,0
402,MANIPUR,IMPHAL(WEST),2001,7,37,0,17,0,3,0
403,MANIPUR,SENAPATI,2001,0,0,0,0,0,0,0
404,MANIPUR,TAMENGLONG,2001,0,0,0,0,0,0,0
405,MANIPUR,THOUBAL,2001,4,14,0,1,0,0,0
406,MANIPUR,UKHRUL,2001,0,1,0,1,0,0,0
407,MANIPUR,TOTAL,2001,20,62,0,21,0,5,0
1115,MANIPUR,BISHNUPUR,2002,2,7,0,9,0,1,0
1116,MANIPUR,CHANDEL,2002,0,0,0,0,0,0,0
1117,MANIPUR,CHURACHANDPUR,2002,0,1,0,1,0,0,0
1118,MANIPUR,IMPHAL(EAST),2002,4,20,0,9,0,0,0
1119,MANIPUR,IMPHAL(WEST),2002,3,36,0,31,0,5,0
1120,MANIPUR,SENAPATI,2002,0,0,0,0,0,0,0
1121,MANIPUR,TAMENGLONG,2002,0,0,0,0,0,0,0
1122,MANIPUR,THOUBAL,2002,4,18,0,8,0,4,0
1123,MANIPUR,UKHRUL,2002,1,0,0,0,0,0,0
1124,MANIPUR,TOTAL,2002,14,82,0,58,0,10,0
1844,MANIPUR,BISHNUPUR,2003,2,6,0,16,0,0,0
1845,MANIPUR,CHANDEL,2003,0,1,0,0,0,0,0
1846,MANIPUR,CHURACHANDPUR,2003,0,0,0,2,0,0,0
1847,MANIPUR,IMPHAL(EAST),2003,3,10,0,2,0,0,0
1848,MANIPUR,IMPHAL(WEST),2003,5,24,0,22,0,1,0
1849,MANIPUR,SENAPATI,2003,0,1,0,0,0,0,0
1850,MANIPUR,TAMENGLONG,2003,0,0,0,0,0,0,0
1851,MANIPUR,THOUBAL,2003,8,26,0,1,0,3,0
1852,MANIPUR,UKHRUL,2003,0,3,0,1,0,0,0
1853,MANIPUR,TOTAL,2003,18,71,0,44,0,4,0
2572,MANIPUR,BISHNUPUR,2004,3,8,0,7,0,1,0
2573,MANIPUR,CHANDEL,2004,1,0,0,0,0,0,0
2574,MANIPUR,CHURACHANDPUR,2004,0,1,0,0,0,0,0
2575,MANIPUR,IMPHAL(EAST),2004,7,16,0,2,0,0,0
2576,MANIPUR,IMPHAL(WEST),2004,9,26,0,19,0,0,0
2577,MANIPUR,SENAPATI,2004,0,0,0,0,0,0,0
2578,MANIPUR,TAMENGLONG,2004,0,0,0,0,0,0,0
2579,MANIPUR,THOUBAL,2004,11,20,0,2,0,1,0
2580,MANIPUR,UKHRUL,2004,0,0,0,0,0,0,0
2581,MANIPUR,TOTAL,2004,31,71,0,30,0,2,0
3306,MANIPUR,BISHNUPUR,2005,3,5,0,3,0,1,0
3307,MANIPUR,CHANDEL,2005,0,0,0,2,0,0,0
3308,MANIPUR,CHURACHANDPUR,2005,0,1,0,2,0,0,0
3309,MANIPUR,IMPHAL(EAST),2005,4,21,0,3,0,1,0
3310,MANIPUR,IMPHAL(WEST),2005,10,28,0,12,0,3,0
3311,MANIPUR,SENAPATI,2005,0,0,0,0,0,0,0
3312,MANIPUR,TAMENGLONG,2005,1,0,0,0,0,0,0
3313,MANIPUR,THOUBAL,2005,7,14,0,3,0,15,0
3314,MANIPUR,UKHRUL,2005,0,0,0,0,0,0,0
3315,MANIPUR,TOTAL,2005,25,69,0,25,0,20,0
4040,MANIPUR,BISHNUPUR,2006,1,5,0,6,0,2,0
4041,MANIPUR,CHANDEL,2006,2,0,0,1,0,0,0
4042,MANIPUR,CHURACHANDPUR,2006,20,0,0,5,0,0,0
4043,MANIPUR,IMPHAL EAST,2006,3,21,0,14,0,0,0
4044,MANIPUR,IMPHAL WEST,2006,9,29,0,15,0,5,0
4045,MANIPUR,SENAPATI,2006,0,0,0,0,0,0,0
4046,MANIPUR,TAMENGLONG,2006,0,0,0,0,0,0,0
4047,MANIPUR,THOUBAL,2006,5,24,0,1,0,3,0
4048,MANIPUR,UKHRUL,2006,0,0,0,0,0,0,0
4049,MANIPUR,TOTAL,2006,40,79,0,42,0,10,0
4782,MANIPUR,BISHNUPUR,2007,4,6,0,21,0,0,0
4783,MANIPUR,CHANDEL,2007,0,0,0,0,0,0,0
4784,MANIPUR,CHURACHANDPUR,2007,1,1,0,0,0,0,0
4785,MANIPUR,IMPHAL EAST,2007,1,19,0,4,0,1,0
4786,MANIPUR,IMPHAL WEST,2007,7,37,0,28,0,11,0
4787,MANIPUR,SENAPATI,2007,1,2,0,0,0,0,0
4788,MANIPUR,TAMENGLONG,2007,0,0,0,0,0,0,0
4789,MANIPUR,THOUBAL,2007,6,17,0,17,0,3,0
4790,MANIPUR,UKHRUL,2007,0,1,0,0,0,0,0
4791,MANIPUR,TOTAL,2007,20,83,0,70,0,15,0
5532,MANIPUR,BISHNUPUR,2008,3,11,0,16,0,4,0
5533,MANIPUR,CHANDEL,2008,0,0,0,0,0,0,0
5534,MANIPUR,CHURACHANDPUR,2008,2,0,0,0,0,0,0
5535,MANIPUR,CID,2008,0,0,0,0,0,0,0
5536,MANIPUR,IMPHAL EAST,2008,9,24,0,14,0,5,0
5537,MANIPUR,IMPHAL WEST,2008,12,31,1,22,0,7,0
5538,MANIPUR,SENAPATI,2008,2,0,0,0,0,0,0
5539,MANIPUR,TAMENGLONG,2008,0,0,0,0,0,0,0
5540,MANIPUR,THOUBAL,2008,9,21,0,5,0,12,0
5541,MANIPUR,UKHRUL,2008,1,0,0,0,0,0,0
5542,MANIPUR,TOTAL,2008,38,87,1,57,0,28,0
6297,MANIPUR,BISHNUPUR,2009,2,5,0,10,0,0,0
6298,MANIPUR,CHANDEL,2009,0,0,0,0,0,0,0
6299,MANIPUR,CHURACHANDPUR,2009,3,3,0,1,0,0,0
6300,MANIPUR,CID,2009,0,0,0,0,0,0,0
6301,MANIPUR,IMPHAL EAST,2009,7,36,0,12,0,4,0
6302,MANIPUR,IMPHAL WEST,2009,8,30,0,9,1,9,0
6303,MANIPUR,SENAPATI,2009,1,0,0,1,0,0,0
6304,MANIPUR,TAMENGLONG,2009,0,0,0,0,0,0,0
6305,MANIPUR,THOUBAL,2009,9,23,0,6,1,12,0
6306,MANIPUR,UKHRUL,2009,1,0,0,0,0,0,0
6307,MANIPUR,TOTAL,2009,31,97,0,39,2,25,0
7072,MANIPUR,BISHNUPUR,2010,6,12,0,7,0,4,0
7073,MANIPUR,CHANDEL,2010,0,0,0,0,0,0,0
7074,MANIPUR,CHURACHANDPUR,2010,1,0,0,0,0,0,0
7075,MANIPUR,CID,2010,0,0,0,0,0,0,0
7076,MANIPUR,IMPHAL EAST,2010,6,23,0,4,0,3,0
7077,MANIPUR,IMPHAL WEST,2010,10,45,0,12,0,3,0
7078,MANIPUR,SENAPATI,2010,1,2,0,0,0,0,0
7079,MANIPUR,TAMENGLONG,2010,0,0,0,0,0,0,0
7080,MANIPUR,THOUBAL,2010,9,25,0,8,0,8,0
7081,MANIPUR,UKHRUL,2010,1,0,0,0,0,0,0
7082,MANIPUR,TOTAL,2010,34,107,0,31,0,18,0
7857,MANIPUR,BISHNUPUR,2011,2,11,0,11,0,3,0
7858,MANIPUR,CHANDEL,2011,1,0,0,0,0,0,0
7859,MANIPUR,CHURACHANDPUR,2011,0,3,0,0,0,1,0
7860,MANIPUR,CID,2011,0,0,0,0,0,0,0
7861,MANIPUR,IMPHAL EAST,2011,11,28,0,7,0,8,0
7862,MANIPUR,IMPHAL WEST,2011,17,45,1,11,0,8,0
7863,MANIPUR,SENAPATI,2011,0,1,0,0,0,0,0
7864,MANIPUR,TAMENGLONG,2011,0,0,0,1,0,0,0
7865,MANIPUR,THOUBAL,2011,21,28,0,8,0,19,0
7866,MANIPUR,UKHRUL,2011,1,0,0,0,0,0,0
7867,MANIPUR,TOTAL,2011,53,116,1,38,0,39,0
8658,MANIPUR,BISHNUPUR,2012,11,7,0,3,0,4,0
8659,MANIPUR,CHANDEL,2012,0,1,0,1,0,0,0
8660,MANIPUR,CHURACHANDPUR,2012,1,1,0,1,0,1,0
8661,MANIPUR,CID,2012,0,0,0,0,0,0,0
8662,MANIPUR,IMPHAL EAST,2012,10,36,0,10,0,11,0
8663,MANIPUR,IMPHAL WEST,2012,18,47,0,21,0,9,0
8664,MANIPUR,SENAPATI,2012,2,3,0,1,0,0,0
8665,MANIPUR,TAMENGLONG,2012,1,1,0,0,0,0,0
8666,MANIPUR,THOUBAL,2012,20,37,0,12,1,17,0
8667,MANIPUR,UKHRUL,2012,0,0,0,0,0,1,0
8668,MANIPUR,TOTAL,2012,63,133,0,49,1,43,0
456,MANIPUR,BISHNUPUR,2013,7,4,0,3,0,1,0
457,MANIPUR,CHANDEL,2013,1,2,0,0,0,0,0
458,MANIPUR,CHURACHANDPUR,2013,0,3,0,2,0,0,0
459,MANIPUR,CID,2013,0,0,0,0,0,0,0
460,MANIPUR,IMPHAL EAST,2013,12,34,0,9,0,8,0
461,MANIPUR,IMPHAL WEST,2013,26,42,0,34,0,9,0
462,MANIPUR,SENAPATI,2013,0,3,0,0,0,1,0
463,MANIPUR,TAMENGLONG,2013,0,2,0,1,0,0,0
464,MANIPUR,THOUBAL,2013,24,32,0,9,0,9,0
465,MANIPUR,UKHRUL,2013,2,3,0,1,0,1,0
466,MANIPUR,ZZ TOTAL,2013,72,125,0,59,0,29,0
452,MANIPUR,BISHNUPUR,2014,9,8,0,6,0,3,0
453,MANIPUR,CHANDEL,2014,0,0,0,1,0,0,0
454,MANIPUR,CHURACHANDPUR,2014,5,3,0,3,0,0,0
455,MANIPUR,C. I. D.,2014,0,0,0,0,0,0,0
456,MANIPUR,IMPHAL EAST,2014,20,17,1,7,0,8,0
457,MANIPUR,IMPHAL WEST,2014,20,36,0,44,0,14,0
458,MANIPUR,SENAPATI,2014,1,1,0,2,0,0,0
459,MANIPUR,TAMENGLONG,2014,0,4,0,0,0,0,0
460,MANIPUR,THOUBAL,2014,19,51,0,35,0,16,0
461,MANIPUR,UKHRUL,2014,1,1,0,0,0,0,0
462,MANIPUR,TOTAL DISTRICT(S),2014,75,121,1,98,0,41,0
464,MANIPUR,BISHNUPUR,2015,10,12,0,9,0,10,0
465,MANIPUR,CHANDEL,2015,0,1,0,0,0,1,0
466,MANIPUR,CHURACHANDPUR,2015,2,0,0,0,0,0,0
467,MANIPUR,C. I. D.,2015,0,0,0,0,0,0,0
468,MANIPUR,IMPHAL EAST,2015,11,17,0,23,2,5,0
469,MANIPUR,IMPHAL WEST,2015,13,34,0,43,0,13,0
470,MANIPUR,SENAPATI,2015,0,2,0,0,0,0,0
471,MANIPUR,TAMENGLONG,2015,0,0,0,0,0,0,0
472,MANIPUR,THOUBAL,2015,9,28,0,9,0,10,0
473,MANIPUR,UKHRUL,2015,1,0,0,0,0,0,0
474,MANIPUR,TOTAL DISTRICT(S),2015,46,94,0,84,2,39,0
