,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
408,MEGHALAYA,GARO HILLS EAST,2001,2,0,0,2,0,0,0
409,MEGHALAYA,GARO HILLS SOUTH,2001,1,0,0,0,0,1,0
410,MEGHALAYA,GARO HILLS WEST,2001,5,0,0,8,0,0,0
411,MEGHALAYA,JAINTIA HILLS,2001,7,4,0,3,0,0,0
412,MEGHALAYA,KHASI HILLS EAST,2001,5,5,0,8,0,3,0
413,MEGHALAYA,KHASI HILLS WEST,2001,4,0,0,2,0,0,0
414,MEGHALAYA,RI-BHOI,2001,2,2,0,2,0,0,0
415,MEGHALAYA,TOTAL,2001,26,11,0,25,0,4,0
1125,MEGHALAYA,GARO HILLS EAST,2002,1,0,0,2,0,0,0
1126,MEGHALAYA,GARO HILLS SOUTH,2002,1,1,0,0,0,0,0
1127,MEGHALAYA,GARO HILLS WEST,2002,5,0,0,8,0,0,0
1128,MEGHALAYA,JAINTIA HILLS,2002,2,1,0,5,0,0,0
1129,MEGHALAYA,KHASI HILLS EAST,2002,19,4,0,5,0,0,0
1130,MEGHALAYA,KHASI HILLS WEST,2002,7,0,0,3,0,0,0
1131,MEGHALAYA,RI-BHOI,2002,3,4,0,0,0,0,0
1132,MEGHALAYA,TOTAL,2002,38,10,0,23,0,0,0
1854,MEGHALAYA,GARO HILLS EAST,2003,1,0,0,0,0,0,0
1855,MEGHALAYA,GARO HILLS SOUTH,2003,3,0,0,1,0,0,0
1856,MEGHALAYA,GARO HILLS WEST,2003,6,0,0,5,0,0,0
1857,MEGHALAYA,JAINTIA HILLS,2003,11,0,0,0,0,0,0
1858,MEGHALAYA,KHASI HILLS EAST,2003,10,7,0,7,1,4,0
1859,MEGHALAYA,KHASI HILLS WEST,2003,6,0,0,0,0,0,0
1860,MEGHALAYA,RI-BHOI,2003,3,3,0,0,0,0,0
1861,MEGHALAYA,TOTAL,2003,40,10,0,13,1,4,0
