,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
416,MIZORAM,AIZAWL,2001,26,0,0,13,0,1,0
417,MIZORAM,CHAMPHAI,2001,7,0,0,7,0,0,0
418,MIZORAM,KOLASIB,2001,6,0,0,15,0,0,0
419,MIZORAM,LAWNGTLAI,2001,2,0,0,0,0,0,0
420,MIZORAM,LUNGLEI,2001,3,0,0,11,0,0,0
421,MIZORAM,MAMIT,2001,0,0,0,0,0,15,2
422,MIZORAM,SAIHA,2001,3,0,0,6,0,0,0
423,MIZORAM,SERCHHIP,2001,5,1,0,0,0,0,1
424,MIZORAM,TOTAL,2001,52,1,0,52,0,16,3
1133,MIZORAM,AIZAWL,2002,36,0,0,28,0,2,0
1134,MIZORAM,CHAMPHAI,2002,9,0,0,10,0,0,0
1135,MIZORAM,KOLASIB,2002,5,0,0,6,0,1,0
1136,MIZORAM,LAWNGTLAI,2002,2,0,0,4,0,0,0
1137,MIZORAM,LUNGLEI,2002,11,0,0,11,0,0,0
1138,MIZORAM,MAMIT,2002,4,0,0,0,0,0,0
1139,MIZORAM,SAIHA,2002,7,1,0,14,0,0,0
1140,MIZORAM,SERCHHIP,2002,2,1,0,0,0,0,0
1141,MIZORAM,TOTAL,2002,76,2,0,73,0,3,0
1862,MIZORAM,AIZAWL,2003,24,1,0,25,0,3,0
1863,MIZORAM,CHAMPHAI,2003,10,0,0,11,0,0,0
1864,MIZORAM,KOLASIB,2003,5,0,0,11,0,0,0
1865,MIZORAM,LAWNGTLAI,2003,1,0,0,6,0,0,0
1866,MIZORAM,LUNGLEI,2003,6,0,0,15,0,0,0
1867,MIZORAM,MAMIT,2003,1,0,0,0,0,0,0
1868,MIZORAM,SAIHA,2003,4,1,0,11,0,0,0
1869,MIZORAM,SERCHHIP,2003,3,0,0,9,0,0,0
1870,MIZORAM,TOTAL,2003,54,2,0,88,0,3,0
2590,MIZORAM,AIZAWL,2004,6,0,0,30,0,0,0
2591,MIZORAM,CHAMPHAI,2004,3,0,0,5,0,0,0
2592,MIZORAM,KOLASIB,2004,2,0,0,2,0,0,0
2593,MIZORAM,LAWNGTLAI,2004,1,0,0,5,0,0,0
2594,MIZORAM,LUNGLEI,2004,2,0,0,10,0,0,0
2595,MIZORAM,MAMIT,2004,2,0,0,2,0,0,0
2596,MIZORAM,SAIHA,2004,1,0,0,10,0,0,0
2597,MIZORAM,SERCHHIP,2004,3,0,0,2,0,0,0
2598,MIZORAM,TOTAL,2004,20,0,0,66,0,0,0
3324,MIZORAM,AIZAWL,2005,10,0,0,10,2,0,0
3325,MIZORAM,CHAMPHAI,2005,5,0,0,7,0,0,0
3326,MIZORAM,KOLASIB,2005,2,0,0,0,0,0,0
3327,MIZORAM,LAWNGTLAI,2005,2,0,2,6,1,0,0
3328,MIZORAM,LUNGLEI,2005,6,0,0,8,0,0,0
3329,MIZORAM,MAMIT,2005,6,0,0,3,0,0,0
3330,MIZORAM,SAIHA,2005,2,0,2,9,1,0,0
3331,MIZORAM,SERCHHIP,2005,4,0,0,6,0,0,0
3332,MIZORAM,TOTAL,2005,37,0,4,49,4,0,0
4058,MIZORAM,AIZAWL,2006,31,0,0,24,0,1,0
4059,MIZORAM,CHAMPHAI,2006,12,0,0,6,0,0,0
4060,MIZORAM,KOLASIB,2006,8,0,0,6,0,0,0
4061,MIZORAM,LAWNGTLAI,2006,1,0,0,2,0,0,0
4062,MIZORAM,LUNGLEI,2006,9,0,0,7,0,0,0
4063,MIZORAM,MAMIT,2006,2,0,0,1,0,0,0
4064,MIZORAM,SAIHA,2006,5,1,0,3,0,0,0
4065,MIZORAM,SERCHHIP,2006,4,0,0,2,0,0,0
4066,MIZORAM,TOTAL,2006,72,1,0,51,0,1,0
4800,MIZORAM,AIZAWL,2007,35,0,0,38,0,2,0
4801,MIZORAM,CHAMPHAI,2007,12,0,0,3,0,0,0
4802,MIZORAM,KOLASIB,2007,12,0,0,6,0,0,0
4803,MIZORAM,LAWNGTLAI,2007,3,0,0,5,0,0,0
4804,MIZORAM,LUNGLEI,2007,9,0,0,7,0,0,0
4805,MIZORAM,MAMIT,2007,1,0,0,3,0,0,0
4806,MIZORAM,SAIHA,2007,3,0,0,3,0,0,0
4807,MIZORAM,SERCHHIP,2007,8,0,0,1,0,0,0
4808,MIZORAM,TOTAL,2007,83,0,0,66,0,2,0
5551,MIZORAM,AIZAWL,2008,39,0,0,36,0,4,0
5552,MIZORAM,CHAMPHAI,2008,7,0,0,5,0,0,0
5553,MIZORAM,KOLASIB,2008,9,1,0,11,0,1,0
5554,MIZORAM,LAWNGTLAI,2008,8,0,0,2,0,0,0
5555,MIZORAM,LUNGLEI,2008,8,0,0,13,0,0,0
5556,MIZORAM,MAMIT,2008,2,0,0,3,0,0,0
5557,MIZORAM,SAIHA,2008,0,0,0,1,0,0,0
5558,MIZORAM,SERCHHIP,2008,4,0,0,7,0,0,0
5559,MIZORAM,TOTAL,2008,77,1,0,78,0,5,0
6316,MIZORAM,AIZAWL,2009,27,0,0,29,0,4,0
6317,MIZORAM,CHAMPHAI,2009,15,0,0,4,0,0,0
6318,MIZORAM,KOLASIB,2009,7,0,0,9,0,0,0
6319,MIZORAM,LAWNGTLAI,2009,5,0,0,0,0,0,0
6320,MIZORAM,LUNGLEI,2009,12,0,0,8,1,0,0
6321,MIZORAM,MAMIT,2009,9,0,0,4,0,0,0
6322,MIZORAM,SAIHA,2009,3,0,0,0,0,0,0
6323,MIZORAM,SERCHHIP,2009,5,0,0,7,0,0,0
6324,MIZORAM,TOTAL,2009,83,0,0,61,1,4,0
7091,MIZORAM,AIZAWL,2010,34,0,0,42,0,2,0
7092,MIZORAM,CHAMPHAI,2010,20,0,0,5,0,0,0
7093,MIZORAM,KOLASIB,2010,8,0,0,3,0,0,0
7094,MIZORAM,LAWNGTLAI,2010,6,0,0,2,0,0,0
7095,MIZORAM,LUNGLEI,2010,9,0,0,10,0,0,0
7096,MIZORAM,MAMIT,2010,6,0,0,6,0,0,0
7097,MIZORAM,SAIHA,2010,3,0,0,1,0,0,0
7098,MIZORAM,SERCHHIP,2010,6,0,0,6,0,1,0
7099,MIZORAM,TOTAL,2010,92,0,0,75,0,3,0
7876,MIZORAM,AIZAWL,2011,35,0,0,43,0,9,0
7877,MIZORAM,CHAMPHAI,2011,10,0,0,10,0,0,0
7878,MIZORAM,KOLASIB,2011,7,0,0,3,1,0,0
7879,MIZORAM,LAWNGTLAI,2011,2,0,0,0,0,0,0
7880,MIZORAM,LUNGLEI,2011,13,0,0,3,0,0,0
