,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
425,NAGALAND,DIMAPUR,2001,4,4,0,0,0,0,0
426,NAGALAND,KIPHIRE,2001,0,0,0,0,0,0,0
427,NAGALAND,KOHIMA,2001,6,0,0,6,0,0,0
428,NAGALAND,MOKOKCHUNG,2001,1,0,0,0,0,0,0
429,NAGALAND,MON,2001,2,2,0,0,0,0,0
430,NAGALAND,PEREN,2001,0,0,0,0,0,0,0
431,NAGALAND,PHEK,2001,1,0,0,0,0,0,0
432,NAGALAND,TUENSANG,2001,0,0,0,0,0,0,0
433,NAGALAND,WOKHA,2001,1,0,0,0,0,0,0
434,NAGALAND,ZUNHEBOTO,2001,2,0,0,0,0,0,0
435,NAGALAND,TOTAL,2001,17,6,0,6,0,0,0
1142,NAGALAND,DIMAPUR,2002,3,2,0,1,0,0,0
1143,NAGALAND,KIPHIRE,2002,1,1,0,0,0,0,0
1144,NAGALAND,KOHIMA,2002,9,0,0,0,0,0,0
1145,NAGALAND,MOKOKCHUNG,2002,0,0,0,0,0,0,0
1146,NAGALAND,MON,2002,0,1,0,0,0,0,0
1147,NAGALAND,PEREN,2002,0,0,0,0,0,0,0
1148,NAGALAND,PHEK,2002,1,0,0,0,0,0,0
1149,NAGALAND,TUENSANG,2002,1,0,0,0,0,0,0
1150,NAGALAND,WOKHA,2002,1,0,0,0,0,0,0
1151,NAGALAND,ZUNHEBOTO,2002,1,0,0,0,0,0,0
1152,NAGALAND,TOTAL,2002,17,4,0,1,0,0,0
1871,NAGALAND,DIMAPUR,2003,2,2,0,0,0,0,1
1872,NAGALAND,KIPHIRE,2003,1,0,0,0,0,0,0
1873,NAGALAND,KOHIMA,2003,5,0,0,4,0,0,0
1874,NAGALAND,MOKOKCHUNG,2003,1,0,0,0,2,0,0
1875,NAGALAND,MON,2003,2,0,0,0,0,0,0
1876,NAGALAND,PEREN,2003,1,0,0,0,0,0,0
1877,NAGALAND,PHEK,2003,2,0,0,0,0,0,0
1878,NAGALAND,TUENSANG,2003,0,0,0,0,0,0,0
1879,NAGALAND,WOKHA,2003,0,1,0,0,0,0,0
1880,NAGALAND,ZUNHEBOTO,2003,0,0,0,0,0,0,0
1881,NAGALAND,TOTAL,2003,14,3,0,4,2,0,1
2599,NAGALAND,DIMAPUR,2004,2,4,0,0,0,0,0
2600,NAGALAND,KIPHIRE,2004,0,0,0,0,0,0,0
2601,NAGALAND,KOHIMA,2004,10,0,0,2,0,0,0
2602,NAGALAND,MOKOKCHUNG,2004,1,0,0,0,1,0,0
2603,NAGALAND,MON,2004,0,0,0,0,0,0,0
2604,NAGALAND,PEREN,2004,2,0,0,0,0,0,0
2605,NAGALAND,PHEK,2004,1,0,0,1,0,0,0
2606,NAGALAND,TUENSANG,2004,1,0,0,0,0,0,0
2607,NAGALAND,WOKHA,2004,0,0,0,0,0,0,0
2608,NAGALAND,ZUNHEBOTO,2004,1,0,0,0,0,0,0
2609,NAGALAND,TOTAL,2004,18,4,0,3,1,0,0
3333,NAGALAND,DIMAPUR,2005,7,0,0,0,0,0,0
3334,NAGALAND,KIPHIRE,2005,0,0,0,0,0,0,0
3335,NAGALAND,KOHIMA,2005,5,5,0,0,0,0,0
3336,NAGALAND,MOKOKCHUNG,2005,0,0,0,1,0,0,0
3337,NAGALAND,MON,2005,1,0,0,1,0,0,0
3338,NAGALAND,PEREN,2005,1,0,0,4,0,0,0
3339,NAGALAND,PHEK,2005,1,1,0,1,0,0,0
3340,NAGALAND,TUENSANG,2005,1,0,0,0,0,0,0
3341,NAGALAND,WOKHA,2005,0,3,0,0,0,0,0
3342,NAGALAND,ZUNHEBOTO,2005,1,0,0,0,0,0,0
3343,NAGALAND,TOTAL,2005,17,9,0,7,0,0,0
4067,NAGALAND,DIMAPUR,2006,5,2,0,2,2,3,0
4068,NAGALAND,KIPHIRE,2006,0,0,0,0,0,0,0
4069,NAGALAND,KOHIMA,2006,8,0,0,0,0,0,0
4070,NAGALAND,MOKOKCHUNG,2006,0,0,0,0,0,0,0
4071,NAGALAND,MON,2006,2,0,0,0,0,0,0
4072,NAGALAND,PEREN,2006,0,0,0,1,0,0,0
4073,NAGALAND,PHEK,2006,5,0,0,0,0,0,0
4074,NAGALAND,TUENSANG,2006,1,0,0,0,0,0,0
4075,NAGALAND,WOKHA,2006,0,1,0,0,0,0,0
4076,NAGALAND,ZUNHEBOTO,2006,2,0,0,0,0,0,0
4077,NAGALAND,TOTAL,2006,23,3,0,3,2,3,0
4809,NAGALAND,DIMAPUR,2007,5,4,0,5,1,0,0
4810,NAGALAND,KIPHIRE,2007,0,0,0,0,0,0,0
4811,NAGALAND,KOHIMA,2007,4,1,0,1,0,0,0
4812,NAGALAND,LONGLENG,2007,0,1,0,0,0,0,0
