,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
436,ODISHA,ANGUL,2001,33,5,8,90,0,53,0
437,ODISHA,BALASORE,2001,58,32,36,92,9,68,0
438,ODISHA,BARAGARH,2001,19,8,0,41,2,30,0
439,ODISHA,BERHAMPUR,2001,10,10,4,41,6,29,0
440,ODISHA,BHADRAK,2001,35,18,23,29,5,79,0
441,ODISHA,BOLANGIR,2001,19,16,4,91,11,61,0
442,ODISHA,BOUDH,2001,6,5,1,21,3,6,0
443,ODISHA,CUTTACK,2001,34,33,39,42,1,125,0
444,ODISHA,DEOGARH,2001,8,4,2,33,0,8,0
445,ODISHA,DHENKANAL,2001,15,7,14,82,5,31,0
446,ODISHA,GAJAPATI,2001,10,3,1,13,2,7,0
447,ODISHA,GANJAM,2001,22,10,1,102,6,9,0
448,ODISHA,JAGATSINGHPUR,2001,12,16,16,13,2,30,0
449,ODISHA,JAJPUR,2001,24,14,16,16,3,42,0
450,ODISHA,JHARSUGUDA,2001,12,5,4,39,1,13,0
451,ODISHA,KALAHANDI,2001,30,17,0,22,5,9,0
452,ODISHA,KANDHAMAL,2001,34,25,4,95,15,29,0
453,ODISHA,KENDRAPARA,2001,11,15,24,66,176,57,0
454,ODISHA,KEONJHAR,2001,38,19,4,127,16,41,0
455,ODISHA,KHURDA,2001,65,32,11,28,9,171,0
456,ODISHA,KORAPUT,2001,38,13,7,56,124,132,0
457,ODISHA,MALKANGIR,2001,14,5,0,27,0,12,0
458,ODISHA,MAYURBHANJ,2001,77,31,19,141,0,74,0
459,ODISHA,NAYAGARH,2001,17,18,14,11,3,9,0
460,ODISHA,NOWRANGPUR,2001,13,3,0,41,7,13,0
461,ODISHA,NUAPADA,2001,9,2,0,16,5,17,0
462,ODISHA,PURI,2001,41,24,29,13,0,32,0
463,ODISHA,RAYAGADA,2001,9,0,1,33,2,26,0
464,ODISHA,ROURKELA,2001,12,6,2,35,13,17,0
465,ODISHA,SAMBALPUR,2001,18,9,0,82,9,18,0
466,ODISHA,SONEPUR,2001,8,4,6,28,4,11,0
467,ODISHA,SRP(CUTTACK),2001,1,3,0,5,4,0,0
468,ODISHA,SRP(ROURKELA),2001,2,3,0,2,0,0,0
469,ODISHA,SUNDARGARH,2001,36,19,4,82,10,7,0
470,ODISHA,TOTAL,2001,790,434,294,1655,458,1266,0
1153,ODISHA,ANGUL,2002,25,15,8,53,4,49,0
